,Coatings & Adhesives
2023-09-10,69.04586404586405
2023-09-17,84.97952497952498
2023-09-24,76.48157248157248
2023-10-01,91.35298935298935
2023-10-08,75.41932841932842
2023-10-15,76.48157248157248
2023-10-22,75.41932841932842
2023-10-29,75.41932841932842
2023-11-05,89.22850122850123
2023-11-12,86.04176904176904
2023-11-19,81.7927927927928
2023-11-26,79.66830466830467
2023-12-03,79.66830466830467
2023-12-10,80.73054873054873
2023-12-17,81.7927927927928
2023-12-24,63.73464373464374
2023-12-31,71.17035217035217
2024-01-07,91.00203838416019
2024-01-14,76.90313102886776
2024-01-21,74.33969332790551
2024-01-28,82.03000643079228
2024-02-04,89.72031953367906
2024-02-11,84.59344413175454
2024-02-18,70.49453677646211
2024-02-25,79.46656872983003
2024-03-03,79.46656872983003
2024-03-10,82.03000643079228
2024-03-17,88.43860068319793
2024-03-24,92.28375723464131
2024-03-31,67.93109907549986
2024-04-07,62.80422367357534
2024-04-14,55.11391057068857
2024-04-21,65.3676613745376
2024-04-28,75.62141217838663
2024-05-05,84.59344413175454
2024-05-12,73.05797447742438
2024-05-19,67.93109907549986
2024-05-26,84.59344413175454
2024-06-02,74.33969332790551
2024-06-09,92.28375723464131
2024-06-16,65.3676613745376
2024-06-23,76.90313102886776
2024-06-30,80.74828758031116
2024-07-07,82.03000643079228
2024-07-14,82.03000643079228
2024-07-21,96.12891378608471
2024-07-28,119.19985309474504
2024-08-04,128.17188504811296
2024-08-11,98.69235148704696
2024-08-18,73.05797447742438
2024-08-25,74.33969332790551
2024-09-01,70.49453677646211
2024-09-08,84.59344413175454
2024-09-15,62.80422367357534
2024-09-22,64.08594252405648
2024-09-29,87.1568818327168
2024-10-06,79.46656872983003
2024-10-13,82.03000643079228
2024-10-20,87.1568818327168
2024-10-27,85.87516298223568
2024-11-03,79.46656872983003
2024-11-10,67.93109907549986
2024-11-17,79.46656872983003
2024-11-24,79.46656872983003
2024-12-01,74.33969332790551
2024-12-08,88.43860068319793
2024-12-15,82.03000643079228
2024-12-22,73.05797447742438
2024-12-29,83.31172528127341
2025-01-05,85.87516298223568
2025-01-12,89.72031953367906
2025-01-19,79.46656872983003
2025-01-26,78.18484987934889
2025-02-02,64.08594252405648
2025-02-09,69.21281792598099
2025-02-16,92.28375723464131
2025-02-23,80.74828758031116
2025-03-02,85.87516298223568
2025-03-09,83.31172528127341
2025-03-16,78.18484987934889
2025-03-23,88.43860068319793
2025-03-30,76.90313102886776
2025-04-06,71.77625562694325
2025-04-13,43.5784409163584
2025-04-20,71.77625562694325
2025-04-27,80.74828758031116
2025-05-04,78.18484987934889
2025-05-11,64.08594252405648
2025-05-18,84.59344413175454
2025-05-25,76.90313102886776
2025-06-01,73.05797447742438
2025-06-08,71.77625562694325
2025-06-15,84.59344413175454
2025-06-22,75.62141217838663
2025-06-29,69.21281792598099
2025-07-06,80.74828758031116
2025-07-13,79.46656872983003
2025-07-20,76.90313102886776
2025-07-27,99.97407033752809
2025-08-03,71.77625562694325
2025-08-10,76.90313102886776
2025-08-17,80.74828758031116
2025-08-24,71.77625562694325
2025-08-31,71.77625562694325
2025-09-07,70.49453677646211
2025-09-14,82.03000643079228
2025-09-21,80.74828758031116
2025-09-28,75.62141217838663
2025-10-05,66.64938022501873
2025-10-12,89.72031953367906
2025-10-19,80.74828758031116
2025-10-26,69.21281792598099
2025-11-02,70.49453677646211
2025-11-09,57.67734827165082
2025-11-16,97.41063263656584
2025-11-23,66.64938022501873
2025-11-30,69.21281792598099
2025-12-07,71.77625562694325
2025-12-14,88.43860068319793
2025-12-21,82.03000643079228
2025-12-28,78.18484987934889
