,Investment
2023-08-20,124.34959349593495
2023-08-27,101.2560975609756
2023-09-03,103.03252032520325
2023-09-10,90.59756097560975
2023-09-17,101.2560975609756
2023-09-24,99.47967479674796
2023-10-01,103.03252032520325
2023-10-08,94.15040650406503
2023-10-15,92.3739837398374
2023-10-22,87.04471544715447
2023-10-29,94.15040650406503
2023-11-05,90.59756097560975
2023-11-12,111.91463414634146
2023-11-19,99.47967479674796
2023-11-26,111.91463414634146
2023-12-03,104.8089430894309
2023-12-10,88.8211382113821
2023-12-17,85.26829268292683
2023-12-24,88.8211382113821
2023-12-31,97.70325203252033
2024-01-07,103.03252032520322
2024-01-14,97.7032520325203
2024-01-21,97.7032520325203
2024-01-28,90.59756097560972
2024-02-04,87.04471544715445
2024-02-11,88.82113821138209
2024-02-18,92.37398373983737
2024-02-25,81.71544715447152
2024-03-03,99.47967479674794
2024-03-10,95.92682926829265
2024-03-17,83.49186991869917
2024-03-24,122.57317073170728
2024-03-31,113.69105691056907
2024-04-07,90.59756097560972
2024-04-14,88.82113821138209
2024-04-21,110.1382113821138
2024-04-28,97.7032520325203
2024-05-05,101.25609756097558
2024-05-12,97.7032520325203
2024-05-19,87.04471544715445
2024-05-26,90.59756097560972
2024-06-02,88.82113821138209
2024-06-09,79.93902439024389
2024-06-16,87.04471544715445
2024-06-23,95.92682926829265
2024-06-30,81.71544715447152
2024-07-07,95.92682926829265
2024-07-14,101.25609756097558
2024-07-21,79.93902439024389
2024-07-28,81.71544715447152
2024-08-04,79.93902439024389
2024-08-11,90.59756097560972
2024-08-18,88.82113821138209
2024-08-25,97.7032520325203
2024-09-01,88.82113821138209
2024-09-08,87.04471544715445
2024-09-15,74.60975609756096
2024-09-22,90.59756097560972
2024-09-29,99.47967479674794
2024-10-06,99.47967479674794
2024-10-13,90.59756097560972
2024-10-20,95.92682926829265
2024-10-27,104.80894308943087
2024-11-03,97.7032520325203
2024-11-10,79.93902439024389
2024-11-17,97.7032520325203
2024-11-24,99.47967479674794
2024-12-01,103.03252032520322
2024-12-08,101.25609756097558
2024-12-15,104.80894308943087
2024-12-22,99.47967479674794
2024-12-29,106.5853658536585
2025-01-05,104.80894308943087
2025-01-12,106.5853658536585
2025-01-19,120.79674796747965
2025-01-26,111.91463414634143
2025-02-02,103.03252032520322
2025-02-09,101.25609756097558
2025-02-16,101.25609756097558
2025-02-23,101.25609756097558
2025-03-02,90.59756097560972
2025-03-09,110.1382113821138
2025-03-16,99.47967479674794
2025-03-23,101.25609756097558
2025-03-30,87.04471544715445
2025-04-06,97.7032520325203
2025-04-13,81.71544715447152
