,Transportation & Logistics
2020-03-22,56.96202531645569
2020-03-29,46.70886075949367
2020-04-05,54.68354430379746
2020-04-12,45.56962025316455
2020-04-19,34.177215189873415
2020-04-26,28.481012658227844
2020-05-03,31.898734177215186
2020-05-10,37.59493670886076
2020-05-17,29.620253164556956
2020-05-24,43.291139240506325
2020-05-31,38.73417721518987
2020-06-07,48.98734177215189
2020-06-14,43.291139240506325
2020-06-21,44.430379746835435
2020-06-28,46.70886075949367
2020-07-05,58.101265822784804
2020-07-12,47.84810126582278
2020-07-19,54.68354430379746
2020-07-26,47.84810126582278
2020-08-02,56.96202531645569
2020-08-09,68.35443037974683
2020-08-16,62.658227848101255
2020-08-23,47.84810126582278
2020-08-30,50.12658227848101
2020-09-06,50.12658227848101
2020-09-13,62.658227848101255
2020-09-20,55.82278481012658
2020-09-27,66.0759493670886
2020-10-04,66.0759493670886
2020-10-11,64.93670886075948
2020-10-18,56.96202531645569
2020-10-25,70.63291139240505
2020-11-01,70.63291139240505
2020-11-08,63.79746835443037
2020-11-15,64.93670886075948
2020-11-22,69.49367088607595
2020-11-29,63.79746835443037
2020-12-06,79.74683544303797
2020-12-13,76.32911392405062
2020-12-20,88.86075949367087
2020-12-27,80.88607594936708
2021-01-03,84.30379746835442
2021-01-10,86.58227848101265
2021-01-17,79.74683544303797
2021-01-24,80.88607594936708
2021-01-31,88.86075949367087
2021-02-07,84.30379746835442
2021-02-14,85.44303797468353
2021-02-21,85.44303797468353
2021-02-28,94.55696202531644
2021-03-07,93.41772151898734
2021-03-14,94.55696202531644
2021-03-21,102.53164556962024
2021-03-28,113.92405063291137
2021-04-04,83.1645569620253
2021-04-11,59.24050632911391
2021-04-18,82.02531645569618
2021-04-25,83.1645569620253
2021-05-02,89.99999999999999
2021-05-09,88.86075949367087
2021-05-16,83.1645569620253
2021-05-23,78.60759493670885
2021-05-30,87.72151898734177
2021-06-06,89.99999999999999
2021-06-13,86.58227848101265
2021-06-20,82.02531645569618
2021-06-27,88.86075949367087
2021-07-04,92.27848101265822
2021-07-11,95.69620253164555
2021-07-18,75.18987341772151
2021-07-25,76.32911392405062
2021-08-01,77.46835443037973
2021-08-08,82.02531645569618
2021-08-15,89.99999999999999
2021-08-22,86.58227848101265
2021-08-29,89.99999999999999
2021-09-05,88.86075949367087
2021-09-12,91.1392405063291
2021-09-19,80.88607594936708
2021-09-26,80.88607594936708
2021-10-03,94.55696202531644
2021-10-10,88.86075949367087
2021-10-17,92.27848101265822
2021-10-24,104.81012658227847
2021-10-31,100.25316455696202
2021-11-07,107.08860759493669
2021-11-14,99.1139240506329
2021-11-21,102.53164556962024
2021-11-28,94.55696202531644
2021-12-05,97.97468354430379
2021-12-12,94.55696202531644
2021-12-19,96.83544303797467
2021-12-26,100.25316455696202
2022-01-02,89.99999999999999
2022-01-09,84.30379746835442
2022-01-16,99.1139240506329
2022-01-23,84.30379746835442
2022-01-30,78.60759493670885
2022-02-06,84.30379746835442
2022-02-13,84.30379746835442
2022-02-20,91.1392405063291
2022-02-27,111.64556962025316
2022-03-06,91.1392405063291
2022-03-13,99.1139240506329
2022-03-20,86.58227848101265
2022-03-27,72.91139240506328
2022-04-03,77.46835443037973
2022-04-10,85.44303797468353
2022-04-17,96.83544303797467
2022-04-24,92.27848101265822
2022-05-01,72.91139240506328
2022-05-08,93.41772151898734
2022-05-15,94.55696202531644
2022-05-22,92.27848101265822
2022-05-29,88.86075949367087
2022-06-05,82.02531645569618
2022-06-12,99.1139240506329
2022-06-19,84.30379746835442
2022-06-26,95.69620253164555
2022-07-03,75.18987341772151
2022-07-10,74.0506329113924
2022-07-17,82.02531645569618
2022-07-24,64.93670886075948
2022-07-31,84.30379746835442
2022-08-07,76.32911392405062
2022-08-14,86.58227848101265
2022-08-21,80.88607594936708
2022-08-28,86.58227848101265
2022-09-04,82.02531645569618
2022-09-11,77.46835443037973
2022-09-18,79.74683544303797
2022-09-25,74.0506329113924
2022-10-02,74.0506329113924
2022-10-09,78.60759493670885
2022-10-16,71.77215189873417
2022-10-23,70.63291139240505
2022-10-30,76.32911392405062
2022-11-06,82.02531645569618
2022-11-13,85.44303797468353
2022-11-20,74.0506329113924
2022-11-27,82.02531645569618
2022-12-04,83.1645569620253
2022-12-11,87.72151898734177
2022-12-18,85.44303797468353
2022-12-25,82.02531645569618
2023-01-01,83.1645569620253
2023-01-08,89.99999999999999
2023-01-15,84.30379746835442
2023-01-22,89.99999999999999
2023-01-29,91.1392405063291
2023-02-05,95.69620253164555
2023-02-12,82.02531645569618
2023-02-19,86.58227848101265
2023-02-26,92.27848101265822
2023-03-05,91.1392405063291
2023-03-12,87.72151898734177
2023-03-19,87.72151898734177
2023-03-26,87.72151898734177
2023-04-02,91.1392405063291
2023-04-09,100.25316455696202
2023-04-16,95.69620253164555
2023-04-23,83.1645569620253
2023-04-30,95.69620253164555
2023-05-07,94.55696202531644
2023-05-14,87.72151898734177
2023-05-21,92.27848101265822
2023-05-28,95.69620253164555
2023-06-04,94.55696202531644
2023-06-11,89.99999999999999
2023-06-18,79.74683544303797
2023-06-25,66.0759493670886
2023-07-02,91.1392405063291
2023-07-09,85.44303797468353
2023-07-16,80.88607594936708
2023-07-23,76.32911392405062
2023-07-30,72.91139240506328
2023-08-06,82.02531645569618
2023-08-13,108.2278481012658
2023-08-20,94.55696202531644
2023-08-27,92.27848101265822
2023-09-03,88.86075949367087
2023-09-10,85.44303797468353
2023-09-17,96.83544303797467
2023-09-24,77.46835443037973
2023-10-01,86.58227848101265
2023-10-08,94.55696202531644
2023-10-15,89.99999999999999
2023-10-22,85.44303797468353
2023-10-29,101.39240506329112
2023-11-05,92.27848101265822
2023-11-12,94.55696202531644
2023-11-19,96.83544303797467
2023-11-26,105.94936708860759
2023-12-03,103.67088607594935
2023-12-10,103.67088607594935
2023-12-17,103.67088607594935
2023-12-24,111.64556962025316
2023-12-31,105.94936708860759
2024-01-07,113.53602593729515
2024-01-14,113.53602593729515
2024-01-21,97.99951712482317
2024-01-28,95.6092849998275
2024-02-04,108.75556168730377
2024-02-11,112.3409098747973
2024-02-18,94.41416893732965
2024-02-25,105.17021349981025
2024-03-03,111.14579381229946
2024-03-10,96.80440106232534
2024-03-17,105.17021349981025
2024-03-24,105.17021349981025
2024-03-31,90.82882074983611
2024-04-07,81.26789224985336
2024-04-14,107.56044562480592
2024-04-21,97.99951712482317
2024-04-28,94.41416893732965
2024-05-05,89.63370468733827
2024-05-12,96.80440106232534
2024-05-19,90.82882074983611
2024-05-26,107.56044562480592
2024-06-02,99.19463318732102
2024-06-09,95.6092849998275
2024-06-16,81.26789224985336
2024-06-23,89.63370468733827
2024-06-30,93.2190528748318
2024-07-07,101.58486531231671
2024-07-14,107.56044562480592
2024-07-21,96.80440106232534
2024-07-28,106.36532956230808
2024-08-04,113.53602593729515
2024-08-11,107.56044562480592
2024-08-18,113.53602593729515
2024-08-25,93.2190528748318
2024-09-01,89.63370468733827
2024-09-08,92.02393681233396
2024-09-15,102.77998137481455
2024-09-22,92.02393681233396
2024-09-29,88.43858862484043
2024-10-06,106.36532956230808
2024-10-13,95.6092849998275
2024-10-20,96.80440106232534
2024-10-27,107.56044562480592
2024-11-03,94.41416893732965
2024-11-10,102.77998137481455
2024-11-17,106.36532956230808
2024-11-24,114.73114199979298
2024-12-01,113.53602593729515
2024-12-08,118.31649018728652
2024-12-15,111.14579381229946
2024-12-22,119.51160624978436
2024-12-29,114.73114199979298
2025-01-05,114.73114199979298
2025-01-12,117.12137412478867
2025-01-19,105.17021349981025
2025-01-26,105.17021349981025
2025-02-02,112.3409098747973
2025-02-09,107.56044562480592
2025-02-16,107.56044562480592
2025-02-23,102.77998137481455
2025-03-02,105.17021349981025
2025-03-09,112.3409098747973
2025-03-16,96.80440106232534
2025-03-23,87.24347256234259
2025-03-30,101.58486531231671
2025-04-06,118.31649018728652
2025-04-13,118.31649018728652
2025-04-20,103.9750974373124
2025-04-27,99.19463318732102
2025-05-04,108.75556168730377
2025-05-11,102.77998137481455
2025-05-18,118.31649018728652
2025-05-25,105.17021349981025
2025-06-01,96.80440106232534
2025-06-08,96.80440106232534
2025-06-15,100.38974924981886
2025-06-22,111.14579381229946
2025-06-29,107.56044562480592
2025-07-06,97.99951712482317
2025-07-13,106.36532956230808
2025-07-20,92.02393681233396
2025-07-27,96.80440106232534
2025-08-03,92.02393681233396
2025-08-10,111.14579381229946
2025-08-17,101.58486531231671
2025-08-24,99.19463318732102
2025-08-31,106.36532956230808
2025-09-07,87.24347256234259
2025-09-14,102.77998137481455
2025-09-21,84.8532404373469
2025-09-28,97.99951712482317
2025-10-05,100.38974924981886
2025-10-12,105.17021349981025
2025-10-19,108.75556168730377
2025-10-26,100.38974924981886
2025-11-02,109.95067774980161
2025-11-09,105.17021349981025
2025-11-16,114.73114199979298
2025-11-23,109.95067774980161
2025-11-30,111.14579381229946
2025-12-07,111.14579381229946
2025-12-14,118.31649018728652
2025-12-21,118.31649018728652
2025-12-28,108.75556168730377
2026-01-04,113.53602593729515
