,Health
2023-03-05,126.66097352690008
2023-03-12,132.59820666097352
2023-03-19,128.64005123825788
2023-03-26,126.66097352690008
2023-04-02,132.59820666097352
2023-04-09,124.68189581554226
2023-04-16,128.64005123825788
2023-04-23,126.66097352690008
2023-04-30,120.72374039282664
2023-05-07,124.68189581554226
2023-05-14,124.68189581554226
2023-05-21,120.72374039282664
2023-05-28,130.6191289496157
2023-06-04,126.66097352690008
2023-06-11,134.57728437233135
2023-06-18,134.57728437233135
2023-06-25,134.57728437233135
2023-07-02,142.4935952177626
2023-07-09,138.53543979504695
2023-07-16,136.55636208368915
2023-07-23,138.53543979504695
2023-07-30,150.40990606319383
2023-08-06,148.43082835183603
2023-08-13,140.5145175064048
2023-08-20,140.5145175064048
2023-08-27,126.66097352690008
2023-09-03,128.64005123825788
2023-09-10,132.59820666097352
2023-09-17,130.6191289496157
2023-09-24,138.53543979504695
2023-10-01,136.55636208368915
2023-10-08,134.57728437233135
2023-10-15,122.70281810418444
2023-10-22,112.80742954739539
2023-10-29,118.74466268146882
2023-11-05,116.76558497011101
2023-11-12,114.7865072587532
2023-11-19,128.64005123825788
2023-11-26,124.68189581554226
2023-12-03,126.66097352690008
2023-12-10,132.59820666097352
2023-12-17,128.64005123825788
2023-12-24,132.59820666097352
2023-12-31,132.59820666097352
2024-01-07,125.04011364598499
2024-01-14,117.50757667935939
2024-01-21,105.45551753275842
2024-01-28,122.02709885933474
2024-02-04,122.02709885933474
2024-02-11,117.50757667935939
2024-02-18,122.02709885933474
2024-02-25,120.52059146600962
2024-03-03,119.0140840726845
2024-03-10,117.50757667935939
2024-03-17,120.52059146600962
2024-03-24,112.98805449938402
2024-03-31,117.50757667935939
2024-04-07,114.49456189270914
2024-04-14,108.46853231940867
2024-04-21,112.98805449938402
2024-04-28,122.02709885933474
2024-05-05,122.02709885933474
2024-05-12,117.50757667935939
2024-05-19,119.0140840726845
2024-05-26,123.53360625265987
2024-06-02,117.50757667935939
2024-06-09,117.50757667935939
2024-06-16,126.54662103931011
2024-06-23,122.02709885933474
2024-06-30,129.55963582596036
2024-07-07,122.02709885933474
2024-07-14,128.05312843263522
2024-07-21,129.55963582596036
2024-07-28,128.05312843263522
2024-08-04,134.0791580059357
2024-08-11,123.53360625265987
2024-08-18,129.55963582596036
2024-08-25,126.54662103931011
2024-09-01,123.53360625265987
2024-09-08,125.04011364598499
2024-09-15,125.04011364598499
2024-09-22,122.02709885933474
2024-09-29,112.98805449938402
2024-10-06,109.97503971273377
2024-10-13,117.50757667935939
2024-10-20,114.49456189270914
2024-10-27,102.44250274610818
2024-11-03,116.00106928603427
2024-11-10,109.97503971273377
2024-11-17,111.4815471060589
2024-11-24,109.97503971273377
2024-12-01,116.00106928603427
2024-12-08,111.4815471060589
2024-12-15,114.49456189270914
2024-12-22,119.0140840726845
2024-12-29,117.50757667935939
2025-01-05,120.52059146600962
2025-01-12,105.45551753275842
2025-01-19,134.0791580059357
2025-01-26,111.4815471060589
2025-02-02,114.49456189270914
2025-02-09,111.4815471060589
2025-02-16,117.50757667935939
2025-02-23,103.9490101394333
2025-03-02,112.98805449938402
2025-03-09,105.45551753275842
2025-03-16,120.52059146600962
2025-03-23,114.49456189270914
2025-03-30,112.98805449938402
2025-04-06,109.97503971273377
2025-04-13,114.49456189270914
2025-04-20,112.98805449938402
2025-04-27,112.98805449938402
2025-05-04,106.96202492608354
2025-05-11,109.97503971273377
2025-05-18,112.98805449938402
2025-05-25,111.4815471060589
2025-06-01,111.4815471060589
2025-06-08,119.0140840726845
2025-06-15,117.50757667935939
2025-06-22,117.50757667935939
2025-06-29,122.02709885933474
2025-07-06,117.50757667935939
2025-07-13,126.54662103931011
2025-07-20,126.54662103931011
2025-07-27,120.52059146600962
2025-08-03,111.4815471060589
2025-08-10,108.46853231940867
2025-08-17,116.00106928603427
2025-08-24,112.98805449938402
2025-08-31,114.49456189270914
2025-09-07,114.49456189270914
2025-09-14,112.98805449938402
2025-09-21,111.4815471060589
2025-09-28,97.92298056613282
2025-10-05,106.96202492608354
2025-10-12,100.93599535278305
2025-10-19,90.39044359950722
2025-10-26,102.44250274610818
2025-11-02,102.44250274610818
2025-11-09,105.45551753275842
2025-11-16,108.46853231940867
2025-11-23,102.44250274610818
2025-11-30,105.45551753275842
2025-12-07,108.46853231940867
2025-12-14,108.46853231940867
2025-12-21,108.46853231940867
2025-12-28,108.46853231940867
2026-01-04,111.4815471060589
