,Books & Literature
2018-07-01,75.0
2018-07-08,78.0
2018-07-15,77.0
2018-07-22,77.0
2018-07-29,73.0
2018-08-05,75.0
2018-08-12,78.0
2018-08-19,73.0
2018-08-26,79.0
2018-09-02,74.0
2018-09-09,77.0
2018-09-16,78.0
2018-09-23,82.0
2018-09-30,81.0
2018-10-07,84.0
2018-10-14,82.0
2018-10-21,77.0
2018-10-28,75.0
2018-11-04,76.0
2018-11-11,82.0
2018-11-18,82.0
2018-11-25,78.0
2018-12-02,76.0
2018-12-09,72.0
2018-12-16,80.0
2018-12-23,79.0
2018-12-30,81.0
2019-01-06,75.0
2019-01-13,78.0
2019-01-20,76.0
2019-01-27,77.0
2019-02-03,76.0
2019-02-10,87.0
2019-02-17,83.0
2019-02-24,77.0
2019-03-03,78.0
2019-03-10,76.0
2019-03-17,76.0
2019-03-24,75.0
2019-03-31,71.0
2019-04-07,73.0
2019-04-14,73.0
2019-04-21,55.0
2019-04-28,72.0
2019-05-05,75.0
2019-05-12,69.0
2019-05-19,81.0
2019-05-26,74.0
2019-06-02,72.0
2019-06-09,74.0
2019-06-16,75.0
2019-06-23,78.0
2019-06-30,76.0
2019-07-07,77.0
2019-07-14,73.0
2019-07-21,76.0
2019-07-28,72.0
2019-08-04,73.0
2019-08-11,71.0
2019-08-18,72.0
2019-08-25,73.0
2019-09-01,73.0
2019-09-08,74.0
2019-09-15,75.0
2019-09-22,79.0
2019-09-29,71.0
2019-10-06,73.0
2019-10-13,74.0
2019-10-20,73.0
2019-10-27,67.0
2019-11-03,70.0
2019-11-10,66.0
2019-11-17,67.0
2019-11-24,69.0
2019-12-01,67.0
2019-12-08,65.0
2019-12-15,73.0
2019-12-22,69.0
2019-12-29,76.0
2020-01-05,69.95222929936307
2020-01-12,72.99363057324841
2020-01-19,69.95222929936307
2020-01-26,62.855626326963915
2020-02-02,65.89702760084927
2020-02-09,70.96602972399151
2020-02-16,70.96602972399151
2020-02-23,68.93842887473461
2020-03-01,68.93842887473461
2020-03-08,62.855626326963915
2020-03-15,64.88322717622081
2020-03-22,81.10403397027602
2020-03-29,76.03503184713377
2020-04-05,85.15923566878982
2020-04-12,77.04883227176222
2020-04-19,75.02123142250531
2020-04-26,78.06263269639066
2020-05-03,77.04883227176222
2020-05-10,78.06263269639066
2020-05-17,74.00743099787687
2020-05-24,70.96602972399151
2020-05-31,76.03503184713377
2020-06-07,71.97983014861997
2020-06-14,69.95222929936307
2020-06-21,70.96602972399151
2020-06-28,69.95222929936307
2020-07-05,69.95222929936307
2020-07-12,70.96602972399151
2020-07-19,69.95222929936307
2020-07-26,65.89702760084927
2020-08-02,70.96602972399151
2020-08-09,65.89702760084927
2020-08-16,65.89702760084927
2020-08-23,64.88322717622081
2020-08-30,68.93842887473461
2020-09-06,68.93842887473461
2020-09-13,71.97983014861997
2020-09-20,68.93842887473461
2020-09-27,75.02123142250531
2020-10-04,68.93842887473461
2020-10-11,70.96602972399151
2020-10-18,70.96602972399151
2020-10-25,72.99363057324841
2020-11-01,68.93842887473461
2020-11-08,69.95222929936307
2020-11-15,70.96602972399151
2020-11-22,68.93842887473461
2020-11-29,65.89702760084927
2020-12-06,66.91082802547771
2020-12-13,64.88322717622081
2020-12-20,72.99363057324841
2020-12-27,68.93842887473461
2021-01-03,66.91082802547771
2021-01-10,70.96602972399151
2021-01-17,64.88322717622081
2021-01-24,65.89702760084927
2021-01-31,67.92462845010617
2021-02-07,65.89702760084927
2021-02-14,64.88322717622081
2021-02-21,65.89702760084927
2021-02-28,68.93842887473461
2021-03-07,62.855626326963915
2021-03-14,64.88322717622081
2021-03-21,62.855626326963915
2021-03-28,65.89702760084927
2021-04-04,56.77282377919321
2021-04-11,49.67622080679406
2021-04-18,59.814225053078566
2021-04-25,66.91082802547771
2021-05-02,69.95222929936307
2021-05-09,75.02123142250531
2021-05-16,71.97983014861997
2021-05-23,71.97983014861997
2021-05-30,78.06263269639066
2021-06-06,81.10403397027602
2021-06-13,79.07643312101912
2021-06-20,77.04883227176222
2021-06-27,78.06263269639066
2021-07-04,76.03503184713377
2021-07-11,72.99363057324841
2021-07-18,69.95222929936307
2021-07-25,68.93842887473461
2021-08-01,67.92462845010617
2021-08-08,68.93842887473461
2021-08-15,63.869426751592364
2021-08-22,71.97983014861997
2021-08-29,77.04883227176222
2021-09-05,76.03503184713377
2021-09-12,80.09023354564756
2021-09-19,71.97983014861997
2021-09-26,75.02123142250531
2021-10-03,71.97983014861997
2021-10-10,64.88322717622081
2021-10-17,59.814225053078566
2021-10-24,66.91082802547771
2021-10-31,61.841825902335465
2021-11-07,63.869426751592364
2021-11-14,65.89702760084927
2021-11-21,64.88322717622081
2021-11-28,63.869426751592364
2021-12-05,61.841825902335465
2021-12-12,62.855626326963915
2021-12-19,63.869426751592364
2021-12-26,68.93842887473461
2022-01-02,93.26963906581742
2022-01-09,84.14543524416136
2022-01-16,78.06263269639066
2022-01-23,91.24203821656052
2022-01-30,88.20063694267517
2022-02-06,87.18683651804672
2022-02-13,96.31104033970277
2022-02-20,92.25583864118897
2022-02-27,90.22823779193207
2022-03-06,91.24203821656052
2022-03-13,86.17303609341826
2022-03-20,88.20063694267517
2022-03-27,80.09023354564756
2022-04-03,83.13163481953292
2022-04-10,78.06263269639066
2022-04-17,85.15923566878982
2022-04-24,86.17303609341826
2022-05-01,89.21443736730362
2022-05-08,90.22823779193207
2022-05-15,87.18683651804672
2022-05-22,94.28343949044587
2022-05-29,98.33864118895967
2022-06-05,89.21443736730362
2022-06-12,87.18683651804672
2022-06-19,95.29723991507431
2022-06-26,99.35244161358813
2022-07-03,89.21443736730362
2022-07-10,94.28343949044587
2022-07-17,98.33864118895967
2022-07-24,91.24203821656052
2022-07-31,94.28343949044587
2022-08-07,93.26963906581742
2022-08-14,94.28343949044587
2022-08-21,95.29723991507431
2022-08-28,96.31104033970277
2022-09-04,91.24203821656052
2022-09-11,87.18683651804672
2022-09-18,101.38004246284503
2022-09-25,93.26963906581742
2022-10-02,97.32484076433121
2022-10-09,99.35244161358813
2022-10-16,97.32484076433121
2022-10-23,93.26963906581742
2022-10-30,96.31104033970277
2022-11-06,91.24203821656052
2022-11-13,93.26963906581742
2022-11-20,81.10403397027602
2022-11-27,85.15923566878982
2022-12-04,82.11783439490446
2022-12-11,87.18683651804672
2022-12-18,86.17303609341826
2022-12-25,95.29723991507431
2023-01-01,86.17303609341826
2023-01-08,91.24203821656052
2023-01-15,83.13163481953292
2023-01-22,81.10403397027602
2023-01-29,87.18683651804672
2023-02-05,86.17303609341826
2023-02-12,87.18683651804672
2023-02-19,90.22823779193207
2023-02-26,87.18683651804672
2023-03-05,90.22823779193207
2023-03-12,79.07643312101912
2023-03-19,85.15923566878982
2023-03-26,82.11783439490446
2023-04-02,83.13163481953292
2023-04-09,71.97983014861997
2023-04-16,81.10403397027602
2023-04-23,86.17303609341826
2023-04-30,83.13163481953292
2023-05-07,90.22823779193207
2023-05-14,87.18683651804672
2023-05-21,86.17303609341826
2023-05-28,87.18683651804672
2023-06-04,84.14543524416136
2023-06-11,90.22823779193207
2023-06-18,92.25583864118897
2023-06-25,90.22823779193207
2023-07-02,89.21443736730362
2023-07-09,96.31104033970277
2023-07-16,88.20063694267517
2023-07-23,83.13163481953292
2023-07-30,85.15923566878982
2023-08-06,87.18683651804672
2023-08-13,88.20063694267517
2023-08-20,81.10403397027602
2023-08-27,85.15923566878982
2023-09-03,84.14543524416136
2023-09-10,83.13163481953292
2023-09-17,85.15923566878982
2023-09-24,93.26963906581742
2023-10-01,84.14543524416136
2023-10-08,82.11783439490446
2023-10-15,86.17303609341826
2023-10-22,79.07643312101912
2023-10-29,77.04883227176222
2023-11-05,77.04883227176222
2023-11-12,77.04883227176222
2023-11-19,76.03503184713377
2023-11-26,79.07643312101912
2023-12-03,79.07643312101912
2023-12-10,81.10403397027602
2023-12-17,80.09023354564756
2023-12-24,84.14543524416136
2023-12-31,87.18683651804672
2024-01-07,84.88121947669313
2024-01-14,81.02298222775254
2024-01-21,76.20018566657679
2024-01-28,78.12930429104709
2024-02-04,84.88121947669313
2024-02-11,85.84577878892829
2024-02-18,79.09386360328224
2024-02-25,79.09386360328224
2024-03-03,77.16474497881194
2024-03-10,76.20018566657679
2024-03-17,77.16474497881194
2024-03-24,75.23562635434163
2024-03-31,75.23562635434163
2024-04-07,64.625473919755
2024-04-14,64.625473919755
2024-04-21,71.37738910540105
2024-04-28,78.12930429104709
2024-05-05,77.16474497881194
2024-05-12,76.20018566657679
2024-05-19,67.51915185646044
2024-05-26,76.20018566657679
2024-06-02,78.12930429104709
2024-06-09,76.20018566657679
2024-06-16,71.37738910540105
2024-06-23,76.20018566657679
2024-06-30,78.12930429104709
2024-07-07,76.20018566657679
2024-07-14,76.20018566657679
2024-07-21,71.37738910540105
2024-07-28,76.20018566657679
2024-08-04,74.2710670421065
2024-08-11,77.16474497881194
2024-08-18,74.2710670421065
2024-08-25,77.16474497881194
2024-09-01,81.02298222775254
2024-09-08,77.16474497881194
2024-09-15,69.44827048093074
2024-09-22,73.30650772987134
2024-09-29,83.91666016445798
2024-10-06,76.20018566657679
2024-10-13,74.2710670421065
2024-10-20,79.09386360328224
2024-10-27,78.12930429104709
2024-11-03,76.20018566657679
2024-11-10,76.20018566657679
2024-11-17,76.20018566657679
2024-11-24,71.37738910540105
2024-12-01,70.4128297931659
2024-12-08,75.23562635434163
2024-12-15,71.37738910540105
2024-12-22,80.05842291551738
2024-12-29,78.12930429104709
2025-01-05,76.20018566657679
2025-01-12,77.16474497881194
2025-01-19,72.34194841763619
2025-01-26,72.34194841763619
2025-02-02,75.23562635434163
2025-02-09,68.48371116869559
2025-02-16,70.4128297931659
2025-02-23,74.2710670421065
2025-03-02,66.5545925442253
2025-03-09,68.48371116869559
2025-03-16,67.51915185646044
2025-03-23,69.44827048093074
2025-03-30,65.59003323199015
2025-04-06,63.66091460751985
2025-04-13,52.08620286069806
2025-04-20,68.48371116869559
2025-04-27,69.44827048093074
2025-05-04,65.59003323199015
2025-05-11,63.66091460751985
2025-05-18,68.48371116869559
2025-05-25,66.5545925442253
2025-06-01,66.5545925442253
2025-06-08,66.5545925442253
2025-06-15,68.48371116869559
2025-06-22,70.4128297931659
2025-06-29,67.51915185646044
2025-07-06,65.59003323199015
2025-07-13,69.44827048093074
2025-07-20,70.4128297931659
2025-07-27,71.37738910540105
2025-08-03,68.48371116869559
2025-08-10,65.59003323199015
2025-08-17,60.7672366708144
2025-08-24,64.625473919755
2025-08-31,64.625473919755
2025-09-07,60.7672366708144
2025-09-14,65.59003323199015
2025-09-21,71.37738910540105
2025-09-28,77.16474497881194
2025-10-05,71.37738910540105
2025-10-12,64.625473919755
2025-10-19,63.66091460751985
2025-10-26,60.7672366708144
2025-11-02,60.7672366708144
2025-11-09,59.80267735857925
2025-11-16,61.73179598304955
2025-11-23,53.050762172933204
2025-11-30,53.050762172933204
2025-12-07,62.696355295284704
2025-12-14,64.625473919755
2025-12-21,73.30650772987134
2025-12-28,67.51915185646044
2026-01-04,66.5545925442253
