,Cleaning Supplies & Services
2022-07-17,99.09475167312432
2022-07-24,87.76963719619583
2022-07-31,114.666784078901
2022-08-07,103.34166960197251
2022-08-14,110.41986615005281
2022-08-21,110.41986615005281
2022-08-28,103.34166960197251
2022-09-04,110.41986615005281
2022-09-11,99.09475167312432
2022-09-18,141.5639309616062
2022-09-25,125.9918985558295
2022-10-02,97.67911236350827
2022-10-09,101.92603029235644
2022-10-16,110.41986615005281
2022-10-23,97.67911236350827
2022-10-30,103.34166960197251
2022-11-06,101.92603029235644
2022-11-13,106.17294822120463
2022-11-20,104.75730891158857
2022-11-27,101.92603029235644
2022-12-04,97.67911236350827
2022-12-11,107.58858753082069
2022-12-18,109.00422684043676
2022-12-25,106.17294822120463
2023-01-01,103.34166960197251
2023-01-08,96.2634730538922
2023-01-15,103.34166960197251
2023-01-22,100.51039098274039
2023-01-29,109.00422684043676
2023-02-05,103.34166960197251
2023-02-12,92.01655512504402
2023-02-19,96.2634730538922
2023-02-26,109.00422684043676
2023-03-05,100.51039098274039
2023-03-12,114.666784078901
2023-03-19,109.00422684043676
2023-03-26,113.25114476928493
2023-04-02,100.51039098274039
2023-04-09,79.27580133849946
2023-04-16,109.00422684043676
2023-04-23,107.58858753082069
2023-04-30,89.18527650581188
2023-05-07,121.74498062698132
2023-05-14,106.17294822120463
2023-05-21,97.67911236350827
2023-05-28,93.43219443466008
2023-06-04,120.32934131736525
2023-06-11,110.41986615005281
2023-06-18,101.92603029235644
2023-06-25,103.34166960197251
2023-07-02,86.35399788657976
2023-07-09,100.51039098274039
2023-07-16,109.00422684043676
2023-07-23,92.01655512504402
2023-07-30,111.83550545966888
2023-08-06,94.84783374427614
2023-08-13,92.01655512504402
2023-08-20,96.2634730538922
2023-08-27,97.67911236350827
2023-09-03,100.51039098274039
2023-09-10,100.51039098274039
2023-09-17,111.83550545966888
2023-09-24,104.75730891158857
2023-10-01,109.00422684043676
2023-10-08,99.09475167312432
2023-10-15,89.18527650581188
2023-10-22,100.51039098274039
2023-10-29,94.84783374427614
2023-11-05,106.17294822120463
2023-11-12,100.51039098274039
2023-11-19,99.09475167312432
2023-11-26,110.41986615005281
2023-12-03,92.01655512504402
2023-12-10,106.17294822120463
2023-12-17,96.2634730538922
2023-12-24,87.76963719619583
2023-12-31,111.83550545966888
2024-01-07,117.61957508079988
2024-01-14,108.45441338619209
2024-01-21,103.8718325388882
2024-01-28,102.3443055897869
2024-02-04,113.03699423349599
2024-02-11,109.98194033529339
2024-02-18,125.25720982630637
2024-02-25,119.14710202990116
2024-03-03,116.09204813169858
2024-03-10,119.14710202990116
2024-03-17,117.61957508079988
2024-03-24,109.98194033529339
2024-03-31,109.98194033529339
2024-04-07,103.8718325388882
2024-04-14,88.59656304787524
2024-04-21,111.50946728439469
2024-04-28,97.76172474248301
2024-05-05,100.81677864068561
2024-05-12,105.3993594879895
2024-05-19,87.06903609877394
2024-05-26,106.92688643709079
2024-06-02,117.61957508079988
2024-06-09,114.56452118259728
2024-06-16,123.72968287720506
2024-06-23,123.72968287720506
2024-06-30,119.14710202990116
2024-07-07,113.03699423349599
2024-07-14,103.8718325388882
2024-07-21,108.45441338619209
2024-07-28,123.72968287720506
2024-08-04,100.81677864068561
2024-08-11,128.31226372450897
2024-08-18,108.45441338619209
2024-08-25,113.03699423349599
2024-09-01,106.92688643709079
2024-09-08,106.92688643709079
2024-09-15,96.23419779338171
2024-09-22,109.98194033529339
2024-09-29,106.92688643709079
2024-10-06,97.76172474248301
2024-10-13,106.92688643709079
2024-10-20,114.56452118259728
2024-10-27,91.65161694607782
2024-11-03,106.92688643709079
2024-11-10,117.61957508079988
