,Vehicle Shopping
2022-02-27,81.8493042793384
2022-03-06,91.83092675242845
2022-03-13,78.85481753741139
2022-03-20,89.83460225781045
2022-03-27,83.84562877395642
2022-04-03,81.8493042793384
2022-04-10,85.84195326857443
2022-04-17,77.85665529010238
2022-04-24,78.85481753741139
2022-05-01,81.8493042793384
2022-05-08,81.8493042793384
2022-05-15,86.84011551588343
2022-05-22,99.81622473090049
2022-05-29,87.83827776319244
2022-06-05,89.83460225781045
2022-06-12,84.84379102126542
2022-06-19,86.84011551588343
2022-06-26,93.82725124704646
2022-07-03,93.82725124704646
2022-07-10,96.82173798897348
2022-07-17,92.82908899973746
2022-07-24,85.84195326857443
2022-07-31,90.83276450511944
2022-08-07,89.83460225781045
2022-08-14,92.82908899973746
2022-08-21,90.83276450511944
2022-08-28,85.84195326857443
2022-09-04,82.84746652664741
2022-09-11,87.83827776319244
2022-09-18,83.84562877395642
2022-09-25,83.84562877395642
2022-10-02,81.8493042793384
2022-10-09,79.85297978472039
2022-10-16,84.84379102126542
2022-10-23,72.86584405355735
2022-10-30,77.85665529010238
2022-11-06,78.85481753741139
2022-11-13,80.8511420320294
2022-11-20,76.85849304279338
2022-11-27,80.8511420320294
2022-12-04,81.8493042793384
2022-12-11,82.84746652664741
2022-12-18,85.84195326857443
2022-12-25,87.83827776319244
2023-01-01,87.83827776319244
2023-01-08,86.84011551588343
2023-01-15,92.82908899973746
2023-01-22,87.83827776319244
2023-01-29,89.83460225781045
2023-02-05,79.85297978472039
2023-02-12,83.84562877395642
2023-02-19,86.84011551588343
2023-02-26,84.84379102126542
2023-03-05,77.85665529010238
2023-03-12,81.8493042793384
2023-03-19,88.83644001050143
2023-03-26,81.8493042793384
2023-04-02,79.85297978472039
2023-04-09,82.84746652664741
2023-04-16,75.86033079548437
2023-04-23,77.85665529010238
2023-04-30,81.8493042793384
2023-05-07,77.85665529010238
2023-05-14,79.85297978472039
2023-05-21,82.84746652664741
2023-05-28,81.8493042793384
2023-06-04,85.84195326857443
2023-06-11,87.83827776319244
2023-06-18,87.83827776319244
2023-06-25,89.83460225781045
2023-07-02,94.82541349435547
2023-07-09,89.83460225781045
2023-07-16,88.83644001050143
2023-07-23,89.83460225781045
2023-07-30,85.84195326857443
2023-08-06,87.83827776319244
2023-08-13,81.8493042793384
2023-08-20,84.84379102126542
2023-08-27,89.83460225781045
2023-09-03,85.84195326857443
2023-09-10,79.85297978472039
2023-09-17,82.84746652664741
2023-09-24,81.8493042793384
2023-10-01,82.84746652664741
2023-10-08,77.85665529010238
2023-10-15,77.85665529010238
2023-10-22,75.86033079548437
2023-10-29,72.86584405355735
2023-11-05,70.86951955893934
2023-11-12,66.87687056970333
2023-11-19,70.86951955893934
2023-11-26,75.86033079548437
2023-12-03,76.85849304279338
2023-12-10,79.85297978472039
2023-12-17,82.84746652664741
2023-12-24,87.83827776319244
2023-12-31,80.8511420320294
2024-01-07,79.16847420569503
2024-01-14,79.16847420569503
2024-01-21,73.2308386402679
2024-01-28,70.26202085755435
2024-02-04,69.27241492998316
2024-02-11,68.28280900241197
2024-02-18,71.25162678512552
2024-02-25,67.29320307484078
2024-03-03,67.29320307484078
2024-03-10,71.25162678512552
2024-03-17,68.28280900241197
2024-03-24,63.33477936455603
2024-03-31,66.30359714726958
2024-04-07,66.30359714726958
2024-04-14,62.34517343698484
2024-04-21,65.31399121969841
2024-04-28,78.17886827812384
2024-05-05,69.27241492998316
2024-05-12,70.26202085755435
2024-05-19,67.29320307484078
2024-05-26,72.24123271269671
2024-06-02,63.33477936455603
2024-06-09,66.30359714726958
2024-06-16,70.26202085755435
2024-06-23,65.31399121969841
2024-06-30,69.27241492998316
2024-07-07,69.27241492998316
2024-07-14,72.24123271269671
2024-07-21,72.24123271269671
2024-07-28,72.24123271269671
2024-08-04,68.28280900241197
2024-08-11,84.11650384355097
2024-08-18,77.18926235055265
2024-08-25,72.24123271269671
2024-09-01,66.30359714726958
2024-09-08,65.31399121969841
2024-09-15,68.28280900241197
2024-09-22,66.30359714726958
2024-09-29,66.30359714726958
2024-10-06,65.31399121969841
2024-10-13,73.2308386402679
2024-10-20,65.31399121969841
2024-10-27,60.36596158184246
2024-11-03,64.32438529212722
2024-11-10,70.26202085755435
2024-11-17,63.33477936455603
2024-11-24,75.21005049541029
2024-12-01,67.29320307484078
2024-12-08,61.35556750941365
2024-12-15,70.26202085755435
2024-12-22,74.2204445678391
2024-12-29,67.29320307484078
2025-01-05,64.32438529212722
2025-01-12,64.32438529212722
2025-01-19,65.31399121969841
2025-01-26,59.37635565427128
2025-02-02,62.34517343698484
2025-02-09,61.35556750941365
2025-02-16,59.37635565427128
2025-02-23,58.38674972670009
2025-03-02,57.3971437991289
2025-03-09,56.407537871557714
2025-03-16,63.33477936455603
2025-03-23,58.38674972670009
2025-03-30,59.37635565427128
2025-04-06,59.37635565427128
2025-04-13,61.35556750941365
2025-04-20,58.38674972670009
2025-04-27,61.35556750941365
2025-05-04,56.407537871557714
2025-05-11,62.34517343698484
2025-05-18,63.33477936455603
2025-05-25,63.33477936455603
2025-06-01,65.31399121969841
2025-06-08,65.31399121969841
2025-06-15,65.31399121969841
2025-06-22,67.29320307484078
2025-06-29,70.26202085755435
2025-07-06,64.32438529212722
2025-07-13,69.27241492998316
2025-07-20,66.30359714726958
2025-07-27,67.29320307484078
2025-08-03,63.33477936455603
2025-08-10,70.26202085755435
2025-08-17,71.25162678512552
2025-08-24,69.27241492998316
2025-08-31,75.21005049541029
2025-09-07,74.2204445678391
2025-09-14,68.28280900241197
2025-09-21,78.17886827812384
2025-09-28,69.27241492998316
2025-10-05,71.25162678512552
2025-10-12,68.28280900241197
2025-10-19,57.3971437991289
2025-10-26,64.32438529212722
2025-11-02,66.30359714726958
2025-11-09,71.25162678512552
2025-11-16,74.2204445678391
2025-11-23,98.96059275711879
2025-11-30,75.21005049541029
2025-12-07,75.21005049541029
2025-12-14,77.18926235055265
2025-12-21,80.15808013326622
2025-12-28,73.2308386402679
2026-01-04,75.21005049541029
