,Accounting___Auditing,Acting___Theater,Advertising___Marketing,Agricultural_Equipment,Agriculture___Forestry,Agrochemicals,Alcoholic_Beverages,Animal_Products___Services,Apartments___Residential_Rentals,Apparel,Aquaculture,Architecture,Auto_Financing,Autos___Vehicles,Aviation,Boats___Watercraft,Book_Retailers,Building_Materials___Supplies,Business___Industrial,Business_News,Business_Operations,Business_Services,CAD___CAM,Car_Electronics,Car_Rental___Taxi_Services,Carpooling___Ridesharing,Chemicals_Industry,Civil_Engineering,Coatings___Adhesives,College_Financing,Commercial_Lending,Commercial_Vehicles,Computer_Hardware,Computer_Security,Computer_Servers,Computers___Electronics,Construction___Maintenance,Construction_Consulting___Contracting,Consulting,Consumer_Electronics,Corporate_Events,Credit___Lending,Cruises___Charters,Customer_Relationship_Management__CRM_,Data_Management,Developer_Jobs,Development_Tools,Distribution___Logistics,Doctors__Offices,Dyes___Pigments,Economy_News,Education,Emergency_Services,Energy___Utilities,Enterprise_Resource_Planning__ERP_,Enterprise_Technology,Entertainment_Industry,Entertainment_Media,Events___Listings,Fashion___Style,Fast_Food,Finance,Fire___Security_Services,Fitness,Financial_Planning,Flooring,Food___Drink,Food_Production,Footwear,Forestry,Freight___Trucking,Fuel_Economy___Gas_Prices,Gifts___Special_Event_Items,Government,GPS___Navigation,Grocery___Food_Retailers,Health,Health_Insurance,Home___Garden,Home_Appliances,Home_Financing,Home_Furnishings,Home_Improvement,Hospitals___Treatment_Centers,Hotels___Accommodations
2015-05-17,50.0,66.0,84.0,54.0,69.0,33.0,42.0,62.0,63.0,72.0,39.0,53.0,65.0,83.0,53.0,31.0,0.0,69.0,81.0,56.0,77.0,79.0,87.0,65.0,45.0,0.0,61.0,49.0,30.0,6.0,43.0,25.0,90.0,77.0,70.0,92.0,62.0,57.0,46.0,80.0,34.0,29.0,44.0,65.0,86.0,38.0,41.0,57.0,41.0,31.0,10.0,32.0,13.0,55.0,43.0,82.0,33.0,53.0,36.0,76.0,37.0,47.0,21.0,66.0,45.0,60.0,58.0,58.0,51.0,79.0,45.0,34.0,55.0,40.0,55.0,50.0,42.0,31.0,50.0,15.0,51.0,65.0,52.0,52.0,40.0
2015-05-24,50.0,73.0,69.0,38.0,65.0,49.0,44.0,56.0,55.0,63.0,38.0,57.0,48.0,66.0,51.0,35.0,41.0,72.0,81.0,52.0,78.0,72.0,61.0,65.0,48.0,0.0,69.0,65.0,36.0,4.0,46.0,25.0,94.0,71.0,86.0,87.0,67.0,38.0,51.0,76.0,37.0,27.0,49.0,60.0,84.0,33.0,45.0,65.0,47.0,29.0,10.0,30.0,16.0,56.0,41.0,79.0,33.0,50.0,31.0,76.0,35.0,49.0,17.0,63.0,100.0,55.0,55.0,70.0,49.0,45.0,39.0,43.0,52.0,39.0,53.0,56.0,41.0,44.0,47.0,13.0,53.0,66.0,53.0,54.0,41.0
2015-05-31,55.0,62.0,75.0,40.0,62.0,36.0,40.0,58.0,49.0,64.0,32.0,48.0,56.0,70.0,47.0,32.0,41.0,68.0,77.0,48.0,74.0,72.0,69.0,66.0,52.0,0.0,60.0,61.0,30.0,6.0,42.0,18.0,85.0,72.0,74.0,86.0,59.0,51.0,55.0,73.0,42.0,28.0,37.0,0.0,82.0,36.0,35.0,78.0,46.0,39.0,18.0,28.0,16.0,52.0,39.0,79.0,33.0,58.0,32.0,66.0,31.0,42.0,16.0,65.0,45.0,51.0,56.0,49.0,54.0,49.0,32.0,33.0,52.0,35.0,49.0,63.0,41.0,41.0,45.0,15.0,52.0,59.0,51.0,50.0,40.0
2015-06-07,49.0,54.0,79.0,45.0,64.0,37.0,40.0,53.0,55.0,71.0,38.0,70.0,72.0,69.0,61.0,25.0,0.0,71.0,81.0,52.0,77.0,73.0,100.0,64.0,49.0,0.0,64.0,58.0,38.0,6.0,51.0,24.0,93.0,74.0,89.0,95.0,66.0,57.0,51.0,78.0,41.0,30.0,36.0,91.0,88.0,36.0,42.0,54.0,47.0,34.0,16.0,31.0,17.0,59.0,50.0,89.0,33.0,53.0,33.0,76.0,34.0,47.0,10.0,67.0,43.0,56.0,54.0,79.0,53.0,41.0,46.0,46.0,53.0,39.0,49.0,53.0,43.0,55.0,47.0,14.0,67.0,64.0,54.0,46.0,42.0
2015-06-14,53.0,61.0,77.0,37.0,65.0,27.0,36.0,59.0,51.0,62.0,31.0,65.0,55.0,71.0,71.0,22.0,38.0,71.0,82.0,51.0,82.0,73.0,83.0,64.0,43.0,0.0,63.0,53.0,45.0,5.0,0.0,22.0,93.0,76.0,78.0,92.0,64.0,74.0,44.0,74.0,43.0,29.0,52.0,52.0,98.0,34.0,35.0,54.0,45.0,35.0,15.0,28.0,16.0,54.0,53.0,97.0,32.0,59.0,38.0,66.0,36.0,47.0,10.0,60.0,46.0,53.0,56.0,67.0,48.0,53.0,46.0,42.0,56.0,40.0,50.0,56.0,42.0,52.0,48.0,13.0,61.0,63.0,54.0,45.0,39.0
2015-06-21,59.0,55.0,77.0,37.0,63.0,35.0,43.0,48.0,54.0,66.0,23.0,61.0,66.0,69.0,72.0,28.0,40.0,69.0,82.0,51.0,84.0,69.0,91.0,65.0,46.0,0.0,64.0,55.0,37.0,7.0,47.0,29.0,91.0,75.0,86.0,87.0,60.0,59.0,49.0,83.0,38.0,28.0,45.0,57.0,95.0,37.0,43.0,40.0,55.0,34.0,11.0,29.0,16.0,54.0,56.0,94.0,32.0,61.0,36.0,71.0,36.0,48.0,10.0,73.0,59.0,58.0,57.0,69.0,50.0,46.0,47.0,44.0,59.0,40.0,48.0,63.0,44.0,41.0,51.0,14.0,52.0,69.0,54.0,51.0,40.0
2015-06-28,51.0,66.0,71.0,37.0,65.0,36.0,42.0,54.0,57.0,66.0,25.0,60.0,56.0,72.0,56.0,26.0,33.0,64.0,81.0,51.0,72.0,67.0,80.0,61.0,53.0,0.0,67.0,48.0,39.0,5.0,38.0,28.0,90.0,78.0,74.0,93.0,54.0,57.0,55.0,76.0,45.0,26.0,42.0,56.0,96.0,34.0,41.0,66.0,48.0,35.0,16.0,30.0,18.0,52.0,36.0,90.0,37.0,57.0,41.0,71.0,41.0,45.0,10.0,68.0,63.0,46.0,57.0,62.0,50.0,45.0,37.0,30.0,52.0,39.0,49.0,53.0,45.0,44.0,51.0,15.0,46.0,65.0,50.0,51.0,41.0
2015-07-05,52.0,72.0,68.0,52.0,64.0,34.0,44.0,54.0,66.0,70.0,31.0,66.0,60.0,80.0,57.0,30.0,62.0,73.0,81.0,55.0,77.0,69.0,87.0,63.0,50.0,0.0,66.0,72.0,35.0,7.0,50.0,24.0,94.0,77.0,99.0,93.0,66.0,64.0,58.0,87.0,47.0,32.0,44.0,85.0,82.0,41.0,42.0,40.0,57.0,49.0,18.0,31.0,19.0,52.0,100.0,95.0,44.0,58.0,37.0,74.0,34.0,50.0,10.0,65.0,38.0,69.0,58.0,66.0,58.0,45.0,38.0,27.0,53.0,45.0,46.0,59.0,46.0,49.0,51.0,15.0,57.0,63.0,56.0,57.0,45.0
2015-07-12,54.0,68.0,72.0,40.0,65.0,47.0,42.0,46.0,58.0,70.0,36.0,55.0,49.0,73.0,52.0,28.0,28.0,77.0,86.0,57.0,79.0,70.0,71.0,66.0,55.0,0.0,66.0,46.0,32.0,6.0,40.0,25.0,93.0,79.0,73.0,94.0,67.0,73.0,50.0,81.0,45.0,30.0,43.0,73.0,88.0,33.0,42.0,53.0,53.0,36.0,25.0,32.0,15.0,55.0,65.0,90.0,39.0,52.0,37.0,79.0,40.0,49.0,14.0,75.0,0.0,50.0,62.0,55.0,61.0,54.0,47.0,32.0,56.0,44.0,53.0,51.0,50.0,54.0,51.0,16.0,46.0,67.0,55.0,52.0,47.0
2015-07-19,63.0,57.0,69.0,53.0,65.0,31.0,43.0,59.0,63.0,77.0,27.0,66.0,47.0,71.0,46.0,28.0,36.0,78.0,85.0,54.0,80.0,75.0,79.0,66.0,56.0,0.0,64.0,64.0,26.0,6.0,55.0,29.0,93.0,78.0,100.0,94.0,66.0,71.0,63.0,82.0,34.0,31.0,52.0,56.0,98.0,33.0,43.0,54.0,45.0,44.0,10.0,31.0,15.0,56.0,45.0,95.0,36.0,60.0,38.0,80.0,39.0,52.0,20.0,72.0,49.0,60.0,63.0,65.0,53.0,42.0,45.0,33.0,58.0,40.0,55.0,80.0,47.0,53.0,49.0,14.0,57.0,63.0,56.0,54.0,51.0
