,Arts___Entertainment,Beauty___Fitness,Books___Literature,Entertainment_Industry,Games,Hobbies___Leisure,Cleaning_Supplies___Services,Laundry,Astrology___Divination,Pets___Animals,Libraries___Museums,Entertainment_Media,Gifts___Special_Event_Items,Photo___Video_Services,Ticket_Sales,Sports
2015-07-26,77.0,53.0,59.0,34.0,78.0,37.0,62.0,48.0,55.0,73.0,40.0,59.0,57.0,73.0,16.0,22.0
2015-08-02,82.0,55.0,63.0,33.0,87.0,39.0,58.0,41.0,65.0,72.0,45.0,55.0,60.0,72.0,23.0,16.0
2015-08-09,81.0,55.0,60.0,34.0,88.0,38.0,60.0,52.0,67.0,69.0,37.0,68.0,59.0,71.0,21.0,21.0
2015-08-16,77.0,56.0,58.0,36.0,88.0,37.0,50.0,46.0,55.0,77.0,30.0,52.0,61.0,71.0,24.0,20.0
2015-08-23,74.0,51.0,61.0,29.0,82.0,36.0,51.0,59.0,55.0,72.0,43.0,52.0,59.0,75.0,21.0,21.0
2015-08-30,80.0,50.0,59.0,37.0,87.0,37.0,51.0,45.0,55.0,76.0,54.0,59.0,59.0,70.0,22.0,20.0
2015-09-06,81.0,52.0,59.0,31.0,85.0,38.0,53.0,47.0,56.0,73.0,52.0,59.0,60.0,76.0,13.0,14.0
2015-09-13,74.0,48.0,62.0,33.0,77.0,36.0,57.0,39.0,55.0,71.0,55.0,49.0,60.0,71.0,19.0,13.0
2015-09-20,75.0,53.0,64.0,36.0,79.0,40.0,54.0,51.0,51.0,78.0,36.0,53.0,61.0,61.0,24.0,14.0
2015-09-27,72.0,47.0,61.0,29.0,77.0,36.0,57.0,52.0,57.0,73.0,37.0,54.0,62.0,66.0,15.0,14.0
2015-10-04,79.0,51.0,60.0,30.0,77.0,41.0,51.0,46.0,51.0,80.0,40.0,52.0,75.0,79.0,18.0,15.0
2015-10-11,78.0,52.0,60.0,31.0,75.0,39.0,50.0,46.0,56.0,78.0,51.0,48.0,64.0,72.0,17.0,19.0
2015-10-18,75.0,50.0,60.0,31.0,72.0,37.0,52.0,50.0,57.0,70.0,53.0,56.0,58.0,70.0,22.0,18.0
2015-10-25,73.0,50.0,59.0,32.0,75.0,39.0,47.0,52.0,50.0,72.0,39.0,51.0,60.0,69.0,22.0,21.0
2015-11-01,77.0,52.0,58.0,27.0,76.0,39.0,55.0,50.0,61.0,74.0,57.0,56.0,61.0,72.0,20.0,24.0
2015-11-08,79.0,52.0,59.0,33.0,79.0,40.0,51.0,48.0,56.0,77.0,53.0,57.0,72.0,75.0,23.0,21.0
2015-11-15,73.0,52.0,64.0,32.0,73.0,40.0,42.0,61.0,53.0,70.0,42.0,58.0,65.0,75.0,13.0,16.0
