,Hotels & Accommodations
2023-06-18,104.27872498146775
2023-06-25,104.27872498146775
2023-07-02,101.02001482579688
2023-07-09,97.76130467012601
2023-07-16,94.50259451445514
2023-07-23,101.02001482579688
2023-07-30,94.50259451445514
2023-08-06,110.79614529280948
2023-08-13,101.02001482579688
2023-08-20,94.50259451445514
2023-08-27,91.24388435878427
2023-09-03,94.50259451445514
2023-09-10,91.24388435878427
2023-09-17,91.24388435878427
2023-09-24,97.76130467012601
2023-10-01,94.50259451445514
2023-10-08,87.98517420311342
2023-10-15,84.72646404744255
2023-10-22,84.72646404744255
2023-10-29,81.46775389177168
2023-11-05,78.20904373610081
2023-11-12,87.98517420311342
2023-11-19,91.24388435878427
2023-11-26,91.24388435878427
2023-12-03,97.76130467012601
2023-12-10,101.02001482579688
2023-12-17,104.27872498146775
2023-12-24,110.79614529280948
2023-12-31,94.50259451445514
2024-01-07,90.82116169491235
2024-01-14,89.64166608848491
2024-01-21,90.82116169491235
2024-01-28,90.82116169491235
2024-02-04,94.35964851419465
2024-02-11,101.43662215275924
2024-02-18,95.53914412062208
2024-02-25,97.89813533347694
2024-03-03,90.82116169491235
2024-03-10,86.10317926920261
2024-03-17,89.64166608848491
2024-03-24,84.92368366277519
2024-03-31,89.64166608848491
2024-04-07,87.28267487563005
2024-04-14,93.18015290776722
2024-04-21,93.18015290776722
2024-04-28,100.25712654633182
2024-05-05,94.35964851419465
2024-05-12,96.71863972704952
2024-05-19,104.97510897204155
2024-05-26,101.43662215275924
2024-06-02,100.25712654633182
2024-06-09,102.61611775918668
2024-06-16,99.07763093990438
2024-06-23,100.25712654633182
2024-06-30,101.43662215275924
2024-07-07,95.53914412062208
2024-07-14,102.61611775918668
2024-07-21,97.89813533347694
2024-07-28,94.35964851419465
2024-08-04,95.53914412062208
2024-08-11,101.43662215275924
2024-08-18,97.89813533347694
2024-08-25,100.25712654633182
2024-09-01,96.71863972704952
2024-09-08,99.07763093990438
2024-09-15,104.97510897204155
2024-09-22,99.07763093990438
2024-09-29,93.18015290776722
2024-10-06,93.18015290776722
2024-10-13,88.46217048205749
2024-10-20,87.28267487563005
2024-10-27,76.66721441778316
2024-11-03,90.82116169491235
2024-11-10,93.18015290776722
2024-11-17,93.18015290776722
2024-11-24,92.00065730133979
2024-12-01,93.18015290776722
2024-12-08,92.00065730133979
2024-12-15,90.82116169491235
2024-12-22,103.79561336561412
2024-12-29,102.61611775918668
2025-01-05,92.00065730133979
2025-01-12,84.92368366277519
2025-01-19,86.10317926920261
2025-01-26,86.10317926920261
2025-02-02,89.64166608848491
2025-02-09,86.10317926920261
2025-02-16,86.10317926920261
2025-02-23,83.74418805634775
2025-03-02,92.00065730133979
2025-03-09,79.02620563063802
2025-03-16,88.46217048205749
2025-03-23,81.38519684349289
2025-03-30,88.46217048205749
2025-04-06,94.35964851419465
2025-04-13,103.79561336561412
2025-04-20,89.64166608848491
2025-04-27,95.53914412062208
2025-05-04,87.28267487563005
2025-05-11,83.74418805634775
2025-05-18,90.82116169491235
2025-05-25,88.46217048205749
2025-06-01,90.82116169491235
2025-06-08,90.82116169491235
2025-06-15,93.18015290776722
2025-06-22,89.64166608848491
2025-06-29,90.82116169491235
2025-07-06,117.94956064274331
2025-07-13,97.89813533347694
2025-07-20,89.64166608848491
2025-07-27,96.71863972704952
2025-08-03,89.64166608848491
2025-08-10,89.64166608848491
2025-08-17,92.00065730133979
2025-08-24,86.10317926920261
2025-08-31,83.74418805634775
2025-09-07,84.92368366277519
2025-09-14,90.82116169491235
2025-09-21,89.64166608848491
2025-09-28,90.82116169491235
2025-10-05,86.10317926920261
2025-10-12,76.66721441778316
2025-10-19,75.48771881135572
2025-10-26,86.10317926920261
2025-11-02,94.35964851419465
2025-11-09,89.64166608848491
2025-11-16,87.28267487563005
2025-11-23,93.18015290776722
2025-11-30,89.64166608848491
2025-12-07,84.92368366277519
2025-12-14,97.89813533347694
2025-12-21,106.15460457846898
2025-12-28,96.71863972704952
2026-01-04,89.64166608848491
