,Carpooling & Ridesharing
2019-08-25,83.0
2019-09-01,66.0
2019-09-08,78.0
2019-09-15,79.0
2019-09-22,82.0
2019-09-29,75.0
2019-10-06,62.0
2019-10-13,71.0
2019-10-20,69.0
2019-10-27,61.0
2019-11-03,70.0
2019-11-10,64.0
2019-11-17,66.0
2019-11-24,68.0
2019-12-01,68.0
2019-12-08,68.0
2019-12-15,66.0
2019-12-22,69.0
2019-12-29,61.0
2020-01-05,72.21153846153847
2020-01-12,72.21153846153847
2020-01-19,86.65384615384616
2020-01-26,187.75
2020-02-02,173.30769230769232
2020-02-09,129.98076923076923
2020-02-16,115.53846153846155
2020-02-23,115.53846153846155
2020-03-01,332.17307692307696
2020-03-08,346.61538461538464
2020-03-15,895.423076923077
2020-03-22,1444.2307692307693
2020-03-29,880.9807692307693
2020-04-05,678.7884615384615
2020-04-12,491.03846153846155
2020-04-19,505.4807692307693
2020-04-26,346.61538461538464
2020-05-03,317.7307692307693
2020-05-10,317.7307692307693
2020-05-17,274.4038461538462
2020-05-24,288.84615384615387
2020-05-31,274.4038461538462
2020-06-07,274.4038461538462
2020-06-14,231.0769230769231
2020-06-21,216.63461538461542
2020-06-28,216.63461538461542
2020-07-05,187.75
2020-07-12,187.75
2020-07-19,187.75
2020-07-26,173.30769230769232
2020-08-02,158.86538461538464
2020-08-09,129.98076923076923
2020-08-16,129.98076923076923
2020-08-23,129.98076923076923
2020-08-30,115.53846153846155
2020-09-06,129.98076923076923
2020-09-13,101.09615384615385
2020-09-20,115.53846153846155
2020-09-27,101.09615384615385
2020-10-04,101.09615384615385
2020-10-11,101.09615384615385
2020-10-18,101.09615384615385
2020-10-25,101.09615384615385
2020-11-01,86.65384615384616
2020-11-08,86.65384615384616
2020-11-15,86.65384615384616
2020-11-22,86.65384615384616
2020-11-29,72.21153846153847
2020-12-06,72.21153846153847
2020-12-13,86.65384615384616
2020-12-20,101.09615384615385
2020-12-27,86.65384615384616
2021-01-03,86.65384615384616
2021-01-10,72.21153846153847
2021-01-17,72.21153846153847
2021-01-24,72.21153846153847
2021-01-31,72.21153846153847
2021-02-07,72.21153846153847
2021-02-14,72.21153846153847
2021-02-21,86.65384615384616
2021-02-28,72.21153846153847
2021-03-07,72.21153846153847
2021-03-14,86.65384615384616
2021-03-21,101.09615384615385
2021-03-28,86.65384615384616
2021-04-04,115.53846153846155
2021-04-11,129.98076923076923
2021-04-18,187.75
2021-04-25,173.30769230769232
2021-05-02,158.86538461538464
2021-05-09,158.86538461538464
2021-05-16,144.42307692307693
2021-05-23,158.86538461538464
2021-05-30,274.4038461538462
2021-06-06,187.75
2021-06-13,144.42307692307693
2021-06-20,129.98076923076923
2021-06-27,101.09615384615385
2021-07-04,101.09615384615385
2021-07-11,101.09615384615385
2021-07-18,86.65384615384616
2021-07-25,86.65384615384616
2021-08-01,86.65384615384616
2021-08-08,72.21153846153847
2021-08-15,86.65384615384616
2021-08-22,86.65384615384616
2021-08-29,72.21153846153847
2021-09-05,72.21153846153847
2021-09-12,86.65384615384616
2021-09-19,86.65384615384616
2021-09-26,72.21153846153847
2021-10-03,72.21153846153847
2021-10-10,57.769230769230774
2021-10-17,57.769230769230774
2021-10-24,72.21153846153847
2021-10-31,57.769230769230774
2021-11-07,57.769230769230774
2021-11-14,72.21153846153847
2021-11-21,72.21153846153847
2021-11-28,72.21153846153847
2021-12-05,72.21153846153847
2021-12-12,72.21153846153847
2021-12-19,72.21153846153847
2021-12-26,72.21153846153847
2022-01-02,86.65384615384616
2022-01-09,86.65384615384616
2022-01-16,86.65384615384616
2022-01-23,72.21153846153847
2022-01-30,72.21153846153847
2022-02-06,72.21153846153847
2022-02-13,86.65384615384616
2022-02-20,86.65384615384616
2022-02-27,86.65384615384616
2022-03-06,72.21153846153847
2022-03-13,72.21153846153847
2022-03-20,72.21153846153847
2022-03-27,72.21153846153847
2022-04-03,72.21153846153847
2022-04-10,72.21153846153847
2022-04-17,72.21153846153847
2022-04-24,72.21153846153847
2022-05-01,72.21153846153847
2022-05-08,72.21153846153847
2022-05-15,57.769230769230774
2022-05-22,57.769230769230774
2022-05-29,57.769230769230774
2022-06-05,72.21153846153847
2022-06-12,72.21153846153847
2022-06-19,72.21153846153847
2022-06-26,86.65384615384616
2022-07-03,72.21153846153847
2022-07-10,72.21153846153847
2022-07-17,86.65384615384616
2022-07-24,72.21153846153847
2022-07-31,72.21153846153847
2022-08-07,72.21153846153847
2022-08-14,57.769230769230774
2022-08-21,72.21153846153847
2022-08-28,57.769230769230774
2022-09-04,57.769230769230774
2022-09-11,57.769230769230774
2022-09-18,72.21153846153847
2022-09-25,72.21153846153847
2022-10-02,57.769230769230774
2022-10-09,72.21153846153847
2022-10-16,57.769230769230774
2022-10-23,43.32692307692308
2022-10-30,72.21153846153847
2022-11-06,72.21153846153847
2022-11-13,57.769230769230774
2022-11-20,57.769230769230774
2022-11-27,57.769230769230774
2022-12-04,57.769230769230774
2022-12-11,57.769230769230774
2022-12-18,86.65384615384616
2022-12-25,72.21153846153847
2023-01-01,72.21153846153847
2023-01-08,72.21153846153847
2023-01-15,72.21153846153847
2023-01-22,57.769230769230774
2023-01-29,72.21153846153847
2023-02-05,57.769230769230774
2023-02-12,57.769230769230774
2023-02-19,57.769230769230774
2023-02-26,57.769230769230774
2023-03-05,57.769230769230774
2023-03-12,57.769230769230774
2023-03-19,57.769230769230774
2023-03-26,57.769230769230774
2023-04-02,72.21153846153847
2023-04-09,72.21153846153847
2023-04-16,72.21153846153847
2023-04-23,72.21153846153847
2023-04-30,57.769230769230774
2023-05-07,57.769230769230774
2023-05-14,72.21153846153847
2023-05-21,72.21153846153847
2023-05-28,72.21153846153847
2023-06-04,72.21153846153847
2023-06-11,72.21153846153847
2023-06-18,72.21153846153847
2023-06-25,72.21153846153847
2023-07-02,72.21153846153847
2023-07-09,86.65384615384616
2023-07-16,72.21153846153847
2023-07-23,72.21153846153847
2023-07-30,72.21153846153847
2023-08-06,72.21153846153847
2023-08-13,72.21153846153847
2023-08-20,57.769230769230774
2023-08-27,57.769230769230774
2023-09-03,57.769230769230774
2023-09-10,72.21153846153847
2023-09-17,72.21153846153847
2023-09-24,101.09615384615385
2023-10-01,274.4038461538462
2023-10-08,72.21153846153847
2023-10-15,57.769230769230774
2023-10-22,57.769230769230774
2023-10-29,57.769230769230774
2023-11-05,57.769230769230774
2023-11-12,57.769230769230774
2023-11-19,57.769230769230774
2023-11-26,72.21153846153847
2023-12-03,57.769230769230774
2023-12-10,57.769230769230774
2023-12-17,72.21153846153847
2023-12-24,72.21153846153847
2023-12-31,72.21153846153847
2024-01-07,72.72955523672886
2024-01-14,61.95480631276902
2024-01-21,64.64849354375897
2024-01-28,67.34218077474894
2024-02-04,61.95480631276902
2024-02-11,67.34218077474894
2024-02-18,72.72955523672886
2024-02-25,67.34218077474894
2024-03-03,64.64849354375897
2024-03-10,72.72955523672886
2024-03-17,72.72955523672886
2024-03-24,61.95480631276902
2024-03-31,67.34218077474894
2024-04-07,67.34218077474894
2024-04-14,72.72955523672886
2024-04-21,75.42324246771881
2024-04-28,64.64849354375897
2024-05-05,72.72955523672886
2024-05-12,78.11692969870877
2024-05-19,75.42324246771881
2024-05-26,72.72955523672886
2024-06-02,72.72955523672886
2024-06-09,78.11692969870877
2024-06-16,70.03586800573889
2024-06-23,75.42324246771881
2024-06-30,72.72955523672886
2024-07-07,75.42324246771881
2024-07-14,70.03586800573889
2024-07-21,70.03586800573889
2024-07-28,72.72955523672886
2024-08-04,72.72955523672886
2024-08-11,70.03586800573889
2024-08-18,75.42324246771881
2024-08-25,70.03586800573889
2024-09-01,72.72955523672886
2024-09-08,72.72955523672886
2024-09-15,70.03586800573889
2024-09-22,67.34218077474894
2024-09-29,67.34218077474894
2024-10-06,61.95480631276902
2024-10-13,67.34218077474894
2024-10-20,70.03586800573889
2024-10-27,56.567431850789106
2024-11-03,67.34218077474894
2024-11-10,70.03586800573889
2024-11-17,70.03586800573889
2024-11-24,70.03586800573889
2024-12-01,72.72955523672886
2024-12-08,72.72955523672886
2024-12-15,72.72955523672886
2024-12-22,72.72955523672886
2024-12-29,72.72955523672886
2025-01-05,78.11692969870877
2025-01-12,64.64849354375897
2025-01-19,72.72955523672886
2025-01-26,228.9634146341464
2025-02-02,75.42324246771881
2025-02-09,70.03586800573889
2025-02-16,72.72955523672886
2025-02-23,67.34218077474894
2025-03-02,70.03586800573889
2025-03-09,64.64849354375897
2025-03-16,70.03586800573889
2025-03-23,70.03586800573889
2025-03-30,72.72955523672886
2025-04-06,70.03586800573889
2025-04-13,72.72955523672886
2025-04-20,78.11692969870877
2025-04-27,78.11692969870877
2025-05-04,78.11692969870877
2025-05-11,80.81061692969872
2025-05-18,83.50430416068869
2025-05-25,83.50430416068869
2025-06-01,78.11692969870877
2025-06-08,83.50430416068869
2025-06-15,78.11692969870877
2025-06-22,75.42324246771881
2025-06-29,72.72955523672886
2025-07-06,70.03586800573889
2025-07-13,72.72955523672886
2025-07-20,70.03586800573889
2025-07-27,67.34218077474894
2025-08-03,70.03586800573889
2025-08-10,70.03586800573889
2025-08-17,72.72955523672886
2025-08-24,67.34218077474894
2025-08-31,70.03586800573889
2025-09-07,67.34218077474894
2025-09-14,70.03586800573889
2025-09-21,70.03586800573889
2025-09-28,61.95480631276902
2025-10-05,67.34218077474894
2025-10-12,64.64849354375897
2025-10-19,48.48637015781924
2025-10-26,67.34218077474894
2025-11-02,67.34218077474894
2025-11-09,64.64849354375897
2025-11-16,61.95480631276902
2025-11-23,59.261119081779064
2025-11-30,61.95480631276902
2025-12-07,56.567431850789106
2025-12-14,59.261119081779064
2025-12-21,59.261119081779064
2025-12-28,61.95480631276902
2026-01-04,64.64849354375897
