,Forestry
2021-04-25,48.842943437671615
2021-05-02,48.842943437671615
2021-05-09,47.15870400878639
2021-05-16,48.842943437671615
2021-05-23,48.842943437671615
2021-05-30,53.8956617243273
2021-06-06,53.8956617243273
2021-06-13,60.63261943986821
2021-06-20,57.26414058209775
2021-06-27,58.94838001098298
2021-07-04,60.63261943986821
2021-07-11,64.00109829763866
2021-07-18,69.05381658429435
2021-07-25,70.73805601317957
2021-08-01,60.63261943986821
2021-08-08,60.63261943986821
2021-08-15,58.94838001098298
2021-08-22,55.579901153212525
2021-08-29,55.579901153212525
2021-09-05,55.579901153212525
2021-09-12,57.26414058209775
2021-09-19,53.8956617243273
2021-09-26,58.94838001098298
2021-10-03,64.00109829763866
2021-10-10,47.15870400878639
2021-10-17,52.21142229544207
2021-10-24,50.52718286655684
2021-10-31,42.105985722130704
2021-11-07,53.8956617243273
2021-11-14,52.21142229544207
2021-11-21,55.579901153212525
2021-11-28,60.63261943986821
2021-12-05,55.579901153212525
2021-12-12,55.579901153212525
2021-12-19,58.94838001098298
2021-12-26,65.6853377265239
2022-01-02,60.63261943986821
2022-01-09,60.63261943986821
2022-01-16,62.316858868753435
2022-01-23,69.05381658429435
2022-01-30,70.73805601317957
2022-02-06,72.42229544206481
2022-02-13,84.21197144426141
2022-02-20,85.89621087314663
2022-02-27,82.52773201537617
2022-03-06,82.52773201537617
2022-03-13,80.84349258649095
2022-03-20,85.89621087314663
2022-03-27,84.21197144426141
2022-04-03,122.94947830862165
2022-04-10,84.21197144426141
2022-04-17,84.21197144426141
2022-04-24,77.47501372872048
2022-05-01,69.05381658429435
2022-05-08,65.6853377265239
2022-05-15,62.316858868753435
2022-05-22,72.42229544206481
2022-05-29,62.316858868753435
2022-06-05,65.6853377265239
2022-06-12,72.42229544206481
2022-06-19,79.15925315760572
2022-06-26,79.15925315760572
2022-07-03,85.89621087314663
2022-07-10,85.89621087314663
2022-07-17,79.15925315760572
2022-07-24,77.47501372872048
2022-07-31,77.47501372872048
2022-08-07,77.47501372872048
2022-08-14,80.84349258649095
2022-08-21,87.58045030203186
2022-08-28,72.42229544206481
2022-09-04,70.73805601317957
2022-09-11,79.15925315760572
2022-09-18,77.47501372872048
2022-09-25,74.10653487095003
2022-10-02,64.00109829763866
2022-10-09,75.79077429983526
2022-10-16,69.05381658429435
2022-10-23,58.94838001098298
2022-10-30,80.84349258649095
2022-11-06,87.58045030203186
2022-11-13,85.89621087314663
2022-11-20,70.73805601317957
2022-11-27,74.10653487095003
2022-12-04,74.10653487095003
2022-12-11,77.47501372872048
2022-12-18,85.89621087314663
2022-12-25,90.94892915980232
2023-01-01,89.26468973091708
2023-01-08,84.21197144426141
2023-01-15,90.94892915980232
2023-01-22,97.68588687534323
2023-01-29,94.31740801757277
2023-02-05,87.58045030203186
2023-02-12,90.94892915980232
2023-02-19,99.37012630422845
2023-02-26,77.47501372872048
2023-03-05,84.21197144426141
2023-03-12,106.10708401976936
2023-03-19,168.42394288852282
2023-03-26,138.1076331685887
2023-04-02,101.05436573311368
2023-04-09,99.37012630422845
2023-04-16,90.94892915980232
2023-04-23,77.47501372872048
2023-04-30,70.73805601317957
2023-05-07,79.15925315760572
2023-05-14,79.15925315760572
2023-05-21,96.001647446458
2023-05-28,96.001647446458
2023-06-04,106.10708401976936
2023-06-11,106.10708401976936
2023-06-18,89.26468973091708
2023-06-25,102.7386051619989
2023-07-02,94.31740801757277
2023-07-09,89.26468973091708
2023-07-16,109.47556287753983
2023-07-23,99.37012630422845
2023-07-30,85.89621087314663
2023-08-06,74.10653487095003
2023-08-13,77.47501372872048
2023-08-20,82.52773201537617
2023-08-27,77.47501372872048
2023-09-03,70.73805601317957
2023-09-10,77.47501372872048
2023-09-17,65.6853377265239
2023-09-24,69.05381658429435
2023-10-01,69.05381658429435
2023-10-08,67.36957715540912
2023-10-15,60.63261943986821
2023-10-22,58.94838001098298
2023-10-29,65.6853377265239
2023-11-05,62.316858868753435
2023-11-12,62.316858868753435
2023-11-19,70.73805601317957
2023-11-26,72.42229544206481
2023-12-03,72.42229544206481
2023-12-10,77.47501372872048
2023-12-17,72.42229544206481
2023-12-24,85.89621087314663
2023-12-31,87.58045030203186
2024-01-07,80.84349258649092
2024-01-14,82.52773201537616
2024-01-21,89.26468973091707
2024-01-28,90.94892915980229
2024-02-04,89.26468973091707
2024-02-11,80.84349258649092
2024-02-18,79.15925315760569
2024-02-25,77.47501372872047
2024-03-03,75.79077429983525
2024-03-10,141.47611202635912
2024-03-17,99.37012630422842
2024-03-24,74.10653487095001
2024-03-31,70.73805601317956
2024-04-07,57.26414058209774
2024-04-14,50.52718286655683
2024-04-21,57.26414058209774
2024-04-28,55.57990115321251
2024-05-05,65.68533772652387
2024-05-12,60.63261943986819
2024-05-19,64.00109829763865
2024-05-26,64.00109829763865
2024-06-02,67.3695771554091
2024-06-09,75.79077429983525
2024-06-16,70.73805601317956
2024-06-23,69.05381658429434
2024-06-30,79.15925315760569
2024-07-07,67.3695771554091
2024-07-14,74.10653487095001
2024-07-21,74.10653487095001
2024-07-28,75.79077429983525
2024-08-04,74.10653487095001
2024-08-11,65.68533772652387
2024-08-18,67.3695771554091
2024-08-25,62.31685886875342
2024-09-01,64.00109829763865
2024-09-08,62.31685886875342
2024-09-15,65.68533772652387
2024-09-22,64.00109829763865
2024-09-29,57.26414058209774
2024-10-06,53.89566172432728
2024-10-13,57.26414058209774
2024-10-20,57.26414058209774
2024-10-27,47.15870400878637
2024-11-03,60.63261943986819
2024-11-10,65.68533772652387
2024-11-17,55.57990115321251
2024-11-24,53.89566172432728
2024-12-01,58.948380010982966
2024-12-08,58.948380010982966
2024-12-15,60.63261943986819
2024-12-22,64.00109829763865
2024-12-29,70.73805601317956
2025-01-05,62.31685886875342
2025-01-12,62.31685886875342
2025-01-19,58.948380010982966
2025-01-26,69.05381658429434
2025-02-02,60.63261943986819
2025-02-09,64.00109829763865
2025-02-16,57.26414058209774
2025-02-23,75.79077429983525
2025-03-02,122.94947830862162
2025-03-09,75.79077429983525
2025-03-16,77.47501372872047
2025-03-23,65.68533772652387
2025-03-30,58.948380010982966
2025-04-06,57.26414058209774
2025-04-13,57.26414058209774
2025-04-20,55.57990115321251
2025-04-27,53.89566172432728
2025-05-04,57.26414058209774
2025-05-11,52.211422295442055
2025-05-18,57.26414058209774
2025-05-25,57.26414058209774
2025-06-01,60.63261943986819
2025-06-08,57.26414058209774
2025-06-15,60.63261943986819
2025-06-22,69.05381658429434
2025-06-29,65.68533772652387
2025-07-06,64.00109829763865
2025-07-13,64.00109829763865
2025-07-20,65.68533772652387
2025-07-27,65.68533772652387
2025-08-03,69.05381658429434
2025-08-10,58.948380010982966
2025-08-17,62.31685886875342
2025-08-24,57.26414058209774
2025-08-31,58.948380010982966
2025-09-07,53.89566172432728
2025-09-14,57.26414058209774
2025-09-21,57.26414058209774
2025-09-28,47.15870400878637
2025-10-05,53.89566172432728
2025-10-12,52.211422295442055
2025-10-19,47.15870400878637
2025-10-26,53.89566172432728
2025-11-02,52.211422295442055
2025-11-09,52.211422295442055
2025-11-16,55.57990115321251
2025-11-23,55.57990115321251
2025-11-30,58.948380010982966
2025-12-07,57.26414058209774
2025-12-14,57.26414058209774
2025-12-21,70.73805601317956
2025-12-28,60.63261943986819
2026-01-04,67.3695771554091
