,Grocery & Food Retailers
2017-03-26,42.0
2017-04-02,44.0
2017-04-09,48.0
2017-04-16,49.0
2017-04-23,47.0
2017-04-30,55.0
2017-05-07,62.0
2017-05-14,62.0
2017-05-21,57.0
2017-05-28,52.0
2017-06-04,48.0
2017-06-11,52.0
2017-06-18,58.0
2017-06-25,58.0
2017-07-02,62.0
2017-07-09,60.0
2017-07-16,60.0
2017-07-23,59.0
2017-07-30,55.0
2017-08-06,60.0
2017-08-13,67.0
2017-08-20,62.0
2017-08-27,61.0
2017-09-03,52.0
2017-09-10,52.0
2017-09-17,52.0
2017-09-24,45.0
2017-10-01,54.0
2017-10-08,54.0
2017-10-15,44.0
2017-10-22,47.0
2017-10-29,55.0
2017-11-05,53.0
2017-11-12,51.0
2017-11-19,52.0
2017-11-26,55.0
2017-12-03,56.0
2017-12-10,54.0
2017-12-17,57.0
2017-12-24,60.0
2017-12-31,58.0
2018-01-07,55.0
2018-01-14,54.0
2018-01-21,50.0
2018-01-28,52.0
2018-02-04,51.0
2018-02-11,53.0
2018-02-18,48.0
2018-02-25,52.0
2018-03-04,57.0
2018-03-11,59.0
2018-03-18,58.0
2018-03-25,55.0
2018-04-01,54.0
2018-04-08,51.0
2018-04-15,51.0
2018-04-22,51.0
2018-04-29,58.0
2018-05-06,53.0
2018-05-13,62.0
2018-05-20,76.0
2018-05-27,70.0
2018-06-03,68.0
2018-06-10,67.0
2018-06-17,60.0
2018-06-24,61.0
2018-07-01,72.0
2018-07-08,70.0
2018-07-15,70.0
2018-07-22,67.0
2018-07-29,75.0
2018-08-05,76.0
2018-08-12,73.0
2018-08-19,76.0
2018-08-26,79.0
2018-09-02,91.0
2018-09-09,86.0
2018-09-16,90.0
2018-09-23,96.0
2018-09-30,88.0
2018-10-07,90.0
2018-10-14,85.0
2018-10-21,94.0
2018-10-28,96.0
2018-11-04,72.0
2018-11-11,82.0
2018-11-18,85.0
2018-11-25,84.0
2018-12-02,80.0
2018-12-09,85.0
2018-12-16,87.0
2018-12-23,94.0
2018-12-30,97.0
2019-01-06,89.0
2019-01-13,77.0
2019-01-20,87.0
2019-01-27,80.0
2019-02-03,81.0
2019-02-10,83.0
2019-02-17,85.0
2019-02-24,79.0
2019-03-03,79.0
2019-03-10,85.0
2019-03-17,89.0
2019-03-24,82.0
2019-03-31,79.0
2019-04-07,73.0
2019-04-14,75.0
2019-04-21,70.0
2019-04-28,77.0
2019-05-05,76.0
2019-05-12,75.0
2019-05-19,78.0
2019-05-26,90.0
2019-06-02,88.0
2019-06-09,84.0
2019-06-16,85.0
2019-06-23,89.0
2019-06-30,84.0
2019-07-07,82.0
2019-07-14,91.0
2019-07-21,100.0
2019-07-28,96.0
2019-08-04,94.0
2019-08-11,84.0
2019-08-18,92.0
2019-08-25,94.0
2019-09-01,89.0
2019-09-08,95.0
2019-09-15,89.0
2019-09-22,89.0
2019-09-29,86.0
2019-10-06,79.0
2019-10-13,79.0
2019-10-20,79.0
2019-10-27,67.0
2019-11-03,81.0
2019-11-10,78.0
2019-11-17,78.0
2019-11-24,78.0
2019-12-01,78.0
2019-12-08,69.0
2019-12-15,75.0
2019-12-22,78.0
2019-12-29,84.0
2020-01-05,79.3179723502304
2020-01-12,74.36059907834101
2020-01-19,76.83928571428571
2020-01-26,74.36059907834101
2020-02-02,74.36059907834101
2020-02-09,74.36059907834101
2020-02-16,69.4032258064516
2020-02-23,71.8819124423963
2020-03-01,74.36059907834101
2020-03-08,71.8819124423963
2020-03-15,94.1900921658986
2020-03-22,247.86866359447
2020-03-29,171.0293778801843
2020-04-05,163.5933179723502
2020-04-12,138.8064516129032
2020-04-19,116.49827188940091
2020-04-26,104.10483870967741
2020-05-03,94.1900921658986
2020-05-10,86.75403225806451
2020-05-17,81.7966589861751
2020-05-24,81.7966589861751
2020-05-31,81.7966589861751
2020-06-07,81.7966589861751
2020-06-14,81.7966589861751
2020-06-21,86.75403225806451
2020-06-28,89.23271889400921
2020-07-05,94.1900921658986
2020-07-12,99.14746543778801
2020-07-19,96.6687788018433
2020-07-26,99.14746543778801
2020-08-02,91.71140552995391
2020-08-09,99.14746543778801
2020-08-16,89.23271889400921
2020-08-23,91.71140552995391
2020-08-30,91.71140552995391
2020-09-06,91.71140552995391
2020-09-13,84.2753456221198
2020-09-20,86.75403225806451
2020-09-27,86.75403225806451
2020-10-04,84.2753456221198
2020-10-11,86.75403225806451
2020-10-18,84.2753456221198
2020-10-25,86.75403225806451
2020-11-01,79.3179723502304
2020-11-08,74.36059907834101
2020-11-15,74.36059907834101
2020-11-22,79.3179723502304
2020-11-29,76.83928571428571
2020-12-06,76.83928571428571
2020-12-13,76.83928571428571
2020-12-20,84.2753456221198
2020-12-27,79.3179723502304
2021-01-03,79.3179723502304
2021-01-10,76.83928571428571
2021-01-17,81.7966589861751
2021-01-24,81.7966589861751
2021-01-31,76.83928571428571
2021-02-07,76.83928571428571
2021-02-14,76.83928571428571
2021-02-21,81.7966589861751
2021-02-28,84.2753456221198
2021-03-07,74.36059907834101
2021-03-14,81.7966589861751
2021-03-21,84.2753456221198
2021-03-28,81.7966589861751
2021-04-04,79.3179723502304
2021-04-11,89.23271889400921
2021-04-18,104.10483870967741
2021-04-25,121.4556451612903
2021-05-02,128.8917050691244
2021-05-09,121.4556451612903
2021-05-16,109.0622119815668
2021-05-23,104.10483870967741
2021-05-30,111.5408986175115
2021-06-06,91.71140552995391
2021-06-13,89.23271889400921
2021-06-20,94.1900921658986
2021-06-27,91.71140552995391
2021-07-04,91.71140552995391
2021-07-11,91.71140552995391
2021-07-18,96.6687788018433
2021-07-25,94.1900921658986
2021-08-01,91.71140552995391
2021-08-08,86.75403225806451
2021-08-15,91.71140552995391
2021-08-22,84.2753456221198
2021-08-29,86.75403225806451
2021-09-05,86.75403225806451
2021-09-12,86.75403225806451
2021-09-19,89.23271889400921
2021-09-26,86.75403225806451
2021-10-03,91.71140552995391
2021-10-10,76.83928571428571
2021-10-17,81.7966589861751
2021-10-24,86.75403225806451
2021-10-31,76.83928571428571
2021-11-07,79.3179723502304
2021-11-14,76.83928571428571
2021-11-21,81.7966589861751
2021-11-28,81.7966589861751
2021-12-05,81.7966589861751
2021-12-12,76.83928571428571
2021-12-19,89.23271889400921
2021-12-26,89.23271889400921
2022-01-02,96.6687788018433
2022-01-09,89.23271889400921
2022-01-16,81.7966589861751
2022-01-23,94.1900921658986
2022-01-30,91.71140552995391
2022-02-06,84.2753456221198
2022-02-13,89.23271889400921
2022-02-20,94.1900921658986
2022-02-27,96.6687788018433
2022-03-06,99.14746543778801
2022-03-13,91.71140552995391
2022-03-20,101.62615207373271
2022-03-27,96.6687788018433
2022-04-03,91.71140552995391
2022-04-10,94.1900921658986
2022-04-17,91.71140552995391
2022-04-24,91.71140552995391
2022-05-01,96.6687788018433
2022-05-08,94.1900921658986
2022-05-15,99.14746543778801
2022-05-22,96.6687788018433
2022-05-29,99.14746543778801
2022-06-05,96.6687788018433
2022-06-12,104.10483870967741
2022-06-19,101.62615207373271
2022-06-26,101.62615207373271
2022-07-03,111.5408986175115
2022-07-10,106.5835253456221
2022-07-17,101.62615207373271
2022-07-24,106.5835253456221
2022-07-31,106.5835253456221
2022-08-07,101.62615207373271
2022-08-14,104.10483870967741
2022-08-21,101.62615207373271
2022-08-28,101.62615207373271
2022-09-04,101.62615207373271
2022-09-11,106.5835253456221
2022-09-18,106.5835253456221
2022-09-25,99.14746543778801
2022-10-02,96.6687788018433
2022-10-09,101.62615207373271
2022-10-16,96.6687788018433
2022-10-23,84.2753456221198
2022-10-30,96.6687788018433
2022-11-06,94.1900921658986
2022-11-13,96.6687788018433
2022-11-20,91.71140552995391
2022-11-27,91.71140552995391
2022-12-04,91.71140552995391
2022-12-11,96.6687788018433
2022-12-18,99.14746543778801
2022-12-25,106.5835253456221
2023-01-01,94.1900921658986
2023-01-08,94.1900921658986
2023-01-15,91.71140552995391
2023-01-22,91.71140552995391
2023-01-29,94.1900921658986
2023-02-05,91.71140552995391
2023-02-12,89.23271889400921
2023-02-19,94.1900921658986
2023-02-26,96.6687788018433
2023-03-05,91.71140552995391
2023-03-12,96.6687788018433
2023-03-19,101.62615207373271
2023-03-26,96.6687788018433
2023-04-02,101.62615207373271
2023-04-09,96.6687788018433
2023-04-16,94.1900921658986
2023-04-23,91.71140552995391
2023-04-30,94.1900921658986
2023-05-07,94.1900921658986
2023-05-14,94.1900921658986
2023-05-21,94.1900921658986
2023-05-28,96.6687788018433
2023-06-04,99.14746543778801
2023-06-11,96.6687788018433
2023-06-18,99.14746543778801
2023-06-25,99.14746543778801
2023-07-02,106.5835253456221
2023-07-09,101.62615207373271
2023-07-16,99.14746543778801
2023-07-23,101.62615207373271
2023-07-30,101.62615207373271
2023-08-06,101.62615207373271
2023-08-13,96.6687788018433
2023-08-20,94.1900921658986
2023-08-27,91.71140552995391
2023-09-03,104.10483870967741
2023-09-10,94.1900921658986
2023-09-17,91.71140552995391
2023-09-24,96.6687788018433
2023-10-01,96.6687788018433
2023-10-08,96.6687788018433
2023-10-15,89.23271889400921
2023-10-22,84.2753456221198
2023-10-29,91.71140552995391
2023-11-05,91.71140552995391
2023-11-12,76.83928571428571
2023-11-19,86.75403225806451
2023-11-26,86.75403225806451
2023-12-03,84.2753456221198
2023-12-10,91.71140552995391
2023-12-17,101.62615207373271
2023-12-24,94.1900921658986
2023-12-31,96.6687788018433
2024-01-07,90.58738773698292
2024-01-14,83.99921408338416
2024-01-21,83.99921408338416
2024-01-28,90.58738773698292
2024-02-04,90.58738773698292
2024-02-11,85.64625749678385
2024-02-18,85.64625749678385
2024-02-25,90.58738773698292
2024-03-03,90.58738773698292
2024-03-10,93.88147456378229
2024-03-17,92.2344311503826
2024-03-24,95.52851797718199
2024-03-31,92.2344311503826
2024-04-07,83.99921408338416
2024-04-14,85.64625749678385
2024-04-21,85.64625749678385
2024-04-28,90.58738773698292
2024-05-05,90.58738773698292
2024-05-12,92.2344311503826
2024-05-19,87.29330091018353
2024-05-26,97.17556139058168
2024-06-02,90.58738773698292
2024-06-09,92.2344311503826
2024-06-16,88.94034432358323
2024-06-23,90.58738773698292
2024-06-30,92.2344311503826
2024-07-07,97.17556139058168
2024-07-14,100.46964821738105
2024-07-21,98.82260480398136
2024-07-28,97.17556139058168
2024-08-04,100.46964821738105
2024-08-11,98.82260480398136
2024-08-18,98.82260480398136
2024-08-25,100.46964821738105
2024-09-01,97.17556139058168
2024-09-08,95.52851797718199
2024-09-15,93.88147456378229
2024-09-22,98.82260480398136
2024-09-29,90.58738773698292
2024-10-06,90.58738773698292
2024-10-13,90.58738773698292
2024-10-20,93.88147456378229
2024-10-27,82.35217066998447
2024-11-03,88.94034432358323
2024-11-10,90.58738773698292
2024-11-17,83.99921408338416
2024-11-24,87.29330091018353
2024-12-01,87.29330091018353
2024-12-08,90.58738773698292
2024-12-15,88.94034432358323
2024-12-22,97.17556139058168
2024-12-29,95.52851797718199
2025-01-05,95.52851797718199
2025-01-12,87.29330091018353
2025-01-19,88.94034432358323
2025-01-26,92.2344311503826
2025-02-02,88.94034432358323
2025-02-09,90.58738773698292
2025-02-16,87.29330091018353
2025-02-23,88.94034432358323
2025-03-02,85.64625749678385
2025-03-09,83.99921408338416
2025-03-16,93.88147456378229
2025-03-23,88.94034432358323
2025-03-30,88.94034432358323
2025-04-06,90.58738773698292
2025-04-13,88.94034432358323
2025-04-20,88.94034432358323
2025-04-27,83.99921408338416
2025-05-04,83.99921408338416
2025-05-11,85.64625749678385
2025-05-18,92.2344311503826
2025-05-25,88.94034432358323
2025-06-01,93.88147456378229
2025-06-08,92.2344311503826
2025-06-15,92.2344311503826
2025-06-22,95.52851797718199
2025-06-29,97.17556139058168
2025-07-06,93.88147456378229
2025-07-13,98.82260480398136
2025-07-20,97.17556139058168
2025-07-27,95.52851797718199
2025-08-03,97.17556139058168
2025-08-10,92.2344311503826
2025-08-17,97.17556139058168
2025-08-24,98.82260480398136
2025-08-31,98.82260480398136
2025-09-07,92.2344311503826
2025-09-14,93.88147456378229
2025-09-21,95.52851797718199
2025-09-28,87.29330091018353
2025-10-05,97.17556139058168
2025-10-12,92.2344311503826
2025-10-19,82.35217066998447
2025-10-26,83.99921408338416
2025-11-02,90.58738773698292
2025-11-09,85.64625749678385
2025-11-16,93.88147456378229
2025-11-23,121.88121259157701
2025-11-30,103.76373504418044
2025-12-07,97.17556139058168
2025-12-14,93.88147456378229
2025-12-21,102.11669163078075
2025-12-28,143.292776965773
2026-01-04,164.70434133996895
