,Data Management
2021-02-07,67.7877551020408
2021-02-14,68.8469387755102
2021-02-21,70.96530612244896
2021-02-28,99.56326530612243
2021-03-07,82.61632653061223
2021-03-14,82.61632653061223
2021-03-21,75.20204081632652
2021-03-28,66.72857142857141
2021-04-04,65.66938775510204
2021-04-11,56.13673469387754
2021-04-18,60.373469387755094
2021-04-25,59.3142857142857
2021-05-02,75.20204081632652
2021-05-09,60.373469387755094
2021-05-16,65.66938775510204
2021-05-23,64.61020408163265
2021-05-30,68.8469387755102
2021-06-06,75.20204081632652
2021-06-13,79.43877551020407
2021-06-20,73.08367346938775
2021-06-27,73.08367346938775
2021-07-04,72.02448979591836
2021-07-11,75.20204081632652
2021-07-18,74.14285714285712
2021-07-25,75.20204081632652
2021-08-01,70.96530612244896
2021-08-08,74.14285714285712
2021-08-15,69.90612244897957
2021-08-22,66.72857142857141
2021-08-29,67.7877551020408
2021-09-05,64.61020408163265
2021-09-12,67.7877551020408
2021-09-19,73.08367346938775
2021-09-26,70.96530612244896
2021-10-03,67.7877551020408
2021-10-10,57.19591836734693
2021-10-17,66.72857142857141
2021-10-24,68.8469387755102
2021-10-31,45.544897959183665
2021-11-07,65.66938775510204
2021-11-14,67.7877551020408
2021-11-21,72.02448979591836
2021-11-28,69.90612244897957
2021-12-05,73.08367346938775
2021-12-12,75.20204081632652
2021-12-19,74.14285714285712
2021-12-26,64.61020408163265
2022-01-02,87.91224489795917
2022-01-09,79.43877551020407
2022-01-16,84.73469387755101
2022-01-23,84.73469387755101
2022-01-30,94.26734693877549
2022-02-06,92.14897959183672
2022-02-13,105.91836734693875
2022-02-20,103.79999999999998
2022-02-27,97.44489795918366
2022-03-06,102.74081632653059
2022-03-13,88.97142857142856
2022-03-20,97.44489795918366
2022-03-27,96.38571428571427
2022-04-03,99.56326530612243
2022-04-10,85.79387755102039
2022-04-17,94.26734693877549
2022-04-24,97.44489795918366
2022-05-01,85.79387755102039
2022-05-08,100.62244897959182
2022-05-15,96.38571428571427
2022-05-22,100.62244897959182
2022-05-29,92.14897959183672
2022-06-05,94.26734693877549
2022-06-12,96.38571428571427
2022-06-19,102.74081632653059
2022-06-26,101.6816326530612
2022-07-03,93.20816326530611
2022-07-10,99.56326530612243
2022-07-17,102.74081632653059
2022-07-24,99.56326530612243
2022-07-31,99.56326530612243
2022-08-07,91.08979591836733
2022-08-14,85.79387755102039
2022-08-21,102.74081632653059
2022-08-28,87.91224489795917
2022-09-04,94.26734693877549
2022-09-11,105.91836734693875
2022-09-18,103.79999999999998
2022-09-25,100.62244897959182
2022-10-02,76.26122448979591
2022-10-09,101.6816326530612
2022-10-16,88.97142857142856
2022-10-23,65.66938775510204
2022-10-30,97.44489795918366
2022-11-06,98.50408163265304
2022-11-13,104.85918367346937
2022-11-20,101.6816326530612
2022-11-27,100.62244897959182
2022-12-04,104.85918367346937
2022-12-11,103.79999999999998
2022-12-18,102.74081632653059
2022-12-25,94.26734693877549
2023-01-01,99.56326530612243
2023-01-08,100.62244897959182
2023-01-15,94.26734693877549
2023-01-22,93.20816326530611
2023-01-29,104.85918367346937
2023-02-05,98.50408163265304
2023-02-12,99.56326530612243
2023-02-19,102.74081632653059
2023-02-26,94.26734693877549
2023-03-05,85.79387755102039
2023-03-12,103.79999999999998
2023-03-19,96.38571428571427
2023-03-26,94.26734693877549
2023-04-02,93.20816326530611
2023-04-09,94.26734693877549
2023-04-16,96.38571428571427
2023-04-23,93.20816326530611
2023-04-30,92.14897959183672
2023-05-07,93.20816326530611
2023-05-14,92.14897959183672
2023-05-21,93.20816326530611
2023-05-28,93.20816326530611
2023-06-04,93.20816326530611
2023-06-11,98.50408163265304
2023-06-18,94.26734693877549
2023-06-25,92.14897959183672
2023-07-02,100.62244897959182
2023-07-09,100.62244897959182
2023-07-16,96.38571428571427
2023-07-23,97.44489795918366
2023-07-30,102.74081632653059
2023-08-06,98.50408163265304
2023-08-13,90.03061224489794
2023-08-20,101.6816326530612
2023-08-27,91.08979591836733
2023-09-03,97.44489795918366
2023-09-10,98.50408163265304
2023-09-17,85.79387755102039
2023-09-24,95.32653061224488
2023-10-01,96.38571428571427
2023-10-08,97.44489795918366
2023-10-15,93.20816326530611
2023-10-22,76.26122448979591
2023-10-29,90.03061224489794
2023-11-05,82.61632653061223
2023-11-12,70.96530612244896
2023-11-19,90.03061224489794
2023-11-26,91.08979591836733
2023-12-03,95.32653061224488
2023-12-10,100.62244897959182
2023-12-17,96.38571428571427
2023-12-24,85.79387755102039
2023-12-31,87.91224489795917
2024-01-07,95.93655533885908
2024-01-14,87.4088615309605
2024-01-21,85.27693807898585
2024-01-28,98.06847879083372
2024-02-04,103.39828742077034
2024-02-11,106.59617259873231
2024-02-18,97.0025170648464
2024-02-25,97.0025170648464
2024-03-03,93.80463188688444
2024-03-10,100.20040224280837
2024-03-17,101.26636396879569
2024-03-24,82.07905290102387
2024-03-31,97.0025170648464
2024-04-07,81.01309117503655
2024-04-14,87.4088615309605
2024-04-21,89.54078498293514
2024-04-28,88.47482325694781
2024-05-05,89.54078498293514
2024-05-12,89.54078498293514
2024-05-19,92.73867016089712
2024-05-26,94.87059361287176
2024-06-02,93.80463188688444
2024-06-09,93.80463188688444
2024-06-16,93.80463188688444
2024-06-23,88.47482325694781
2024-06-30,91.67270843490978
2024-07-07,94.87059361287176
2024-07-14,100.20040224280837
2024-07-21,100.20040224280837
2024-07-28,97.0025170648464
2024-08-04,97.0025170648464
2024-08-11,86.34289980497317
2024-08-18,90.60674670892246
2024-08-25,99.13444051682104
2024-09-01,90.60674670892246
2024-09-08,89.54078498293514
2024-09-15,88.47482325694781
2024-09-22,94.87059361287176
2024-09-29,84.21097635299853
2024-10-06,77.81520599707459
2024-10-13,86.34289980497317
2024-10-20,84.21097635299853
2024-10-27,61.82578010726474
2024-11-03,81.01309117503655
2024-11-10,90.60674670892246
2024-11-17,89.54078498293514
2024-11-24,88.47482325694781
2024-12-01,87.4088615309605
2024-12-08,86.34289980497317
2024-12-15,90.60674670892246
2024-12-22,81.01309117503655
2024-12-29,76.74924427108726
2025-01-05,84.21097635299853
2025-01-12,74.61732081911262
2025-01-19,89.54078498293514
2025-01-26,94.87059361287176
2025-02-02,87.4088615309605
2025-02-09,85.27693807898585
2025-02-16,86.34289980497317
2025-02-23,82.07905290102387
2025-03-02,85.27693807898585
2025-03-09,74.61732081911262
2025-03-16,89.54078498293514
2025-03-23,83.14501462701121
2025-03-30,75.68328254509994
2025-04-06,79.94712944904923
2025-04-13,74.61732081911262
2025-04-20,81.01309117503655
2025-04-27,73.5513590931253
2025-05-04,72.48539736713796
2025-05-11,73.5513590931253
2025-05-18,77.81520599707459
2025-05-25,74.61732081911262
2025-06-01,73.5513590931253
2025-06-08,75.68328254509994
2025-06-15,79.94712944904923
2025-06-22,82.07905290102387
2025-06-29,77.81520599707459
2025-07-06,79.94712944904923
2025-07-13,81.01309117503655
2025-07-20,81.01309117503655
2025-07-27,82.07905290102387
2025-08-03,76.74924427108726
2025-08-10,70.35347391516332
2025-08-17,82.07905290102387
2025-08-24,74.61732081911262
2025-08-31,72.48539736713796
2025-09-07,84.21097635299853
2025-09-14,83.14501462701121
2025-09-21,78.8811677230619
2025-09-28,59.69385665529009
2025-10-05,73.5513590931253
2025-10-12,67.15558873720136
2025-10-19,52.23212457337883
2025-10-26,72.48539736713796
2025-11-02,76.74924427108726
2025-11-09,73.5513590931253
2025-11-16,74.61732081911262
2025-11-23,66.08962701121403
2025-11-30,67.15558873720136
2025-12-07,71.41943564115064
2025-12-14,71.41943564115064
2025-12-21,60.75981838127741
2025-12-28,59.69385665529009
2026-01-04,67.15558873720136
