,Commercial Vehicles
2017-01-08,42.0
2017-01-15,42.0
2017-01-22,38.0
2017-01-29,40.0
2017-02-05,37.0
2017-02-12,37.0
2017-02-19,38.0
2017-02-26,37.0
2017-03-05,35.0
2017-03-12,38.0
2017-03-19,38.0
2017-03-26,40.0
2017-04-02,36.0
2017-04-09,41.0
2017-04-16,41.0
2017-04-23,40.0
2017-04-30,36.0
2017-05-07,37.0
2017-05-14,40.0
2017-05-21,38.0
2017-05-28,42.0
2017-06-04,37.0
2017-06-11,38.0
2017-06-18,38.0
2017-06-25,37.0
2017-07-02,38.0
2017-07-09,38.0
2017-07-16,37.0
2017-07-23,37.0
2017-07-30,37.0
2017-08-06,36.0
2017-08-13,39.0
2017-08-20,37.0
2017-08-27,33.0
2017-09-03,35.0
2017-09-10,36.0
2017-09-17,36.0
2017-09-24,33.0
2017-10-01,36.0
2017-10-08,37.0
2017-10-15,29.0
2017-10-22,33.0
2017-10-29,35.0
2017-11-05,35.0
2017-11-12,41.0
2017-11-19,40.0
2017-11-26,37.0
2017-12-03,35.0
2017-12-10,35.0
2017-12-17,36.0
2017-12-24,39.0
2017-12-31,34.0
2018-01-07,36.0
2018-01-14,34.0
2018-01-21,34.0
2018-01-28,36.0
2018-02-04,35.0
2018-02-11,36.0
2018-02-18,37.0
2018-02-25,36.0
2018-03-04,38.0
2018-03-11,38.0
2018-03-18,39.0
2018-03-25,38.0
2018-04-01,35.0
2018-04-08,35.0
2018-04-15,38.0
2018-04-22,36.0
2018-04-29,40.0
2018-05-06,38.0
2018-05-13,37.0
2018-05-20,40.0
2018-05-27,39.0
2018-06-03,41.0
2018-06-10,40.0
2018-06-17,40.0
2018-06-24,39.0
2018-07-01,42.0
2018-07-08,40.0
2018-07-15,42.0
2018-07-22,45.0
2018-07-29,45.0
2018-08-05,51.0
2018-08-12,44.0
2018-08-19,48.0
2018-08-26,56.0
2018-09-02,59.0
2018-09-09,60.0
2018-09-16,60.0
2018-09-23,59.0
2018-09-30,59.0
2018-10-07,59.0
2018-10-14,52.0
2018-10-21,61.0
2018-10-28,63.0
2018-11-04,47.0
2018-11-11,52.0
2018-11-18,56.0
2018-11-25,53.0
2018-12-02,52.0
2018-12-09,55.0
2018-12-16,52.0
2018-12-23,56.0
2018-12-30,53.0
2019-01-06,52.0
2019-01-13,46.0
2019-01-20,46.0
2019-01-27,51.0
2019-02-03,49.0
2019-02-10,54.0
2019-02-17,50.0
2019-02-24,47.0
2019-03-03,43.0
2019-03-10,46.0
2019-03-17,50.0
2019-03-24,47.0
2019-03-31,43.0
2019-04-07,44.0
2019-04-14,42.0
2019-04-21,44.0
2019-04-28,42.0
2019-05-05,46.0
2019-05-12,46.0
2019-05-19,46.0
2019-05-26,50.0
2019-06-02,50.0
2019-06-09,44.0
2019-06-16,46.0
2019-06-23,46.0
2019-06-30,44.0
2019-07-07,44.0
2019-07-14,49.0
2019-07-21,48.0
2019-07-28,47.0
2019-08-04,50.0
2019-08-11,39.0
2019-08-18,49.0
2019-08-25,46.0
2019-09-01,44.0
2019-09-08,50.0
2019-09-15,49.0
2019-09-22,47.0
2019-09-29,42.0
2019-10-06,37.0
2019-10-13,44.0
2019-10-20,42.0
2019-10-27,38.0
2019-11-03,43.0
2019-11-10,41.0
2019-11-17,47.0
2019-11-24,45.0
2019-12-01,45.0
2019-12-08,42.0
2019-12-15,51.0
2019-12-22,44.0
2019-12-29,42.0
2020-01-05,47.275
2020-01-12,41.175
2020-01-19,45.75
2020-01-26,42.699999999999996
2020-02-02,39.65
2020-02-09,39.65
2020-02-16,45.75
2020-02-23,39.65
2020-03-01,38.125
2020-03-08,35.074999999999996
2020-03-15,38.125
2020-03-22,28.974999999999998
2020-03-29,30.5
2020-04-05,32.025
2020-04-12,35.074999999999996
2020-04-19,33.55
2020-04-26,35.074999999999996
2020-05-03,35.074999999999996
2020-05-10,38.125
2020-05-17,38.125
2020-05-24,36.599999999999994
2020-05-31,44.224999999999994
2020-06-07,41.175
2020-06-14,38.125
2020-06-21,38.125
2020-06-28,44.224999999999994
2020-07-05,47.275
2020-07-12,47.275
2020-07-19,47.275
2020-07-26,45.75
2020-08-02,47.275
2020-08-09,50.324999999999996
2020-08-16,48.8
2020-08-23,48.8
2020-08-30,48.8
2020-09-06,54.9
2020-09-13,54.9
2020-09-20,53.375
2020-09-27,68.625
2020-10-04,85.39999999999999
2020-10-11,85.39999999999999
2020-10-18,61.0
2020-10-25,56.425
2020-11-01,51.849999999999994
2020-11-08,45.75
2020-11-15,54.9
2020-11-22,51.849999999999994
2020-11-29,51.849999999999994
2020-12-06,59.474999999999994
2020-12-13,65.575
2020-12-20,73.19999999999999
2020-12-27,67.1
2021-01-03,64.05
2021-01-10,54.9
2021-01-17,65.575
2021-01-24,62.525
2021-01-31,62.525
2021-02-07,67.1
2021-02-14,62.525
2021-02-21,67.1
2021-02-28,70.14999999999999
2021-03-07,67.1
2021-03-14,61.0
2021-03-21,51.849999999999994
2021-03-28,47.275
2021-04-04,50.324999999999996
2021-04-11,48.8
2021-04-18,56.425
2021-04-25,48.8
2021-05-02,44.224999999999994
2021-05-09,45.75
2021-05-16,48.8
2021-05-23,47.275
2021-05-30,53.375
2021-06-06,57.949999999999996
2021-06-13,64.05
2021-06-20,65.575
2021-06-27,67.1
2021-07-04,73.19999999999999
2021-07-11,86.925
2021-07-18,89.975
2021-07-25,93.02499999999999
2021-08-01,82.35
2021-08-08,82.35
2021-08-15,77.77499999999999
2021-08-22,79.3
2021-08-29,73.19999999999999
2021-09-05,76.25
2021-09-12,82.35
2021-09-19,79.3
2021-09-26,76.25
2021-10-03,76.25
2021-10-10,56.425
2021-10-17,70.14999999999999
2021-10-24,74.725
2021-10-31,51.849999999999994
2021-11-07,64.05
2021-11-14,68.625
2021-11-21,74.725
2021-11-28,76.25
2021-12-05,79.3
2021-12-12,73.19999999999999
2021-12-19,73.19999999999999
2021-12-26,65.575
2022-01-02,73.19999999999999
2022-01-09,65.575
2022-01-16,71.675
2022-01-23,73.19999999999999
2022-01-30,79.3
2022-02-06,80.82499999999999
2022-02-13,93.02499999999999
2022-02-20,91.5
2022-02-27,89.975
2022-03-06,88.44999999999999
2022-03-13,68.625
2022-03-20,67.1
2022-03-27,64.05
2022-04-03,67.1
2022-04-10,71.675
2022-04-17,77.77499999999999
2022-04-24,73.19999999999999
2022-05-01,71.675
2022-05-08,70.14999999999999
2022-05-15,68.625
2022-05-22,73.19999999999999
2022-05-29,74.725
2022-06-05,77.77499999999999
2022-06-12,83.875
2022-06-19,86.925
2022-06-26,88.44999999999999
2022-07-03,96.07499999999999
2022-07-10,97.6
2022-07-17,109.8
2022-07-24,118.94999999999999
2022-07-31,152.5
2022-08-07,117.425
2022-08-14,109.8
2022-08-21,114.375
2022-08-28,106.75
2022-09-04,102.175
2022-09-11,106.75
2022-09-18,111.32499999999999
2022-09-25,99.125
2022-10-02,83.875
2022-10-09,99.125
2022-10-16,93.02499999999999
2022-10-23,76.25
2022-10-30,96.07499999999999
2022-11-06,91.5
2022-11-13,94.55
2022-11-20,89.975
2022-11-27,89.975
2022-12-04,86.925
2022-12-11,89.975
2022-12-18,91.5
2022-12-25,88.44999999999999
2023-01-01,88.44999999999999
2023-01-08,86.925
2023-01-15,88.44999999999999
2023-01-22,86.925
2023-01-29,96.07499999999999
2023-02-05,93.02499999999999
2023-02-12,89.975
2023-02-19,97.6
2023-02-26,97.6
2023-03-05,77.77499999999999
2023-03-12,77.77499999999999
2023-03-19,70.14999999999999
2023-03-26,62.525
2023-04-02,71.675
2023-04-09,73.19999999999999
2023-04-16,70.14999999999999
2023-04-23,73.19999999999999
2023-04-30,73.19999999999999
2023-05-07,70.14999999999999
2023-05-14,68.625
2023-05-21,67.1
2023-05-28,67.1
2023-06-04,71.675
2023-06-11,73.19999999999999
2023-06-18,73.19999999999999
2023-06-25,79.3
2023-07-02,86.925
2023-07-09,89.975
2023-07-16,85.39999999999999
2023-07-23,80.82499999999999
2023-07-30,83.875
2023-08-06,85.39999999999999
2023-08-13,80.82499999999999
2023-08-20,83.875
2023-08-27,76.25
2023-09-03,77.77499999999999
2023-09-10,82.35
2023-09-17,82.35
2023-09-24,74.725
2023-10-01,74.725
2023-10-08,79.3
2023-10-15,67.1
2023-10-22,61.0
2023-10-29,71.675
2023-11-05,68.625
2023-11-12,59.474999999999994
2023-11-19,74.725
2023-11-26,73.19999999999999
2023-12-03,77.77499999999999
2023-12-10,76.25
2023-12-17,73.19999999999999
2023-12-24,74.725
2023-12-31,74.725
2024-01-07,74.62546450690805
2024-01-14,70.69780848022867
2024-01-21,63.82441043353977
2024-01-28,72.66163649356835
2024-02-04,80.5169485469271
2024-02-11,69.71589447355883
2024-02-18,77.57120652691756
2024-02-25,77.57120652691756
2024-03-03,72.66163649356835
2024-03-10,70.69780848022867
2024-03-17,59.8967544068604
2024-03-24,47.131872320152446
2024-03-31,58.914840400190556
2024-04-07,55.96909838018103
2024-04-14,53.023356360171505
2024-04-21,56.95101238685087
2024-04-28,54.005270366841344
2024-05-05,56.95101238685087
2024-05-12,53.023356360171505
2024-05-19,56.95101238685087
2024-05-26,60.87866841353024
2024-06-02,58.914840400190556
2024-06-09,57.93292639352072
2024-06-16,56.95101238685087
2024-06-23,62.84249642686993
2024-06-30,68.73398046688898
2024-07-07,64.80632444020961
2024-07-14,68.73398046688898
2024-07-21,70.69780848022867
2024-07-28,65.78823844687946
2024-08-04,66.7701524535493
2024-08-11,60.87866841353024
2024-08-18,66.7701524535493
2024-08-25,65.78823844687946
2024-09-01,63.82441043353977
2024-09-08,66.7701524535493
2024-09-15,67.75206646021914
2024-09-22,67.75206646021914
2024-09-29,55.96909838018103
2024-10-06,49.09570033349213
2024-10-13,55.96909838018103
2024-10-20,61.86058242020009
2024-10-27,43.204216293473074
2024-11-03,57.93292639352072
2024-11-10,58.914840400190556
2024-11-17,64.80632444020961
2024-11-24,67.75206646021914
2024-12-01,63.82441043353977
2024-12-08,62.84249642686993
2024-12-15,55.96909838018103
2024-12-22,57.93292639352072
2024-12-29,55.96909838018103
2025-01-05,58.914840400190556
2025-01-12,61.86058242020009
2025-01-19,61.86058242020009
2025-01-26,64.80632444020961
2025-02-02,61.86058242020009
2025-02-09,61.86058242020009
2025-02-16,68.73398046688898
2025-02-23,66.7701524535493
2025-03-02,69.71589447355883
2025-03-09,53.023356360171505
2025-03-16,50.07761434016197
2025-03-23,48.113786326822286
2025-03-30,52.04144235350166
2025-04-06,51.05952834683182
2025-04-13,48.113786326822286
2025-04-20,50.07761434016197
2025-04-27,53.023356360171505
2025-05-04,48.113786326822286
2025-05-11,54.987184373511184
2025-05-18,57.93292639352072
2025-05-25,56.95101238685087
2025-06-01,51.05952834683182
2025-06-08,54.987184373511184
2025-06-15,60.87866841353024
2025-06-22,57.93292639352072
2025-06-29,57.93292639352072
2025-07-06,57.93292639352072
2025-07-13,64.80632444020961
2025-07-20,56.95101238685087
2025-07-27,65.78823844687946
2025-08-03,60.87866841353024
2025-08-10,53.023356360171505
2025-08-17,60.87866841353024
2025-08-24,63.82441043353977
2025-08-31,53.023356360171505
2025-09-07,62.84249642686993
2025-09-14,65.78823844687946
2025-09-21,54.987184373511184
2025-09-28,44.18613030014292
2025-10-05,55.96909838018103
2025-10-12,52.04144235350166
2025-10-19,39.27656026679371
2025-10-26,53.023356360171505
2025-11-02,55.96909838018103
2025-11-09,54.987184373511184
2025-11-16,57.93292639352072
2025-11-23,70.69780848022867
2025-11-30,58.914840400190556
2025-12-07,57.93292639352072
2025-12-14,57.93292639352072
2025-12-21,54.005270366841344
2025-12-28,55.96909838018103
2026-01-04,70.69780848022867
