,Business Services
2021-10-24,94.02011416145693
2021-10-31,75.21609132916554
2021-11-07,92.76651263930417
2021-11-14,92.76651263930417
2021-11-21,91.5129111171514
2021-11-28,95.27371568360968
2021-12-05,96.52731720576244
2021-12-12,97.7809187279152
2021-12-19,101.54172329437348
2021-12-26,104.048926338679
2022-01-02,111.57053547159555
2022-01-09,106.55612938298451
2022-01-16,100.28812177222072
2022-01-23,99.03452025006796
2022-01-30,110.31693394944278
2022-02-06,104.048926338679
2022-02-13,107.80973090513727
2022-02-20,110.31693394944278
2022-02-27,110.31693394944278
2022-03-06,112.82413699374831
2022-03-13,104.048926338679
2022-03-20,120.34574612666486
2022-03-27,120.34574612666486
2022-04-03,117.83854308235935
2022-04-10,106.55612938298451
2022-04-17,111.57053547159555
2022-04-24,107.80973090513727
2022-05-01,111.57053547159555
2022-05-08,114.07773851590107
2022-05-15,114.07773851590107
2022-05-22,111.57053547159555
2022-05-29,107.80973090513727
2022-06-05,106.55612938298451
2022-06-12,110.31693394944278
2022-06-19,111.57053547159555
2022-06-26,112.82413699374831
2022-07-03,114.07773851590107
2022-07-10,111.57053547159555
2022-07-17,114.07773851590107
2022-07-24,120.34574612666486
2022-07-31,114.07773851590107
2022-08-07,105.30252786083176
2022-08-14,106.55612938298451
2022-08-21,115.33134003805382
2022-08-28,107.80973090513727
2022-09-04,107.80973090513727
2022-09-11,116.58494156020659
2022-09-18,115.33134003805382
2022-09-25,106.55612938298451
2022-10-02,95.27371568360968
2022-10-09,109.06333242729004
2022-10-16,97.7809187279152
2022-10-23,80.23049741777658
2022-10-30,101.54172329437348
2022-11-06,100.28812177222072
2022-11-13,107.80973090513727
2022-11-20,100.28812177222072
2022-11-27,100.28812177222072
2022-12-04,97.7809187279152
2022-12-11,104.048926338679
2022-12-18,107.80973090513727
2022-12-25,106.55612938298451
2023-01-01,109.06333242729004
2023-01-08,105.30252786083176
2023-01-15,102.79532481652623
2023-01-22,96.52731720576244
2023-01-29,107.80973090513727
2023-02-05,110.31693394944278
2023-02-12,110.31693394944278
2023-02-19,111.57053547159555
2023-02-26,107.80973090513727
2023-03-05,97.7809187279152
2023-03-12,110.31693394944278
2023-03-19,107.80973090513727
2023-03-26,112.82413699374831
2023-04-02,107.80973090513727
2023-04-09,104.048926338679
2023-04-16,100.28812177222072
2023-04-23,106.55612938298451
2023-04-30,99.03452025006796
2023-05-07,104.048926338679
2023-05-14,102.79532481652623
2023-05-21,101.54172329437348
2023-05-28,106.55612938298451
2023-06-04,105.30252786083176
2023-06-11,117.83854308235935
2023-06-18,121.59934764881763
2023-06-25,115.33134003805382
2023-07-02,117.83854308235935
2023-07-09,125.3601522152759
2023-07-16,121.59934764881763
2023-07-23,125.3601522152759
2023-07-30,125.3601522152759
2023-08-06,124.10655069312314
2023-08-13,116.58494156020659
2023-08-20,120.34574612666486
2023-08-27,112.82413699374831
2023-09-03,112.82413699374831
2023-09-10,120.34574612666486
2023-09-17,117.83854308235935
2023-09-24,122.85294917097038
2023-10-01,116.58494156020659
2023-10-08,121.59934764881763
2023-10-15,106.55612938298451
2023-10-22,96.52731720576244
2023-10-29,109.06333242729004
2023-11-05,105.30252786083176
2023-11-12,100.28812177222072
2023-11-19,109.06333242729004
2023-11-26,111.57053547159555
2023-12-03,111.57053547159555
2023-12-10,115.33134003805382
2023-12-17,120.34574612666486
2023-12-24,121.59934764881763
2023-12-31,119.0921446045121
2024-01-07,116.08195506227959
2024-01-14,113.38237471199402
2024-01-21,101.23426313570894
2024-01-28,125.53048628827909
2024-02-04,122.83090593799352
2024-02-11,122.83090593799352
2024-02-18,129.57985681370744
2024-02-25,122.83090593799352
2024-03-03,118.78153541256516
2024-03-10,132.279437163993
2024-03-17,125.53048628827909
2024-03-24,121.48111576285073
2024-03-31,121.48111576285073
2024-04-07,107.98321401142287
2024-04-14,112.03258453685123
2024-04-21,109.33300418656566
2024-04-28,112.03258453685123
2024-05-05,113.38237471199402
2024-05-12,110.68279436170845
2024-05-19,118.78153541256516
2024-05-26,114.7321648871368
2024-06-02,113.38237471199402
2024-06-09,122.83090593799352
2024-06-16,130.92964698885024
2024-06-23,125.53048628827909
2024-06-30,134.97901751427858
2024-07-07,126.88027646342188
2024-07-14,133.6292273391358
2024-07-21,126.88027646342188
2024-07-28,126.88027646342188
2024-08-04,121.48111576285073
2024-08-11,120.13132558770795
2024-08-18,118.78153541256516
2024-08-25,110.68279436170845
2024-09-01,110.68279436170845
2024-09-08,113.38237471199402
2024-09-15,105.2836336611373
2024-09-22,114.7321648871368
2024-09-29,105.2836336611373
2024-10-06,98.53468278542337
2024-10-13,106.63342383628009
2024-10-20,101.23426313570894
2024-10-27,85.03678103399551
2024-11-03,97.18489261028058
2024-11-10,97.18489261028058
2024-11-17,98.53468278542337
2024-11-24,105.2836336611373
2024-12-01,103.93384348599452
2024-12-08,109.33300418656566
2024-12-15,109.33300418656566
2024-12-22,117.43174523742238
2024-12-29,113.38237471199402
2025-01-05,114.7321648871368
2025-01-12,102.58405331085173
2025-01-19,109.33300418656566
2025-01-26,112.03258453685123
2025-02-02,112.03258453685123
2025-02-09,109.33300418656566
2025-02-16,113.38237471199402
2025-02-23,114.7321648871368
2025-03-02,112.03258453685123
2025-03-09,103.93384348599452
2025-03-16,117.43174523742238
2025-03-23,114.7321648871368
2025-03-30,113.38237471199402
2025-04-06,109.33300418656566
2025-04-13,106.63342383628009
2025-04-20,113.38237471199402
2025-04-27,117.43174523742238
2025-05-04,110.68279436170845
2025-05-11,109.33300418656566
2025-05-18,110.68279436170845
2025-05-25,114.7321648871368
2025-06-01,114.7321648871368
2025-06-08,117.43174523742238
2025-06-15,117.43174523742238
2025-06-22,118.78153541256516
2025-06-29,121.48111576285073
2025-07-06,117.43174523742238
2025-07-13,122.83090593799352
2025-07-20,120.13132558770795
2025-07-27,125.53048628827909
2025-08-03,114.7321648871368
2025-08-10,105.2836336611373
2025-08-17,118.78153541256516
2025-08-24,109.33300418656566
2025-08-31,107.98321401142287
2025-09-07,114.7321648871368
2025-09-14,107.98321401142287
2025-09-21,101.23426313570894
2025-09-28,97.18489261028058
2025-10-05,106.63342383628009
2025-10-12,105.2836336611373
2025-10-19,86.3865712091383
2025-10-26,97.18489261028058
2025-11-02,98.53468278542337
2025-11-09,99.88447296056616
2025-11-16,106.63342383628009
2025-11-23,114.7321648871368
2025-11-30,117.43174523742238
2025-12-07,113.38237471199402
2025-12-14,112.03258453685123
2025-12-21,103.93384348599452
2025-12-28,94.48531225999501
2026-01-04,98.53468278542337
