,Business News
2022-11-06,139.78561219628395
2022-11-13,137.89661743687472
2022-11-20,120.89566460219153
2022-11-27,124.67365412101002
2022-12-04,128.4516436398285
2022-12-11,136.00762267746546
2022-12-18,141.6746069556932
2022-12-25,141.6746069556932
2023-01-01,132.22963315864698
2023-01-08,124.67365412101002
2023-01-15,126.56264888041926
2023-01-22,128.4516436398285
2023-01-29,166.23153882801336
2023-02-05,147.34159123392092
2023-02-12,130.34063839923775
2023-02-19,124.67365412101002
2023-02-26,124.67365412101002
2023-03-05,113.33968556455456
2023-03-12,124.67365412101002
2023-03-19,122.78465936160077
2023-03-26,113.33968556455456
2023-04-02,105.78370652691758
2023-04-09,109.56169604573607
2023-04-16,103.89471176750834
2023-04-23,115.2286803239638
2023-04-30,111.45069080514531
2023-05-07,109.56169604573607
2023-05-14,107.67270128632683
2023-05-21,154.8975702715579
2023-05-28,122.78465936160077
2023-06-04,115.2286803239638
2023-06-11,126.56264888041926
2023-06-18,117.11767508337304
2023-06-25,120.89566460219153
2023-07-02,132.22963315864698
2023-07-09,139.78561219628395
2023-07-16,132.22963315864698
2023-07-23,132.22963315864698
2023-07-30,134.11862791805623
2023-08-06,145.4525964745117
2023-08-13,119.00666984278229
2023-08-20,130.34063839923775
2023-08-27,134.11862791805623
2023-09-03,136.00762267746546
2023-09-10,132.22963315864698
2023-09-17,120.89566460219153
2023-09-24,126.56264888041926
2023-10-01,115.2286803239638
2023-10-08,126.56264888041926
2023-10-15,120.89566460219153
2023-10-22,105.78370652691758
2023-10-29,119.00666984278229
2023-11-05,113.33968556455456
2023-11-12,103.89471176750834
2023-11-19,128.4516436398285
2023-11-26,149.23058599333018
2023-12-03,130.34063839923775
2023-12-10,143.56360171510244
2023-12-17,188.89947594092428
2023-12-24,145.4525964745117
2023-12-31,141.6746069556932
2024-01-07,146.4722709249598
2024-01-14,158.67829350203976
2024-01-21,131.82504383246382
2024-01-28,153.79588447120778
2024-02-04,146.4722709249598
2024-02-11,134.2662483478798
2024-02-18,117.17781673996782
2024-02-25,156.23708898662377
2024-03-03,187.97274768703173
2024-03-10,139.1486573787118
2024-03-17,119.61902125538383
2024-03-24,100.08938513205585
2024-03-31,117.17781673996782
2024-04-07,114.73661222455183
2024-04-14,117.17781673996782
2024-04-21,126.94263480163181
2024-04-28,129.3838393170478
2024-05-05,129.3838393170478
2024-05-12,134.2662483478798
2024-05-19,136.7074528632958
2024-05-26,141.5898618941278
2024-06-02,136.7074528632958
2024-06-09,139.1486573787118
2024-06-16,124.50143028621582
2024-06-23,139.1486573787118
2024-06-30,136.7074528632958
2024-07-07,170.88431607911974
2024-07-14,187.97274768703173
2024-07-21,170.88431607911974
2024-07-28,151.3546799557918
2024-08-04,170.88431607911974
2024-08-11,139.1486573787118
2024-08-18,131.82504383246382
2024-08-25,139.1486573787118
2024-09-01,134.2662483478798
2024-09-08,151.3546799557918
2024-09-15,151.3546799557918
2024-09-22,134.2662483478798
2024-09-29,136.7074528632958
2024-10-06,244.12045154159964
2024-10-13,124.50143028621582
2024-10-20,151.3546799557918
