,Entertainment Media
2024-09-29,80.09675055472708
2024-10-06,94.85141513059786
2024-10-13,71.6655136542295
2024-10-20,67.4498952039807
2024-10-27,69.5577044291051
2024-11-03,69.5577044291051
2024-11-10,69.5577044291051
2024-11-17,84.31236900497588
2024-11-24,71.6655136542295
2024-12-01,71.6655136542295
2024-12-08,73.7733228793539
2024-12-15,75.8811321044783
2024-12-22,90.63579668034907
2024-12-29,84.31236900497588
2025-01-05,75.8811321044783
2025-01-12,71.6655136542295
2025-01-19,67.4498952039807
2025-01-26,71.6655136542295
2025-02-02,82.20455977985148
2025-02-09,67.4498952039807
2025-02-16,65.3420859788563
2025-02-23,65.3420859788563
2025-03-02,65.3420859788563
2025-03-09,63.234276753731905
2025-03-16,69.5577044291051
2025-03-23,65.3420859788563
2025-03-30,71.6655136542295
2025-04-06,65.3420859788563
2025-04-13,67.4498952039807
2025-04-20,65.3420859788563
2025-04-27,65.3420859788563
2025-05-04,63.234276753731905
2025-05-11,73.7733228793539
2025-05-18,69.5577044291051
2025-05-25,71.6655136542295
2025-06-01,69.5577044291051
2025-06-08,67.4498952039807
2025-06-15,71.6655136542295
2025-06-22,77.98894132960268
2025-06-29,69.5577044291051
2025-07-06,71.6655136542295
2025-07-13,71.6655136542295
2025-07-20,75.8811321044783
2025-07-27,69.5577044291051
2025-08-03,69.5577044291051
2025-08-10,71.6655136542295
2025-08-17,67.4498952039807
2025-08-24,67.4498952039807
2025-08-31,65.3420859788563
2025-09-07,65.3420859788563
2025-09-14,65.3420859788563
2025-09-21,73.7733228793539
2025-09-28,71.6655136542295
2025-10-05,65.3420859788563
2025-10-12,61.12646752860751
2025-10-19,63.234276753731905
2025-10-26,65.3420859788563
2025-11-02,59.018658303483114
2025-11-09,105.39046125621985
2025-11-16,73.7733228793539
2025-11-23,84.31236900497588
2025-11-30,75.8811321044783
2025-12-07,73.7733228793539
2025-12-14,86.42017823010028
2025-12-21,92.74360590547346
2025-12-28,84.31236900497588
2026-01-04,80.09675055472708
