,Hospitals & Treatment Centers
2021-11-21,81.21397379912663
2021-11-28,81.21397379912663
2021-12-05,85.99126637554585
2021-12-12,84.39883551673945
2021-12-19,87.58369723435226
2021-12-26,84.39883551673945
2022-01-02,92.36098981077147
2022-01-09,82.80640465793304
2022-01-16,78.02911208151383
2022-01-23,84.39883551673945
2022-01-30,84.39883551673945
2022-02-06,82.80640465793304
2022-02-13,89.17612809315867
2022-02-20,95.54585152838428
2022-02-27,92.36098981077147
2022-03-06,92.36098981077147
2022-03-13,89.17612809315867
2022-03-20,98.7307132459971
2022-03-27,92.36098981077147
2022-04-03,92.36098981077147
2022-04-10,93.95342066957788
2022-04-17,93.95342066957788
2022-04-24,95.54585152838428
2022-05-01,97.13828238719069
2022-05-08,95.54585152838428
2022-05-15,87.58369723435226
2022-05-22,98.7307132459971
2022-05-29,100.32314410480349
2022-06-05,101.9155749636099
2022-06-12,103.50800582241631
2022-06-19,106.69286754002911
2022-06-26,106.69286754002911
2022-07-03,108.28529839883552
2022-07-10,105.1004366812227
2022-07-17,108.28529839883552
2022-07-24,105.1004366812227
2022-07-31,108.28529839883552
2022-08-07,105.1004366812227
2022-08-14,109.87772925764192
2022-08-21,119.43231441048034
2022-08-28,103.50800582241631
2022-09-04,103.50800582241631
2022-09-11,113.06259097525474
2022-09-18,113.06259097525474
2022-09-25,101.9155749636099
2022-10-02,98.7307132459971
2022-10-09,106.69286754002911
2022-10-16,98.7307132459971
2022-10-23,92.36098981077147
2022-10-30,95.54585152838428
2022-11-06,103.50800582241631
2022-11-13,103.50800582241631
2022-11-20,98.7307132459971
2022-11-27,98.7307132459971
2022-12-04,97.13828238719069
2022-12-11,101.9155749636099
2022-12-18,106.69286754002911
2022-12-25,109.87772925764192
2023-01-01,95.54585152838428
2023-01-08,92.36098981077147
2023-01-15,97.13828238719069
2023-01-22,100.32314410480349
2023-01-29,98.7307132459971
2023-02-05,100.32314410480349
2023-02-12,100.32314410480349
2023-02-19,105.1004366812227
2023-02-26,103.50800582241631
