,Import & Export
2020-09-06,77.94564885496183
2020-09-13,75.65312977099236
2020-09-20,77.94564885496183
2020-09-27,66.4830534351145
2020-10-04,72.21435114503817
2020-10-11,68.77557251908397
2020-10-18,65.33679389312977
2020-10-25,64.19053435114503
2020-11-01,60.75175572519084
2020-11-08,49.28916030534351
2020-11-15,57.31297709923664
2020-11-22,61.89801526717557
2020-11-29,64.19053435114503
2020-12-06,65.33679389312977
2020-12-13,67.62931297709923
2020-12-20,71.06809160305343
2020-12-27,69.9218320610687
2021-01-03,66.4830534351145
2021-01-10,61.89801526717557
2021-01-17,66.4830534351145
2021-01-24,63.04427480916031
2021-01-31,81.38442748091603
2021-02-07,71.06809160305343
2021-02-14,71.06809160305343
2021-02-21,73.3606106870229
2021-02-28,71.06809160305343
2021-03-07,69.9218320610687
2021-03-14,68.77557251908397
2021-03-21,65.33679389312977
2021-03-28,68.77557251908397
2021-04-04,65.33679389312977
2021-04-11,61.89801526717557
2021-04-18,64.19053435114503
2021-04-25,61.89801526717557
2021-05-02,59.60549618320611
2021-05-09,66.4830534351145
2021-05-16,66.4830534351145
2021-05-23,66.4830534351145
2021-05-30,67.62931297709923
2021-06-06,68.77557251908397
2021-06-13,71.06809160305343
2021-06-20,69.9218320610687
2021-06-27,80.2381679389313
2021-07-04,74.50687022900763
2021-07-11,75.65312977099236
2021-07-18,75.65312977099236
2021-07-25,90.5545038167939
2021-08-01,79.09190839694656
2021-08-08,73.3606106870229
2021-08-15,75.65312977099236
2021-08-22,67.62931297709923
2021-08-29,68.77557251908397
2021-09-05,66.4830534351145
2021-09-12,71.06809160305343
2021-09-19,69.9218320610687
2021-09-26,66.4830534351145
2021-10-03,63.04427480916031
2021-10-10,52.72793893129771
2021-10-17,63.04427480916031
2021-10-24,61.89801526717557
2021-10-31,48.142900763358774
2021-11-07,58.45923664122137
2021-11-14,66.4830534351145
2021-11-21,66.4830534351145
2021-11-28,67.62931297709923
2021-12-05,64.19053435114503
2021-12-12,67.62931297709923
2021-12-19,69.9218320610687
2021-12-26,66.4830534351145
2022-01-02,76.7993893129771
2022-01-09,72.21435114503817
2022-01-16,67.62931297709923
2022-01-23,72.21435114503817
2022-01-30,79.09190839694656
2022-02-06,73.3606106870229
2022-02-13,83.6769465648855
2022-02-20,95.13954198473282
2022-02-27,91.70076335877863
2022-03-06,88.26198473282443
2022-03-13,79.09190839694656
2022-03-20,111.18717557251908
2022-03-27,114.62595419847328
2022-04-03,105.45587786259541
2022-04-10,85.96946564885496
2022-04-17,87.1157251908397
2022-04-24,90.5545038167939
2022-05-01,84.82320610687023
2022-05-08,105.45587786259541
2022-05-15,96.28580152671755
2022-05-22,95.13954198473282
2022-05-29,84.82320610687023
2022-06-05,83.6769465648855
2022-06-12,90.5545038167939
2022-06-19,91.70076335877863
2022-06-26,92.84702290076335
2022-07-03,91.70076335877863
2022-07-10,88.26198473282443
2022-07-17,96.28580152671755
2022-07-24,90.5545038167939
2022-07-31,98.57832061068702
2022-08-07,77.94564885496183
2022-08-14,73.3606106870229
2022-08-21,82.53068702290076
2022-08-28,75.65312977099236
2022-09-04,77.94564885496183
2022-09-11,90.5545038167939
2022-09-18,82.53068702290076
2022-09-25,79.09190839694656
2022-10-02,71.06809160305343
2022-10-09,80.2381679389313
2022-10-16,72.21435114503817
2022-10-23,63.04427480916031
2022-10-30,76.7993893129771
2022-11-06,73.3606106870229
2022-11-13,88.26198473282443
2022-11-20,79.09190839694656
2022-11-27,79.09190839694656
2022-12-04,81.38442748091603
2022-12-11,88.26198473282443
2022-12-18,95.13954198473282
2022-12-25,87.1157251908397
2023-01-01,83.6769465648855
2023-01-08,76.7993893129771
2023-01-15,79.09190839694656
2023-01-22,71.06809160305343
2023-01-29,90.5545038167939
2023-02-05,84.82320610687023
2023-02-12,82.53068702290076
2023-02-19,87.1157251908397
2023-02-26,87.1157251908397
2023-03-05,77.94564885496183
2023-03-12,89.40824427480916
2023-03-19,77.94564885496183
2023-03-26,85.96946564885496
2023-04-02,81.38442748091603
2023-04-09,83.6769465648855
2023-04-16,84.82320610687023
2023-04-23,80.2381679389313
2023-04-30,76.7993893129771
2023-05-07,82.53068702290076
2023-05-14,84.82320610687023
2023-05-21,80.2381679389313
2023-05-28,80.2381679389313
2023-06-04,82.53068702290076
2023-06-11,84.82320610687023
2023-06-18,88.26198473282443
2023-06-25,89.40824427480916
2023-07-02,88.26198473282443
2023-07-09,90.5545038167939
2023-07-16,89.40824427480916
2023-07-23,93.99328244274808
2023-07-30,95.13954198473282
2023-08-06,87.1157251908397
2023-08-13,77.94564885496183
2023-08-20,82.53068702290076
2023-08-27,80.2381679389313
2023-09-03,79.09190839694656
2023-09-10,81.38442748091603
2023-09-17,81.38442748091603
2023-09-24,79.09190839694656
2023-10-01,79.09190839694656
2023-10-08,81.38442748091603
2023-10-15,76.7993893129771
2023-10-22,72.21435114503817
2023-10-29,77.94564885496183
2023-11-05,71.06809160305343
2023-11-12,67.62931297709923
2023-11-19,82.53068702290076
2023-11-26,80.2381679389313
2023-12-03,83.6769465648855
2023-12-10,82.53068702290076
2023-12-17,102.01709923664122
2023-12-24,82.53068702290076
2023-12-31,79.09190839694656
2024-01-07,81.72009832744905
2024-01-14,81.72009832744905
2024-01-21,72.80517850990915
2024-01-28,87.66337820580898
2024-02-04,86.177558236219
2024-02-11,87.66337820580898
2024-02-18,84.69173826662902
2024-02-25,84.69173826662902
2024-03-03,84.69173826662902
2024-03-10,87.66337820580898
2024-03-17,89.14919817539896
2024-03-24,81.72009832744905
2024-03-31,96.57829802334888
2024-04-07,80.23427835785907
2024-04-14,77.2626384186791
2024-04-21,81.72009832744905
2024-04-28,86.177558236219
2024-05-05,81.72009832744905
2024-05-12,84.69173826662902
2024-05-19,81.72009832744905
2024-05-26,86.177558236219
2024-06-02,78.74845838826909
2024-06-09,84.69173826662902
2024-06-16,84.69173826662902
2024-06-23,87.66337820580898
2024-06-30,84.69173826662902
2024-07-07,90.63501814498895
2024-07-14,90.63501814498895
2024-07-21,120.3514175367886
2024-07-28,96.57829802334888
2024-08-04,86.177558236219
2024-08-11,81.72009832744905
2024-08-18,86.177558236219
2024-08-25,84.69173826662902
2024-09-01,84.69173826662902
2024-09-08,86.177558236219
2024-09-15,84.69173826662902
2024-09-22,84.69173826662902
2024-09-29,78.74845838826909
2024-10-06,72.80517850990915
2024-10-13,78.74845838826909
2024-10-20,77.2626384186791
2024-10-27,57.94697881400933
2024-11-03,72.80517850990915
2024-11-10,78.74845838826909
2024-11-17,78.74845838826909
2024-11-24,81.72009832744905
2024-12-01,80.23427835785907
2024-12-08,83.20591829703903
2024-12-15,86.177558236219
2024-12-22,86.177558236219
2024-12-29,80.23427835785907
2025-01-05,83.20591829703903
2025-01-12,75.77681844908912
2025-01-19,89.14919817539896
2025-01-26,89.14919817539896
2025-02-02,95.0924780537589
2025-02-09,93.60665808416891
2025-02-16,89.14919817539896
2025-02-23,90.63501814498895
2025-03-02,92.12083811457893
2025-03-09,81.72009832744905
2025-03-16,92.12083811457893
2025-03-23,92.12083811457893
2025-03-30,126.29469741514853
2025-04-06,138.1812571718684
2025-04-13,98.06411799293886
2025-04-20,96.57829802334888
2025-04-27,86.177558236219
2025-05-04,86.177558236219
2025-05-11,95.0924780537589
2025-05-18,86.177558236219
2025-05-25,87.66337820580898
2025-06-01,81.72009832744905
2025-06-08,86.177558236219
2025-06-15,87.66337820580898
2025-06-22,90.63501814498895
2025-06-29,90.63501814498895
2025-07-06,95.0924780537589
2025-07-13,96.57829802334888
2025-07-20,95.0924780537589
2025-07-27,124.80887744555855
2025-08-03,148.58199695899827
2025-08-10,99.54993796252884
2025-08-17,96.57829802334888
2025-08-24,106.97903781047876
2025-08-31,98.06411799293886
2025-09-07,87.66337820580898
2025-09-14,83.20591829703903
2025-09-21,87.66337820580898
2025-09-28,80.23427835785907
2025-10-05,83.20591829703903
2025-10-12,78.74845838826909
2025-10-19,60.91861875318929
2025-10-26,80.23427835785907
2025-11-02,81.72009832744905
2025-11-09,80.23427835785907
2025-11-16,84.69173826662902
2025-11-23,78.74845838826909
2025-11-30,81.72009832744905
2025-12-07,83.20591829703903
2025-12-14,86.177558236219
2025-12-21,78.74845838826909
2025-12-28,83.20591829703903
2026-01-04,87.66337820580898
