,Accounting & Auditing
2017-12-31,24.0
2018-01-07,28.0
2018-01-14,27.0
2018-01-21,23.0
2018-01-28,34.0
2018-02-04,28.0
2018-02-11,27.0
2018-02-18,28.0
2018-02-25,24.0
2018-03-04,30.0
2018-03-11,33.0
2018-03-18,38.0
2018-03-25,49.0
2018-04-01,29.0
2018-04-08,24.0
2018-04-15,25.0
2018-04-22,25.0
2018-04-29,24.0
2018-05-06,23.0
2018-05-13,24.0
2018-05-20,27.0
2018-05-27,28.0
2018-06-03,28.0
2018-06-10,30.0
2018-06-17,31.0
2018-06-24,37.0
2018-07-01,42.0
2018-07-08,48.0
2018-07-15,63.0
2018-07-22,77.0
2018-07-29,41.0
2018-08-05,34.0
2018-08-12,31.0
2018-08-19,39.0
2018-08-26,59.0
2018-09-02,30.0
2018-09-09,28.0
2018-09-16,30.0
2018-09-23,31.0
2018-09-30,29.0
2018-10-07,30.0
2018-10-14,23.0
2018-10-21,27.0
2018-10-28,30.0
2018-11-04,16.0
2018-11-11,25.0
2018-11-18,25.0
2018-11-25,26.0
2018-12-02,26.0
2018-12-09,27.0
2018-12-16,27.0
2018-12-23,26.0
2018-12-30,25.0
2019-01-06,26.0
2019-01-13,25.0
2019-01-20,26.0
2019-01-27,37.0
2019-02-03,30.0
2019-02-10,28.0
2019-02-17,29.0
2019-02-24,26.0
2019-03-03,26.0
2019-03-10,30.0
2019-03-17,23.0
2019-03-24,32.0
2019-03-31,30.0
2019-04-07,26.0
2019-04-14,24.0
2019-04-21,26.0
2019-04-28,26.0
2019-05-05,24.0
2019-05-12,26.0
2019-05-19,24.0
2019-05-26,27.0
2019-06-02,27.0
2019-06-09,30.0
2019-06-16,32.0
2019-06-23,34.0
2019-06-30,39.0
2019-07-07,43.0
2019-07-14,57.0
2019-07-21,59.0
2019-07-28,44.0
2019-08-04,35.0
2019-08-11,33.0
2019-08-18,49.0
2019-08-25,72.0
2019-09-01,31.0
2019-09-08,32.0
2019-09-15,36.0
2019-09-22,45.0
2019-09-29,30.0
2019-10-06,25.0
2019-10-13,29.0
2019-10-20,26.0
2019-10-27,25.0
2019-11-03,28.0
2019-11-10,28.0
2019-11-17,27.0
2019-11-24,26.0
2019-12-01,26.0
2019-12-08,28.0
2019-12-15,28.0
2019-12-22,26.0
2019-12-29,28.0
2020-01-05,29.53080229226361
2020-01-12,24.80587392550143
2020-01-19,29.53080229226361
2020-01-26,36.61819484240687
2020-02-02,35.43696275071633
2020-02-09,28.349570200573062
2020-02-16,28.349570200573062
2020-02-23,27.16833810888252
2020-03-01,28.349570200573062
2020-03-08,24.80587392550143
2020-03-15,27.16833810888252
2020-03-22,14.174785100286531
2020-03-29,15.356017191977076
2020-04-05,14.174785100286531
2020-04-12,16.53724928366762
2020-04-19,16.53724928366762
2020-04-26,17.718481375358166
2020-05-03,17.718481375358166
2020-05-10,20.080945558739252
2020-05-17,18.89971346704871
2020-05-24,18.89971346704871
2020-05-31,23.624641833810887
2020-06-07,24.80587392550143
2020-06-14,25.987106017191977
2020-06-21,29.53080229226361
2020-06-28,30.71203438395415
2020-07-05,27.16833810888252
2020-07-12,27.16833810888252
2020-07-19,28.349570200573062
2020-07-26,33.07449856733524
2020-08-02,28.349570200573062
2020-08-09,28.349570200573062
2020-08-16,30.71203438395415
2020-08-23,31.893266475644698
2020-08-30,31.893266475644698
2020-09-06,34.25573065902579
2020-09-13,34.25573065902579
2020-09-20,35.43696275071633
2020-09-27,36.61819484240687
2020-10-04,33.07449856733524
2020-10-11,31.893266475644698
2020-10-18,33.07449856733524
2020-10-25,28.349570200573062
2020-11-01,28.349570200573062
2020-11-08,24.80587392550143
2020-11-15,27.16833810888252
2020-11-22,31.893266475644698
2020-11-29,35.43696275071633
2020-12-06,36.61819484240687
2020-12-13,41.34312320916905
2020-12-20,49.61174785100286
2020-12-27,66.14899713467048
2021-01-03,43.70558739255014
2021-01-10,36.61819484240687
2021-01-17,34.25573065902579
2021-01-24,29.53080229226361
2021-01-31,35.43696275071633
2021-02-07,31.893266475644698
2021-02-14,30.71203438395415
2021-02-21,30.71203438395415
2021-02-28,31.893266475644698
2021-03-07,30.71203438395415
2021-03-14,31.893266475644698
2021-03-21,33.07449856733524
2021-03-28,54.33667621776504
2021-04-04,29.53080229226361
2021-04-11,24.80587392550143
2021-04-18,22.44340974212034
2021-04-25,20.080945558739252
2021-05-02,22.44340974212034
2021-05-09,21.2621776504298
2021-05-16,20.080945558739252
2021-05-23,22.44340974212034
2021-05-30,24.80587392550143
2021-06-06,33.07449856733524
2021-06-13,30.71203438395415
2021-06-20,34.25573065902579
2021-06-27,34.25573065902579
2021-07-04,33.07449856733524
2021-07-11,33.07449856733524
2021-07-18,34.25573065902579
2021-07-25,40.161891117478504
2021-08-01,34.25573065902579
2021-08-08,35.43696275071633
2021-08-15,34.25573065902579
2021-08-22,34.25573065902579
2021-08-29,35.43696275071633
2021-09-05,36.61819484240687
2021-09-12,34.25573065902579
2021-09-19,33.07449856733524
2021-09-26,34.25573065902579
2021-10-03,30.71203438395415
2021-10-10,24.80587392550143
2021-10-17,28.349570200573062
2021-10-24,30.71203438395415
2021-10-31,21.2621776504298
2021-11-07,28.349570200573062
2021-11-14,30.71203438395415
2021-11-21,30.71203438395415
2021-11-28,34.25573065902579
2021-12-05,38.980659025787965
2021-12-12,42.5243553008596
2021-12-19,47.249283667621775
2021-12-26,73.23638968481374
2022-01-02,42.5243553008596
2022-01-09,38.980659025787965
2022-01-16,30.71203438395415
2022-01-23,31.893266475644698
2022-01-30,38.980659025787965
2022-02-06,36.61819484240687
2022-02-13,40.161891117478504
2022-02-20,41.34312320916905
2022-02-27,37.79942693409742
2022-03-06,40.161891117478504
2022-03-13,35.43696275071633
2022-03-20,37.79942693409742
2022-03-27,50.79297994269341
2022-04-03,35.43696275071633
2022-04-10,30.71203438395415
2022-04-17,34.25573065902579
2022-04-24,35.43696275071633
2022-05-01,31.893266475644698
2022-05-08,31.893266475644698
2022-05-15,31.893266475644698
2022-05-22,31.893266475644698
2022-05-29,33.07449856733524
2022-06-05,34.25573065902579
2022-06-12,38.980659025787965
2022-06-19,41.34312320916905
2022-06-26,48.430515759312314
2022-07-03,54.33667621776504
2022-07-10,64.96776504297993
2022-07-17,85.0487106017192
2022-07-24,118.12320916905443
2022-07-31,74.41762177650429
2022-08-07,43.70558739255014
2022-08-14,40.161891117478504
2022-08-21,44.88681948424068
2022-08-28,40.161891117478504
2022-09-04,38.980659025787965
2022-09-11,40.161891117478504
2022-09-18,41.34312320916905
2022-09-25,42.5243553008596
2022-10-02,28.349570200573062
2022-10-09,35.43696275071633
2022-10-16,33.07449856733524
2022-10-23,24.80587392550143
2022-10-30,33.07449856733524
2022-11-06,33.07449856733524
2022-11-13,33.07449856733524
2022-11-20,30.71203438395415
2022-11-27,30.71203438395415
2022-12-04,34.25573065902579
2022-12-11,36.61819484240687
2022-12-18,36.61819484240687
2022-12-25,44.88681948424068
2023-01-01,37.79942693409742
2023-01-08,35.43696275071633
2023-01-15,35.43696275071633
2023-01-22,33.07449856733524
2023-01-29,54.33667621776504
2023-02-05,41.34312320916905
2023-02-12,36.61819484240687
2023-02-19,38.980659025787965
2023-02-26,41.34312320916905
2023-03-05,38.980659025787965
2023-03-12,51.97421203438395
2023-03-19,75.59885386819484
2023-03-26,109.85458452722062
2023-04-02,51.97421203438395
2023-04-09,46.06805157593123
2023-04-16,41.34312320916905
2023-04-23,42.5243553008596
2023-04-30,37.79942693409742
2023-05-07,36.61819484240687
2023-05-14,40.161891117478504
2023-05-21,40.161891117478504
2023-05-28,43.70558739255014
2023-06-04,50.79297994269341
2023-06-11,53.15544412607449
2023-06-18,62.60530085959885
2023-06-25,76.78008595988538
2023-07-02,75.59885386819484
2023-07-09,88.59240687679082
2023-07-16,100.40472779369627
2023-07-23,114.5795128939828
2023-07-30,92.13610315186246
2023-08-06,55.517908309455585
2023-08-13,47.249283667621775
2023-08-20,47.249283667621775
2023-08-27,44.88681948424068
2023-09-03,44.88681948424068
2023-09-10,47.249283667621775
2023-09-17,43.70558739255014
2023-09-24,43.70558739255014
2023-10-01,38.980659025787965
2023-10-08,38.980659025787965
2023-10-15,36.61819484240687
2023-10-22,29.53080229226361
2023-10-29,36.61819484240687
2023-11-05,31.893266475644698
2023-11-12,25.987106017191977
2023-11-19,33.07449856733524
2023-11-26,33.07449856733524
2023-12-03,35.43696275071633
2023-12-10,41.34312320916905
2023-12-17,38.980659025787965
2023-12-24,44.88681948424068
2023-12-31,41.34312320916905
2024-01-07,40.25186659332524
2024-01-14,37.568408820436886
2024-01-21,32.20149327466019
2024-01-28,42.935324366213585
2024-02-04,41.59359547976941
2024-02-11,38.91013770688106
2024-02-18,38.91013770688106
2024-02-25,38.91013770688106
2024-03-03,34.88495104754854
2024-03-10,41.59359547976941
2024-03-17,37.568408820436886
2024-03-24,37.568408820436886
2024-03-31,40.25186659332524
2024-04-07,38.91013770688106
2024-04-14,37.568408820436886
2024-04-21,36.22667993399271
2024-04-28,37.568408820436886
2024-05-05,34.88495104754854
2024-05-12,37.568408820436886
2024-05-19,37.568408820436886
2024-05-26,41.59359547976941
2024-06-02,41.59359547976941
2024-06-09,48.302239911990284
2024-06-16,60.377799889987855
2024-06-23,61.71952877643203
2024-06-30,71.11163098154125
2024-07-07,84.528919845983
2024-07-14,93.92102205109222
2024-07-21,134.17288864441744
2024-07-28,118.07214200708736
2024-08-04,57.6943421170995
2024-08-11,53.66915545776698
2024-08-18,46.96051102554611
2024-08-25,48.302239911990284
2024-09-01,44.27705325265776
2024-09-08,44.27705325265776
2024-09-15,41.59359547976941
2024-09-22,44.27705325265776
2024-09-29,37.568408820436886
2024-10-06,37.568408820436886
2024-10-13,37.568408820436886
2024-10-20,37.568408820436886
2024-10-27,26.83457772888349
2024-11-03,33.54322216110436
2024-11-10,36.22667993399271
2024-11-17,32.20149327466019
2024-11-24,33.54322216110436
2024-12-01,36.22667993399271
2024-12-08,37.568408820436886
2024-12-15,38.91013770688106
2024-12-22,40.25186659332524
2024-12-29,42.935324366213585
2025-01-05,40.25186659332524
2025-01-12,37.568408820436886
2025-01-19,36.22667993399271
2025-01-26,48.302239911990284
2025-02-02,44.27705325265776
2025-02-09,37.568408820436886
2025-02-16,36.22667993399271
2025-02-23,33.54322216110436
2025-03-02,38.91013770688106
2025-03-09,36.22667993399271
2025-03-16,37.568408820436886
2025-03-23,37.568408820436886
2025-03-30,38.91013770688106
2025-04-06,37.568408820436886
2025-04-13,36.22667993399271
2025-04-20,36.22667993399271
2025-04-27,37.568408820436886
2025-05-04,36.22667993399271
2025-05-11,34.88495104754854
2025-05-18,37.568408820436886
2025-05-25,44.27705325265776
2025-06-01,44.27705325265776
2025-06-08,52.32742657132281
2025-06-15,49.64396879843446
2025-06-22,50.98569768487863
2025-06-29,53.66915545776698
2025-07-06,55.010884344211156
2025-07-13,61.71952877643203
2025-07-20,59.03607100354368
2025-07-27,63.0612576628762
2025-08-03,52.32742657132281
2025-08-10,49.64396879843446
2025-08-17,55.010884344211156
2025-08-24,55.010884344211156
2025-08-31,64.40298654932037
2025-09-07,87.21237761887134
2025-09-14,107.33831091553397
2025-09-21,48.302239911990284
2025-09-28,33.54322216110436
2025-10-05,42.935324366213585
2025-10-12,38.91013770688106
2025-10-19,29.51803550177184
2025-10-26,40.25186659332524
2025-11-02,37.568408820436886
2025-11-09,34.88495104754854
2025-11-16,34.88495104754854
2025-11-23,33.54322216110436
2025-11-30,36.22667993399271
2025-12-07,37.568408820436886
2025-12-14,40.25186659332524
2025-12-21,48.302239911990284
2025-12-28,57.6943421170995
2026-01-04,38.91013770688106
