,Events & Listings
2018-06-10,69.0
2018-06-17,69.0
2018-06-24,77.0
2018-07-01,82.0
2018-07-08,67.0
2018-07-15,59.0
2018-07-22,59.0
2018-07-29,61.0
2018-08-05,59.0
2018-08-12,81.0
2018-08-19,63.0
2018-08-26,63.0
2018-09-02,70.0
2018-09-09,65.0
2018-09-16,64.0
2018-09-23,68.0
2018-09-30,70.0
2018-10-07,73.0
2018-10-14,69.0
2018-10-21,63.0
2018-10-28,63.0
2018-11-04,66.0
2018-11-11,57.0
2018-11-18,63.0
2018-11-25,80.0
2018-12-02,68.0
2018-12-09,62.0
2018-12-16,73.0
2018-12-23,81.0
2018-12-30,75.0
2019-01-06,79.0
2019-01-13,77.0
2019-01-20,66.0
2019-01-27,60.0
2019-02-03,60.0
2019-02-10,64.0
2019-02-17,66.0
2019-02-24,65.0
2019-03-03,67.0
2019-03-10,65.0
2019-03-17,64.0
2019-03-24,66.0
2019-03-31,63.0
2019-04-07,63.0
2019-04-14,68.0
2019-04-21,91.0
2019-04-28,76.0
2019-05-05,67.0
2019-05-12,61.0
2019-05-19,57.0
2019-05-26,68.0
2019-06-02,79.0
2019-06-09,71.0
2019-06-16,86.0
2019-06-23,93.0
2019-06-30,96.0
2019-07-07,94.0
2019-07-14,79.0
2019-07-21,76.0
2019-07-28,69.0
2019-08-04,71.0
2019-08-11,80.0
2019-08-18,64.0
2019-08-25,74.0
2019-09-01,64.0
2019-09-08,68.0
2019-09-15,65.0
2019-09-22,62.0
2019-09-29,87.0
2019-10-06,77.0
2019-10-13,57.0
2019-10-20,67.0
2019-10-27,66.0
2019-11-03,55.0
2019-11-10,58.0
2019-11-17,55.0
2019-11-24,52.0
2019-12-01,51.0
2019-12-08,59.0
2019-12-15,64.0
2019-12-22,73.0
2019-12-29,72.0
2020-01-05,80.6373098478783
2020-01-12,93.59687750200159
2020-01-19,73.43755004003202
2020-01-26,61.91793434747798
2020-02-02,57.59807846277021
2020-02-09,59.03803042433947
2020-02-16,50.39831865492393
2020-02-23,48.958366693354684
2020-03-01,48.958366693354684
2020-03-08,43.198558847077656
2020-03-15,31.678943154523616
2020-03-22,17.279423538831065
2020-03-29,17.279423538831065
2020-04-05,17.279423538831065
2020-04-12,17.279423538831065
2020-04-19,17.279423538831065
2020-04-26,21.599279423538828
2020-05-03,17.279423538831065
2020-05-10,18.719375500400318
2020-05-17,18.719375500400318
2020-05-24,20.159327461969575
2020-05-31,18.719375500400318
2020-06-07,18.719375500400318
2020-06-14,18.719375500400318
2020-06-21,21.599279423538828
2020-06-28,31.678943154523616
2020-07-05,25.919135308246595
2020-07-12,21.599279423538828
2020-07-19,21.599279423538828
2020-07-26,25.919135308246595
2020-08-02,23.039231385108085
2020-08-09,28.799039231385105
2020-08-16,25.919135308246595
2020-08-23,25.919135308246595
2020-08-30,24.479183346677342
2020-09-06,25.919135308246595
2020-09-13,25.919135308246595
2020-09-20,30.238991192954362
2020-09-27,28.799039231385105
2020-10-04,28.799039231385105
2020-10-11,30.238991192954362
2020-10-18,28.799039231385105
2020-10-25,28.799039231385105
2020-11-01,27.359087269815852
2020-11-08,23.039231385108085
2020-11-15,25.919135308246595
2020-11-22,27.359087269815852
2020-11-29,34.55884707766213
2020-12-06,28.799039231385105
2020-12-13,27.359087269815852
2020-12-20,33.11889511609287
2020-12-27,33.11889511609287
2021-01-03,34.55884707766213
2021-01-10,48.958366693354684
2021-01-17,34.55884707766213
2021-01-24,30.238991192954362
2021-01-31,33.11889511609287
2021-02-07,38.87870296236989
2021-02-14,35.998799039231386
2021-02-21,35.998799039231386
2021-02-28,37.438751000800636
2021-03-07,41.75860688550841
2021-03-14,43.198558847077656
2021-03-21,41.75860688550841
2021-03-28,38.87870296236989
2021-04-04,41.75860688550841
2021-04-11,33.11889511609287
2021-04-18,27.359087269815852
2021-04-25,25.919135308246595
2021-05-02,20.159327461969575
2021-05-09,18.719375500400318
2021-05-16,18.719375500400318
2021-05-23,17.279423538831065
2021-05-30,21.599279423538828
2021-06-06,23.039231385108085
2021-06-13,30.238991192954362
2021-06-20,28.799039231385105
2021-06-27,28.799039231385105
2021-07-04,27.359087269815852
2021-07-11,27.359087269815852
2021-07-18,31.678943154523616
2021-07-25,30.238991192954362
2021-08-01,34.55884707766213
2021-08-08,37.438751000800636
2021-08-15,35.998799039231386
2021-08-22,34.55884707766213
2021-08-29,35.998799039231386
2021-09-05,33.11889511609287
2021-09-12,30.238991192954362
2021-09-19,38.87870296236989
2021-09-26,38.87870296236989
2021-10-03,35.998799039231386
2021-10-10,43.198558847077656
2021-10-17,40.31865492393915
2021-10-24,48.958366693354684
2021-10-31,57.59807846277021
2021-11-07,54.718174539631704
2021-11-14,46.07846277021617
2021-11-21,46.07846277021617
2021-11-28,47.51841473178543
2021-12-05,41.75860688550841
2021-12-12,71.99759807846277
2021-12-19,73.43755004003202
2021-12-26,61.91793434747798
2022-01-02,43.198558847077656
2022-01-09,37.438751000800636
2022-01-16,34.55884707766213
2022-01-23,35.998799039231386
2022-01-30,35.998799039231386
2022-02-06,41.75860688550841
2022-02-13,50.39831865492393
2022-02-20,63.35788630904723
2022-02-27,63.35788630904723
2022-03-06,69.11769415532426
2022-03-13,90.71697357886309
2022-03-20,97.91673338670937
2022-03-27,87.83706965572458
2022-04-03,74.87750200160127
2022-04-10,138.23538831064852
2022-04-17,84.95716573258606
2022-04-24,79.19735788630904
2022-05-01,79.19735788630904
2022-05-08,74.87750200160127
2022-05-15,79.19735788630904
2022-05-22,74.87750200160127
2022-05-29,83.51721377101681
2022-06-05,80.6373098478783
2022-06-12,71.99759807846277
2022-06-19,63.35788630904723
2022-06-26,66.23779023218574
2022-07-03,69.11769415532426
2022-07-10,63.35788630904723
2022-07-17,60.477982385908724
2022-07-24,63.35788630904723
2022-07-31,63.35788630904723
2022-08-07,74.87750200160127
2022-08-14,74.87750200160127
2022-08-21,64.7978382706165
2022-08-28,79.19735788630904
2022-09-04,96.4767814251401
2022-09-11,79.19735788630904
2022-09-18,90.71697357886309
2022-09-25,90.71697357886309
2022-10-02,96.4767814251401
2022-10-09,71.99759807846277
2022-10-16,73.43755004003202
2022-10-23,95.03682946357085
2022-10-30,92.15692554043234
2022-11-06,99.35668534827862
2022-11-13,80.6373098478783
2022-11-20,103.67654123298638
2022-11-27,86.39711769415531
2022-12-04,83.51721377101681
2022-12-11,86.39711769415531
2022-12-18,102.23658927141713
2022-12-25,82.07726180944755
2023-01-01,70.55764611689351
2023-01-08,92.15692554043234
2023-01-15,97.91673338670937
2023-01-22,109.43634907926341
2023-01-29,82.07726180944755
2023-02-05,69.11769415532426
2023-02-12,71.99759807846277
2023-02-19,64.7978382706165
2023-02-26,60.477982385908724
2023-03-05,71.99759807846277
2023-03-12,69.11769415532426
2023-03-19,74.87750200160127
2023-03-26,76.31745396317054
2023-04-02,87.83706965572458
2023-04-09,77.75740592473979
2023-04-16,76.31745396317054
2023-04-23,80.6373098478783
2023-04-30,82.07726180944755
2023-05-07,97.91673338670937
2023-05-14,87.83706965572458
2023-05-21,77.75740592473979
2023-05-28,79.19735788630904
2023-06-04,80.6373098478783
2023-06-11,100.79663730984787
2023-06-18,73.43755004003202
2023-06-25,77.75740592473979
2023-07-02,79.19735788630904
2023-07-09,79.19735788630904
2023-07-16,87.83706965572458
2023-07-23,89.27702161729383
2023-07-30,82.07726180944755
2023-08-06,122.3959167333867
2023-08-13,143.99519615692554
2023-08-20,92.15692554043234
2023-08-27,110.87630104083266
2023-09-03,122.3959167333867
2023-09-10,115.19615692554042
2023-09-17,89.27702161729383
2023-09-24,96.4767814251401
2023-10-01,86.39711769415531
2023-10-08,123.83586869495596
2023-10-15,129.595676541233
2023-10-22,112.31625300240191
2023-10-29,103.67654123298638
2023-11-05,99.35668534827862
2023-11-12,126.71577261809446
2023-11-19,118.07606084867894
2023-11-26,110.87630104083266
2023-12-03,109.43634907926341
2023-12-10,87.83706965572458
2023-12-17,125.27582065652521
2023-12-24,106.5564451561249
2023-12-31,76.31745396317054
2024-01-07,76.31745396317051
2024-01-14,86.3971176941553
2024-01-21,66.23779023218573
2024-01-28,57.5980784627702
2024-02-04,60.4779823859087
2024-02-11,71.99759807846274
2024-02-18,73.437550040032
2024-02-25,66.23779023218573
2024-03-03,71.99759807846274
2024-03-10,66.23779023218573
2024-03-17,71.99759807846274
2024-03-24,89.2770216172938
2024-03-31,80.63730984787827
2024-04-07,84.95716573258603
2024-04-14,73.437550040032
2024-04-21,70.5576461168935
2024-04-28,74.87750200160126
2024-05-05,67.67774219375498
2024-05-12,71.99759807846274
2024-05-19,71.99759807846274
2024-05-26,70.5576461168935
2024-06-02,66.23779023218573
2024-06-09,77.75740592473976
2024-06-16,77.75740592473976
2024-06-23,118.07606084867889
2024-06-30,82.07726180944752
2024-07-07,71.99759807846274
2024-07-14,66.23779023218573
2024-07-21,76.31745396317051
2024-07-28,69.11769415532423
2024-08-04,64.79783827061647
2024-08-11,100.79663730984784
2024-08-18,84.95716573258603
2024-08-25,80.63730984787827
2024-09-01,83.51721377101678
2024-09-08,66.23779023218573
2024-09-15,83.51721377101678
2024-09-22,90.71697357886306
2024-09-29,69.11769415532423
2024-10-06,70.5576461168935
2024-10-13,66.23779023218573
2024-10-20,57.5980784627702
2024-10-27,79.19735788630902
2024-11-03,73.437550040032
2024-11-10,76.31745396317051
2024-11-17,60.4779823859087
2024-11-24,57.5980784627702
2024-12-01,96.47678142514008
2024-12-08,79.19735788630902
2024-12-15,69.11769415532423
2024-12-22,76.31745396317051
2024-12-29,66.23779023218573
2025-01-05,63.35788630904722
2025-01-12,61.91793434747796
2025-01-19,60.4779823859087
2025-01-26,59.038030424339446
2025-02-02,66.23779023218573
2025-02-09,71.99759807846274
2025-02-16,73.437550040032
2025-02-23,70.5576461168935
2025-03-02,66.23779023218573
2025-03-09,63.35788630904722
2025-03-16,51.838270616493176
2025-03-23,59.038030424339446
2025-03-30,60.4779823859087
2025-04-06,59.038030424339446
2025-04-13,63.35788630904722
2025-04-20,51.838270616493176
2025-04-27,66.23779023218573
2025-05-04,54.71817453963168
2025-05-11,53.27822257806243
2025-05-18,56.15812650120094
2025-05-25,56.15812650120094
2025-06-01,61.91793434747796
2025-06-08,51.838270616493176
2025-06-15,54.71817453963168
2025-06-22,64.79783827061647
2025-06-29,59.038030424339446
2025-07-06,59.038030424339446
2025-07-13,64.79783827061647
2025-07-20,90.71697357886306
2025-07-27,76.31745396317051
2025-08-03,69.11769415532423
2025-08-10,83.51721377101678
2025-08-17,56.15812650120094
2025-08-24,48.95836669335466
2025-08-31,64.79783827061647
2025-09-07,66.23779023218573
2025-09-14,63.35788630904722
2025-09-21,67.67774219375498
2025-09-28,74.87750200160126
2025-10-05,59.038030424339446
2025-10-12,53.27822257806243
2025-10-19,60.4779823859087
2025-10-26,61.91793434747796
2025-11-02,60.4779823859087
2025-11-09,51.838270616493176
2025-11-16,50.39831865492392
2025-11-23,50.39831865492392
2025-11-30,63.35788630904722
2025-12-07,71.99759807846274
2025-12-14,79.19735788630902
2025-12-21,76.31745396317051
2025-12-28,67.67774219375498
2026-01-04,69.11769415532423
