,Enterprise Technology
2017-08-13,68.0
2017-08-20,72.0
2017-08-27,71.0
2017-09-03,73.0
2017-09-10,76.0
2017-09-17,77.0
2017-09-24,68.0
2017-10-01,71.0
2017-10-08,79.0
2017-10-15,58.0
2017-10-22,72.0
2017-10-29,75.0
2017-11-05,77.0
2017-11-12,76.0
2017-11-19,73.0
2017-11-26,71.0
2017-12-03,74.0
2017-12-10,72.0
2017-12-17,73.0
2017-12-24,67.0
2017-12-31,67.0
2018-01-07,71.0
2018-01-14,70.0
2018-01-21,65.0
2018-01-28,79.0
2018-02-04,73.0
2018-02-11,73.0
2018-02-18,73.0
2018-02-25,65.0
2018-03-04,71.0
2018-03-11,77.0
2018-03-18,78.0
2018-03-25,77.0
2018-04-01,80.0
2018-04-08,76.0
2018-04-15,77.0
2018-04-22,77.0
2018-04-29,70.0
2018-05-06,77.0
2018-05-13,80.0
2018-05-20,81.0
2018-05-27,77.0
2018-06-03,78.0
2018-06-10,77.0
2018-06-17,78.0
2018-06-24,80.0
2018-07-01,83.0
2018-07-08,84.0
2018-07-15,85.0
2018-07-22,84.0
2018-07-29,87.0
2018-08-05,94.0
2018-08-12,83.0
2018-08-19,85.0
2018-08-26,91.0
2018-09-02,91.0
2018-09-09,88.0
2018-09-16,85.0
2018-09-23,87.0
2018-09-30,86.0
2018-10-07,94.0
2018-10-14,79.0
2018-10-21,95.0
2018-10-28,93.0
2018-11-04,61.0
2018-11-11,89.0
2018-11-18,87.0
2018-11-25,89.0
2018-12-02,90.0
2018-12-09,91.0
2018-12-16,86.0
2018-12-23,83.0
2018-12-30,88.0
2019-01-06,86.0
2019-01-13,79.0
2019-01-20,83.0
2019-01-27,88.0
2019-02-03,85.0
2019-02-10,89.0
2019-02-17,85.0
2019-02-24,90.0
2019-03-03,85.0
2019-03-10,89.0
2019-03-17,81.0
2019-03-24,91.0
2019-03-31,89.0
2019-04-07,85.0
2019-04-14,81.0
2019-04-21,82.0
2019-04-28,80.0
2019-05-05,88.0
2019-05-12,90.0
2019-05-19,85.0
2019-05-26,88.0
2019-06-02,84.0
2019-06-09,85.0
2019-06-16,82.0
2019-06-23,92.0
2019-06-30,89.0
2019-07-07,88.0
2019-07-14,91.0
2019-07-21,87.0
2019-07-28,91.0
2019-08-04,87.0
2019-08-11,80.0
2019-08-18,96.0
2019-08-25,95.0
2019-09-01,85.0
2019-09-08,92.0
2019-09-15,100.0
2019-09-22,94.0
2019-09-29,92.0
2019-10-06,83.0
2019-10-13,98.0
2019-10-20,83.0
2019-10-27,71.0
2019-11-03,89.0
2019-11-10,87.0
2019-11-17,93.0
2019-11-24,96.0
2019-12-01,91.0
2019-12-08,89.0
2019-12-15,92.0
2019-12-22,86.0
2019-12-29,88.0
2020-01-05,93.82477426636568
2020-01-12,79.68679458239276
2020-01-19,92.5395033860045
2020-01-26,83.54260722347628
2020-02-02,89.96896162528216
2020-02-09,88.68369074492098
2020-02-16,89.96896162528216
2020-02-23,88.68369074492098
2020-03-01,88.68369074492098
2020-03-08,75.83098194130925
2020-03-15,78.4015237020316
2020-03-22,53.98137697516929
2020-03-29,61.69300225733633
2020-04-05,61.69300225733633
2020-04-12,65.54881489841986
2020-04-19,69.40462753950338
2020-04-26,69.40462753950338
2020-05-03,71.97516930022573
2020-05-10,75.83098194130925
2020-05-17,77.11625282167041
2020-05-24,73.2604401805869
2020-05-31,78.4015237020316
2020-06-07,77.11625282167041
2020-06-14,79.68679458239276
2020-06-21,80.97206546275395
2020-06-28,86.11314898419863
2020-07-05,87.39841986455981
2020-07-12,86.11314898419863
2020-07-19,89.96896162528216
2020-07-26,84.82787810383746
2020-08-02,84.82787810383746
2020-08-09,79.68679458239276
2020-08-16,89.96896162528216
2020-08-23,87.39841986455981
2020-08-30,88.68369074492098
2020-09-06,92.5395033860045
2020-09-13,87.39841986455981
2020-09-20,88.68369074492098
2020-09-27,82.25733634311511
2020-10-04,87.39841986455981
2020-10-11,87.39841986455981
2020-10-18,83.54260722347628
2020-10-25,80.97206546275395
2020-11-01,82.25733634311511
2020-11-08,75.83098194130925
2020-11-15,73.2604401805869
2020-11-22,80.97206546275395
2020-11-29,86.11314898419863
2020-12-06,87.39841986455981
2020-12-13,92.5395033860045
2020-12-20,88.68369074492098
2020-12-27,84.82787810383746
2021-01-03,87.39841986455981
2021-01-10,80.97206546275395
2021-01-17,89.96896162528216
2021-01-24,80.97206546275395
2021-01-31,86.11314898419863
2021-02-07,89.96896162528216
2021-02-14,88.68369074492098
2021-02-21,88.68369074492098
2021-02-28,102.8216704288939
2021-03-07,89.96896162528216
2021-03-14,95.11004514672685
2021-03-21,92.5395033860045
2021-03-28,83.54260722347628
2021-04-04,86.11314898419863
2021-04-11,75.83098194130925
2021-04-18,78.4015237020316
2021-04-25,73.2604401805869
2021-05-02,79.68679458239276
2021-05-09,75.83098194130925
2021-05-16,71.97516930022573
2021-05-23,78.4015237020316
2021-05-30,80.97206546275395
2021-06-06,82.25733634311511
2021-06-13,92.5395033860045
2021-06-20,89.96896162528216
2021-06-27,93.82477426636568
2021-07-04,95.11004514672685
2021-07-11,100.25112866817155
2021-07-18,96.39531602708803
2021-07-25,92.5395033860045
2021-08-01,91.25423250564333
2021-08-08,93.82477426636568
2021-08-15,88.68369074492098
2021-08-22,86.11314898419863
2021-08-29,88.68369074492098
2021-09-05,83.54260722347628
2021-09-12,88.68369074492098
2021-09-19,84.82787810383746
2021-09-26,89.96896162528216
2021-10-03,89.96896162528216
2021-10-10,74.54571106094807
2021-10-17,83.54260722347628
2021-10-24,82.25733634311511
2021-10-31,60.407731376975164
2021-11-07,80.97206546275395
2021-11-14,82.25733634311511
2021-11-21,84.82787810383746
2021-11-28,88.68369074492098
2021-12-05,91.25423250564333
2021-12-12,93.82477426636568
2021-12-19,93.82477426636568
2021-12-26,87.39841986455981
2022-01-02,100.25112866817155
2022-01-09,93.82477426636568
2022-01-16,87.39841986455981
2022-01-23,91.25423250564333
2022-01-30,106.67748306997741
2022-02-06,102.8216704288939
2022-02-13,109.24802483069976
2022-02-20,106.67748306997741
2022-02-27,113.10383747178328
2022-03-06,111.81856659142211
2022-03-13,98.96585778781036
2022-03-20,109.24802483069976
2022-03-27,107.96275395033858
2022-04-03,107.96275395033858
2022-04-10,100.25112866817155
2022-04-17,106.67748306997741
2022-04-24,105.39221218961625
2022-05-01,98.96585778781036
2022-05-08,109.24802483069976
2022-05-15,109.24802483069976
2022-05-22,106.67748306997741
2022-05-29,106.67748306997741
2022-06-05,107.96275395033858
2022-06-12,114.38910835214446
2022-06-19,114.38910835214446
2022-06-26,113.10383747178328
2022-07-03,106.67748306997741
2022-07-10,114.38910835214446
2022-07-17,116.9596501128668
2022-07-24,111.81856659142211
2022-07-31,118.24492099322798
2022-08-07,101.53639954853271
2022-08-14,97.6805869074492
2022-08-21,107.96275395033858
2022-08-28,98.96585778781036
2022-09-04,101.53639954853271
2022-09-11,111.81856659142211
2022-09-18,116.9596501128668
2022-09-25,113.10383747178328
2022-10-02,93.82477426636568
2022-10-09,115.67437923250563
2022-10-16,106.67748306997741
2022-10-23,79.68679458239276
2022-10-30,105.39221218961625
2022-11-06,105.39221218961625
2022-11-13,114.38910835214446
2022-11-20,105.39221218961625
2022-11-27,105.39221218961625
2022-12-04,114.38910835214446
2022-12-11,109.24802483069976
2022-12-18,116.9596501128668
2022-12-25,110.53329571106093
2023-01-01,113.10383747178328
2023-01-08,110.53329571106093
2023-01-15,105.39221218961625
2023-01-22,101.53639954853271
2023-01-29,116.9596501128668
2023-02-05,113.10383747178328
2023-02-12,113.10383747178328
2023-02-19,113.10383747178328
2023-02-26,111.81856659142211
2023-03-05,100.25112866817155
2023-03-12,111.81856659142211
2023-03-19,110.53329571106093
2023-03-26,111.81856659142211
2023-04-02,109.24802483069976
2023-04-09,106.67748306997741
2023-04-16,107.96275395033858
2023-04-23,110.53329571106093
2023-04-30,101.53639954853271
2023-05-07,104.10694130925506
2023-05-14,113.10383747178328
2023-05-21,105.39221218961625
2023-05-28,111.81856659142211
2023-06-04,111.81856659142211
2023-06-11,114.38910835214446
2023-06-18,109.24802483069976
2023-06-25,113.10383747178328
2023-07-02,115.67437923250563
2023-07-09,123.38600451467266
2023-07-16,123.38600451467266
2023-07-23,124.67127539503385
2023-07-30,128.52708803611736
2023-08-06,123.38600451467266
2023-08-13,114.38910835214446
2023-08-20,115.67437923250563
2023-08-27,107.96275395033858
2023-09-03,114.38910835214446
2023-09-10,116.9596501128668
2023-09-17,111.81856659142211
2023-09-24,118.24492099322798
2023-10-01,114.38910835214446
2023-10-08,118.24492099322798
2023-10-15,114.38910835214446
2023-10-22,98.96585778781036
2023-10-29,114.38910835214446
2023-11-05,114.38910835214446
2023-11-12,86.11314898419863
2023-11-19,110.53329571106093
2023-11-26,111.81856659142211
2023-12-03,111.81856659142211
2023-12-10,118.24492099322798
2023-12-17,123.38600451467266
2023-12-24,115.67437923250563
2023-12-31,110.53329571106093
2024-01-07,116.95965011286687
2024-01-14,104.10694130925512
2024-01-21,100.2511286681716
2024-01-28,118.24492099322804
2024-02-04,115.67437923250569
2024-02-11,115.67437923250569
2024-02-18,113.10383747178334
2024-02-25,116.95965011286687
2024-03-03,111.81856659142217
2024-03-10,115.67437923250569
2024-03-17,122.10073363431157
2024-03-24,104.10694130925512
2024-03-31,119.53019187358922
2024-04-07,102.82167042889395
2024-04-14,105.39221218961629
2024-04-21,101.53639954853277
2024-04-28,105.39221218961629
2024-05-05,111.81856659142217
2024-05-12,105.39221218961629
2024-05-19,106.67748306997747
2024-05-26,109.24802483069982
2024-06-02,97.68058690744925
2024-06-09,111.81856659142217
2024-06-16,110.53329571106099
2024-06-23,106.67748306997747
2024-06-30,116.95965011286687
2024-07-07,110.53329571106099
2024-07-14,118.24492099322804
2024-07-21,120.81546275395038
2024-07-28,115.67437923250569
2024-08-04,113.10383747178334
2024-08-11,111.81856659142217
2024-08-18,115.67437923250569
2024-08-25,115.67437923250569
2024-09-01,113.10383747178334
2024-09-08,114.38910835214452
2024-09-15,110.53329571106099
2024-09-22,118.24492099322804
2024-09-29,106.67748306997747
2024-10-06,101.53639954853277
2024-10-13,109.24802483069982
2024-10-20,113.10383747178334
2024-10-27,79.6867945823928
2024-11-03,98.96585778781042
2024-11-10,110.53329571106099
2024-11-17,107.96275395033864
2024-11-24,105.39221218961629
2024-12-01,106.67748306997747
2024-12-08,106.67748306997747
2024-12-15,109.24802483069982
2024-12-22,106.67748306997747
2024-12-29,109.24802483069982
2025-01-05,107.96275395033864
2025-01-12,89.9689616252822
2025-01-19,102.82167042889395
2025-01-26,104.10694130925512
2025-02-02,111.81856659142217
2025-02-09,104.10694130925512
2025-02-16,101.53639954853277
2025-02-23,100.2511286681716
2025-03-02,106.67748306997747
2025-03-09,92.53950338600455
2025-03-16,105.39221218961629
2025-03-23,95.1100451467269
2025-03-30,98.96585778781042
2025-04-06,100.2511286681716
2025-04-13,97.68058690744925
2025-04-20,93.82477426636572
2025-04-27,96.39531602708807
2025-05-04,97.68058690744925
2025-05-11,101.53639954853277
2025-05-18,98.96585778781042
2025-05-25,96.39531602708807
2025-06-01,95.1100451467269
2025-06-08,98.96585778781042
2025-06-15,105.39221218961629
2025-06-22,104.10694130925512
2025-06-29,105.39221218961629
2025-07-06,100.2511286681716
2025-07-13,102.82167042889395
2025-07-20,101.53639954853277
2025-07-27,101.53639954853277
2025-08-03,98.96585778781042
2025-08-10,93.82477426636572
2025-08-17,104.10694130925512
2025-08-24,97.68058690744925
2025-08-31,95.1100451467269
2025-09-07,104.10694130925512
2025-09-14,100.2511286681716
2025-09-21,97.68058690744925
2025-09-28,79.6867945823928
2025-10-05,100.2511286681716
2025-10-12,97.68058690744925
2025-10-19,68.11935665914224
2025-10-26,92.53950338600455
2025-11-02,89.9689616252822
2025-11-09,95.1100451467269
2025-11-16,91.25423250564337
2025-11-23,84.8278781038375
2025-11-30,91.25423250564337
2025-12-07,101.53639954853277
2025-12-14,110.53329571106099
2025-12-21,92.53950338600455
2025-12-28,86.11314898419867
2026-01-04,89.9689616252822
