,Computer Hardware
2022-12-25,133.25820676139148
2023-01-01,144.36305732484075
2023-01-08,148.80499755022046
2023-01-15,144.36305732484075
2023-01-22,142.1420872121509
2023-01-29,146.5840274375306
2023-02-05,159.90984811366977
2023-02-12,153.24693777560017
2023-02-19,151.02596766291032
2023-02-26,155.46790788829006
2023-03-05,157.6888780009799
2023-03-12,168.7937285644292
2023-03-19,162.13081822635962
2023-03-26,164.35178833904948
2023-04-02,168.7937285644292
2023-04-09,162.13081822635962
2023-04-16,177.67760901518864
2023-04-23,191.00342969132777
2023-04-30,175.45663890249875
2023-05-07,188.7824595786379
2023-05-14,197.66634002939733
2023-05-21,206.55022048015678
2023-05-28,173.2356687898089
2023-06-04,206.55022048015678
2023-06-11,222.09701126898577
2023-06-18,179.8985791278785
2023-06-25,177.67760901518864
2023-07-02,182.11954924056835
2023-07-09,171.01469867711904
2023-07-16,186.56148946594806
2023-07-23,188.7824595786379
2023-07-30,188.7824595786379
2023-08-06,193.22439980401762
2023-08-13,179.8985791278785
2023-08-20,177.67760901518864
2023-08-27,168.7937285644292
2023-09-03,168.7937285644292
2023-09-10,159.90984811366977
2023-09-17,173.2356687898089
2023-09-24,179.8985791278785
2023-10-01,171.01469867711904
2023-10-08,168.7937285644292
2023-10-15,159.90984811366977
2023-10-22,146.5840274375306
2023-10-29,162.13081822635962
2023-11-05,155.46790788829006
2023-11-12,135.47917687408133
2023-11-19,155.46790788829006
2023-11-26,157.6888780009799
2023-12-03,157.6888780009799
2023-12-10,148.80499755022046
2023-12-17,157.6888780009799
2023-12-24,162.13081822635962
2023-12-31,146.5840274375306
2024-01-07,137.7001469867712
2024-01-14,139.92111709946104
2024-01-21,131.03723664870162
2024-01-28,119.93238608525232
2024-02-04,126.5952964233219
2024-02-11,115.49044585987261
2024-02-18,113.26947574718275
2024-02-25,113.26947574718275
2024-03-03,111.04850563449288
2024-03-10,113.26947574718275
2024-03-17,113.26947574718275
2024-03-24,108.82753552180303
2024-03-31,108.82753552180303
2024-04-07,111.04850563449288
2024-04-14,104.38559529642332
2024-04-21,104.38559529642332
2024-04-28,113.26947574718275
2024-05-05,111.04850563449288
2024-05-12,106.60656540911317
2024-05-19,115.49044585987261
2024-05-26,139.92111709946104
2024-06-02,113.26947574718275
2024-06-09,115.49044585987261
2024-06-16,113.26947574718275
2024-06-23,111.04850563449288
2024-06-30,117.71141597256246
2024-07-07,108.82753552180303
2024-07-14,119.93238608525232
2024-07-21,124.37432631063203
2024-07-28,117.71141597256246
2024-08-04,119.93238608525232
2024-08-11,119.93238608525232
2024-08-18,113.26947574718275
2024-08-25,117.71141597256246
2024-09-01,113.26947574718275
2024-09-08,111.04850563449288
2024-09-15,115.49044585987261
2024-09-22,126.5952964233219
2024-09-29,111.04850563449288
2024-10-06,108.82753552180303
2024-10-13,117.71141597256246
2024-10-20,111.04850563449288
2024-10-27,99.9436550710436
2024-11-03,99.9436550710436
2024-11-10,104.38559529642332
2024-11-17,97.72268495835374
2024-11-24,99.9436550710436
2024-12-01,97.72268495835374
2024-12-08,104.38559529642332
2024-12-15,102.16462518373346
2024-12-22,115.49044585987261
2024-12-29,111.04850563449288
2025-01-05,113.26947574718275
2025-01-12,104.38559529642332
2025-01-19,104.38559529642332
2025-01-26,102.16462518373346
2025-02-02,106.60656540911317
2025-02-09,99.9436550710436
2025-02-16,104.38559529642332
2025-02-23,99.9436550710436
2025-03-02,97.72268495835374
2025-03-09,93.28074473297403
2025-03-16,104.38559529642332
2025-03-23,99.9436550710436
2025-03-30,104.38559529642332
2025-04-06,99.9436550710436
2025-04-13,97.72268495835374
2025-04-20,99.9436550710436
2025-04-27,108.82753552180303
2025-05-04,97.72268495835374
2025-05-11,102.16462518373346
2025-05-18,104.38559529642332
2025-05-25,106.60656540911317
2025-06-01,102.16462518373346
2025-06-08,106.60656540911317
2025-06-15,124.37432631063203
2025-06-22,111.04850563449288
2025-06-29,119.93238608525232
2025-07-06,126.5952964233219
2025-07-13,135.47917687408133
2025-07-20,126.5952964233219
2025-07-27,122.15335619794217
2025-08-03,113.26947574718275
2025-08-10,111.04850563449288
2025-08-17,122.15335619794217
2025-08-24,108.82753552180303
2025-08-31,111.04850563449288
2025-09-07,126.5952964233219
2025-09-14,111.04850563449288
2025-09-21,119.93238608525232
2025-09-28,104.38559529642332
2025-10-05,104.38559529642332
2025-10-12,108.82753552180303
2025-10-19,99.9436550710436
2025-10-26,104.38559529642332
2025-11-02,104.38559529642332
2025-11-09,106.60656540911317
2025-11-16,108.82753552180303
2025-11-23,115.49044585987261
2025-11-30,108.82753552180303
2025-12-07,108.82753552180303
2025-12-14,104.38559529642332
2025-12-21,108.82753552180303
2025-12-28,108.82753552180303
2026-01-04,106.60656540911317
