,Agrochemicals
2021-12-26,96.51912568306011
2022-01-02,110.71311475409836
2022-01-09,93.68032786885246
2022-01-16,95.09972677595628
2022-01-23,103.61612021857923
2022-01-30,105.03551912568305
2022-02-06,97.93852459016394
2022-02-13,110.71311475409836
2022-02-20,110.71311475409836
2022-02-27,110.71311475409836
2022-03-06,112.13251366120218
2022-03-13,109.29371584699453
2022-03-20,116.39071038251366
2022-03-27,112.13251366120218
2022-04-03,114.97131147540983
2022-04-10,97.93852459016394
2022-04-17,105.03551912568305
2022-04-24,107.8743169398907
2022-05-01,102.19672131147541
2022-05-08,106.45491803278688
2022-05-15,127.74590163934425
2022-05-22,116.39071038251366
2022-05-29,116.39071038251366
2022-06-05,106.45491803278688
2022-06-12,109.29371584699453
2022-06-19,114.97131147540983
2022-06-26,110.71311475409836
2022-07-03,117.81010928961749
2022-07-10,124.9071038251366
2022-07-17,126.32650273224043
2022-07-24,127.74590163934425
2022-07-31,133.42349726775956
2022-08-07,119.22950819672131
2022-08-14,114.97131147540983
2022-08-21,124.9071038251366
2022-08-28,119.22950819672131
2022-09-04,119.22950819672131
2022-09-11,117.81010928961749
2022-09-18,122.06830601092896
2022-09-25,110.71311475409836
2022-10-02,99.35792349726776
2022-10-09,114.97131147540983
2022-10-16,119.22950819672131
2022-10-23,90.8415300546448
2022-10-30,114.97131147540983
2022-11-06,110.71311475409836
2022-11-13,112.13251366120218
2022-11-20,110.71311475409836
2022-11-27,113.55191256830601
2022-12-04,113.55191256830601
2022-12-11,119.22950819672131
2022-12-18,116.39071038251366
2022-12-25,117.81010928961749
2023-01-01,110.71311475409836
2023-01-08,106.45491803278688
2023-01-15,105.03551912568305
2023-01-22,99.35792349726776
2023-01-29,113.55191256830601
2023-02-05,105.03551912568305
2023-02-12,107.8743169398907
2023-02-19,109.29371584699453
2023-02-26,116.39071038251366
2023-03-05,93.68032786885246
2023-03-12,105.03551912568305
2023-03-19,106.45491803278688
2023-03-26,97.93852459016394
2023-04-02,95.09972677595628
2023-04-09,96.51912568306011
2023-04-16,99.35792349726776
2023-04-23,105.03551912568305
2023-04-30,100.77732240437159
2023-05-07,99.35792349726776
2023-05-14,100.77732240437159
2023-05-21,109.29371584699453
2023-05-28,112.13251366120218
2023-06-04,109.29371584699453
2023-06-11,110.71311475409836
2023-06-18,124.9071038251366
2023-06-25,113.55191256830601
2023-07-02,124.9071038251366
2023-07-09,124.9071038251366
2023-07-16,127.74590163934425
2023-07-23,130.5846994535519
2023-07-30,137.68169398907102
2023-08-06,141.9398907103825
2023-08-13,129.1653005464481
2023-08-20,130.5846994535519
2023-08-27,124.9071038251366
2023-09-03,132.00409836065575
2023-09-10,130.5846994535519
2023-09-17,116.39071038251366
2023-09-24,126.32650273224043
2023-10-01,122.06830601092896
2023-10-08,120.64890710382514
2023-10-15,114.97131147540983
2023-10-22,102.19672131147541
2023-10-29,116.39071038251366
2023-11-05,107.8743169398907
2023-11-12,97.93852459016394
2023-11-19,114.97131147540983
2023-11-26,114.97131147540983
2023-12-03,113.55191256830601
2023-12-10,124.9071038251366
2023-12-17,123.48770491803279
2023-12-24,134.8428961748634
2023-12-31,126.32650273224043
2024-01-07,117.81010928961747
2024-01-14,127.74590163934424
2024-01-21,119.22950819672128
2024-01-28,132.00409836065572
2024-02-04,127.74590163934424
2024-02-11,114.97131147540982
2024-02-18,114.97131147540982
2024-02-25,114.97131147540982
2024-03-03,97.93852459016392
2024-03-10,109.29371584699452
2024-03-17,107.87431693989069
2024-03-24,92.26092896174862
2024-03-31,99.35792349726775
2024-04-07,95.09972677595627
2024-04-14,95.09972677595627
2024-04-21,96.5191256830601
2024-04-28,97.93852459016392
2024-05-05,99.35792349726775
2024-05-12,100.77732240437156
2024-05-19,109.29371584699452
2024-05-26,106.45491803278686
2024-06-02,107.87431693989069
2024-06-09,119.22950819672128
2024-06-16,124.90710382513659
2024-06-23,120.64890710382511
2024-06-30,122.06830601092894
2024-07-07,134.84289617486337
2024-07-14,129.16530054644807
2024-07-21,139.10109289617483
2024-07-28,132.00409836065572
2024-08-04,127.74590163934424
2024-08-11,126.32650273224041
2024-08-18,120.64890710382511
2024-08-25,127.74590163934424
2024-09-01,117.81010928961747
2024-09-08,117.81010928961747
2024-09-15,112.13251366120217
2024-09-22,114.97131147540982
2024-09-29,106.45491803278686
2024-10-06,103.61612021857921
2024-10-13,109.29371584699452
2024-10-20,117.81010928961747
2024-10-27,93.68032786885244
2024-11-03,103.61612021857921
2024-11-10,105.03551912568304
2024-11-17,109.29371584699452
2024-11-24,112.13251366120217
2024-12-01,110.71311475409834
2024-12-08,110.71311475409834
2024-12-15,106.45491803278686
2024-12-22,117.81010928961747
2024-12-29,110.71311475409834
2025-01-05,103.61612021857921
2025-01-12,96.5191256830601
2025-01-19,105.03551912568304
2025-01-26,112.13251366120217
2025-02-02,100.77732240437156
2025-02-09,100.77732240437156
2025-02-16,96.5191256830601
2025-02-23,90.84153005464479
2025-03-02,99.35792349726775
2025-03-09,88.00273224043714
2025-03-16,102.19672131147539
2025-03-23,95.09972677595627
2025-03-30,92.26092896174862
2025-04-06,93.68032786885244
2025-04-13,96.5191256830601
2025-04-20,97.93852459016392
2025-04-27,86.58333333333331
2025-05-04,86.58333333333331
2025-05-11,96.5191256830601
2025-05-18,102.19672131147539
2025-05-25,105.03551912568304
2025-06-01,102.19672131147539
2025-06-08,105.03551912568304
2025-06-15,109.29371584699452
2025-06-22,116.39071038251365
2025-06-29,122.06830601092894
2025-07-06,113.551912568306
2025-07-13,117.81010928961747
2025-07-20,119.22950819672128
2025-07-27,123.48770491803276
2025-08-03,119.22950819672128
2025-08-10,106.45491803278686
2025-08-17,119.22950819672128
2025-08-24,107.87431693989069
2025-08-31,112.13251366120217
2025-09-07,110.71311475409834
2025-09-14,114.97131147540982
2025-09-21,102.19672131147539
2025-09-28,89.42213114754097
2025-10-05,107.87431693989069
2025-10-12,100.77732240437156
2025-10-19,78.06693989071037
2025-10-26,99.35792349726775
2025-11-02,99.35792349726775
2025-11-09,100.77732240437156
2025-11-16,99.35792349726775
2025-11-23,96.5191256830601
2025-11-30,97.93852459016392
2025-12-07,99.35792349726775
2025-12-14,102.19672131147539
2025-12-21,103.61612021857921
2025-12-28,103.61612021857921
2026-01-04,107.87431693989069
