,Customer Relationship Management (CRM)
2019-08-11,65.0
2019-08-18,88.0
2019-08-25,91.0
2019-09-01,82.0
2019-09-08,86.0
2019-09-15,96.0
2019-09-22,94.0
2019-09-29,78.0
2019-10-06,69.0
2019-10-13,94.0
2019-10-20,79.0
2019-10-27,68.0
2019-11-03,86.0
2019-11-10,88.0
2019-11-17,100.0
2019-11-24,92.0
2019-12-01,87.0
2019-12-08,87.0
2019-12-15,91.0
2019-12-22,81.0
2019-12-29,76.0
2020-01-05,91.24444444444444
2020-01-12,77.62587064676617
2020-01-19,91.24444444444444
2020-01-26,89.88258706467661
2020-02-02,89.88258706467661
2020-02-09,92.60630182421227
2020-02-16,92.60630182421227
2020-02-23,93.9681592039801
2020-03-01,92.60630182421227
2020-03-08,72.17844112769485
2020-03-15,80.34958540630183
2020-03-22,53.11243781094527
2020-03-29,62.64543946932007
2020-04-05,61.28358208955224
2020-04-12,64.0072968490879
2020-04-19,69.4547263681592
2020-04-26,59.921724709784414
2020-05-03,66.73101160862355
2020-05-10,69.4547263681592
2020-05-17,66.73101160862355
2020-05-24,62.64543946932007
2020-05-31,72.17844112769485
2020-06-07,72.17844112769485
2020-06-14,72.17844112769485
2020-06-21,78.987728026534
2020-06-28,77.62587064676617
2020-07-05,80.34958540630183
2020-07-12,81.71144278606965
2020-07-19,81.71144278606965
2020-07-26,81.71144278606965
2020-08-02,74.9021558872305
2020-08-09,76.26401326699835
2020-08-16,80.34958540630183
2020-08-23,80.34958540630183
2020-08-30,84.4351575456053
2020-09-06,84.4351575456053
2020-09-13,84.4351575456053
2020-09-20,84.4351575456053
2020-09-27,72.17844112769485
2020-10-04,77.62587064676617
2020-10-11,74.9021558872305
2020-10-18,73.54029850746268
2020-10-25,65.36915422885572
2020-11-01,62.64543946932007
2020-11-08,54.4742951907131
2020-11-15,55.83615257048093
2020-11-22,62.64543946932007
2020-11-29,66.73101160862355
2020-12-06,64.0072968490879
2020-12-13,70.81658374792703
2020-12-20,55.83615257048093
2020-12-27,54.4742951907131
2021-01-03,68.09286898839137
2021-01-10,64.0072968490879
2021-01-17,74.9021558872305
2021-01-24,65.36915422885572
2021-01-31,76.26401326699835
2021-02-07,76.26401326699835
2021-02-14,73.54029850746268
2021-02-21,76.26401326699835
2021-02-28,76.26401326699835
2021-03-07,69.4547263681592
2021-03-14,76.26401326699835
2021-03-21,83.07330016583748
2021-03-28,66.73101160862355
2021-04-04,77.62587064676617
2021-04-11,66.73101160862355
2021-04-18,72.17844112769485
2021-04-25,66.73101160862355
2021-05-02,64.0072968490879
2021-05-09,72.17844112769485
2021-05-16,72.17844112769485
2021-05-23,78.987728026534
2021-05-30,78.987728026534
2021-06-06,81.71144278606965
2021-06-13,81.71144278606965
2021-06-20,85.79701492537313
2021-06-27,85.79701492537313
2021-07-04,83.07330016583748
2021-07-11,87.15887230514096
2021-07-18,87.15887230514096
2021-07-25,92.60630182421227
2021-08-01,87.15887230514096
2021-08-08,87.15887230514096
2021-08-15,81.71144278606965
2021-08-22,83.07330016583748
2021-08-29,83.07330016583748
2021-09-05,80.34958540630183
2021-09-12,87.15887230514096
2021-09-19,88.52072968490879
2021-09-26,84.4351575456053
2021-10-03,85.79701492537313
2021-10-10,70.81658374792703
2021-10-17,85.79701492537313
2021-10-24,85.79701492537313
2021-10-31,55.83615257048093
2021-11-07,104.86301824212272
2021-11-14,98.05373134328357
2021-11-21,93.9681592039801
2021-11-28,89.88258706467661
2021-12-05,93.9681592039801
2021-12-12,93.9681592039801
2021-12-19,96.69187396351575
2021-12-26,84.4351575456053
2022-01-02,104.86301824212272
2022-01-09,103.5011608623549
2022-01-16,111.67230514096185
2022-01-23,99.41558872305141
2022-01-30,115.75787728026533
2022-02-06,103.5011608623549
2022-02-13,113.03416252072968
2022-02-20,106.22487562189055
2022-02-27,107.58673300165837
2022-03-06,110.31044776119403
2022-03-13,100.77744610281924
2022-03-20,107.58673300165837
2022-03-27,107.58673300165837
2022-04-03,113.03416252072968
2022-04-10,102.13930348258707
2022-04-17,114.3960199004975
2022-04-24,118.48159203980099
2022-05-01,103.5011608623549
2022-05-08,115.75787728026533
2022-05-15,118.48159203980099
2022-05-22,118.48159203980099
2022-05-29,115.75787728026533
2022-06-05,115.75787728026533
2022-06-12,123.92902155887231
2022-06-19,125.29087893864013
2022-06-26,130.73830845771144
2022-07-03,125.29087893864013
2022-07-10,130.73830845771144
2022-07-17,129.3764510779436
2022-07-24,125.29087893864013
2022-07-31,121.20530679933665
2022-08-07,110.31044776119403
2022-08-14,107.58673300165837
2022-08-21,130.73830845771144
2022-08-28,110.31044776119403
2022-09-04,118.48159203980099
2022-09-11,128.0145936981758
2022-09-18,128.0145936981758
2022-09-25,126.65273631840796
2022-10-02,99.41558872305141
2022-10-09,132.10016583747927
2022-10-16,117.11973466003316
2022-10-23,93.9681592039801
2022-10-30,128.0145936981758
2022-11-06,128.0145936981758
2022-11-13,136.18573797678275
2022-11-20,121.20530679933665
2022-11-27,119.84344941956883
2022-12-04,113.03416252072968
2022-12-11,123.92902155887231
2022-12-18,122.56716417910448
2022-12-25,107.58673300165837
2023-01-01,122.56716417910448
2023-01-08,115.75787728026533
2023-01-15,117.11973466003316
2023-01-22,106.22487562189055
2023-01-29,121.20530679933665
2023-02-05,119.84344941956883
2023-02-12,121.20530679933665
2023-02-19,122.56716417910448
2023-02-26,123.92902155887231
2023-03-05,104.86301824212272
2023-03-12,121.20530679933665
2023-03-19,117.11973466003316
2023-03-26,122.56716417910448
2023-04-02,114.3960199004975
2023-04-09,118.48159203980099
2023-04-16,119.84344941956883
2023-04-23,121.20530679933665
2023-04-30,110.31044776119403
2023-05-07,115.75787728026533
2023-05-14,114.3960199004975
2023-05-21,117.11973466003316
2023-05-28,118.48159203980099
2023-06-04,115.75787728026533
2023-06-11,128.0145936981758
2023-06-18,123.92902155887231
2023-06-25,118.48159203980099
2023-07-02,122.56716417910448
2023-07-09,133.4620232172471
2023-07-16,130.73830845771144
2023-07-23,126.65273631840796
2023-07-30,129.3764510779436
2023-08-06,132.10016583747927
2023-08-13,113.03416252072968
2023-08-20,132.10016583747927
2023-08-27,122.56716417910448
2023-09-03,119.84344941956883
2023-09-10,122.56716417910448
2023-09-17,110.31044776119403
2023-09-24,126.65273631840796
2023-10-01,111.67230514096185
2023-10-08,118.48159203980099
2023-10-15,126.65273631840796
2023-10-22,103.5011608623549
2023-10-29,114.3960199004975
2023-11-05,117.11973466003316
2023-11-12,96.69187396351575
2023-11-19,121.20530679933665
2023-11-26,123.92902155887231
2023-12-03,126.65273631840796
2023-12-10,123.92902155887231
2023-12-17,125.29087893864013
2023-12-24,111.67230514096185
2023-12-31,128.0145936981758
2024-01-07,131.1718499750985
2024-01-14,122.02032555823115
2024-01-21,122.02032555823115
2024-01-28,147.94964473935528
2024-02-04,138.79812032248793
2024-02-11,131.1718499750985
2024-02-18,131.1718499750985
2024-02-25,135.74761218353214
2024-03-03,120.49507148875325
2024-03-10,135.74761218353214
2024-03-17,134.22235811405426
2024-03-24,122.02032555823115
2024-03-31,129.6465959056206
2024-04-07,112.8688011413638
2024-04-14,141.8486284614437
2024-04-21,129.6465959056206
2024-04-28,120.49507148875325
2024-05-05,123.54557962770903
2024-05-12,120.49507148875325
2024-05-19,126.59608776666481
2024-05-26,135.74761218353214
2024-06-02,123.54557962770903
2024-06-09,135.74761218353214
2024-06-16,132.69710404457638
2024-06-23,134.22235811405426
2024-06-30,134.22235811405426
2024-07-07,129.6465959056206
2024-07-14,144.8991366003995
2024-07-21,143.3738825309216
2024-07-28,140.3233743919658
2024-08-04,137.27286625301005
2024-08-11,134.22235811405426
2024-08-18,141.8486284614437
2024-08-25,147.94964473935528
2024-09-01,134.22235811405426
2024-09-08,131.1718499750985
2024-09-15,132.69710404457638
2024-09-22,137.27286625301005
2024-09-29,125.07083369718693
2024-10-06,118.96981741927537
2024-10-13,138.79812032248793
2024-10-20,143.3738825309216
2024-10-27,94.56575230762914
2024-11-03,120.49507148875325
2024-11-10,132.69710404457638
2024-11-17,128.1213418361427
2024-11-24,126.59608776666481
2024-12-01,125.07083369718693
2024-12-08,131.1718499750985
2024-12-15,135.74761218353214
2024-12-22,120.49507148875325
2024-12-29,112.8688011413638
2025-01-05,132.69710404457638
2025-01-12,118.96981741927537
2025-01-19,138.79812032248793
2025-01-26,134.22235811405426
2025-02-02,134.22235811405426
2025-02-09,131.1718499750985
2025-02-16,132.69710404457638
2025-02-23,129.6465959056206
2025-03-02,129.6465959056206
2025-03-09,114.3940552108417
2025-03-16,128.1213418361427
2025-03-23,138.79812032248793
2025-03-30,129.6465959056206
2025-04-06,132.69710404457638
2025-04-13,125.07083369718693
2025-04-20,132.69710404457638
2025-04-27,125.07083369718693
2025-05-04,118.96981741927537
2025-05-11,128.1213418361427
2025-05-18,140.3233743919658
2025-05-25,138.79812032248793
2025-06-01,129.6465959056206
2025-06-08,141.8486284614437
2025-06-15,138.79812032248793
2025-06-22,152.52540694778892
2025-06-29,134.22235811405426
2025-07-06,131.1718499750985
2025-07-13,140.3233743919658
2025-07-20,132.69710404457638
2025-07-27,137.27286625301005
2025-08-03,126.59608776666481
2025-08-10,115.9193092803196
2025-08-17,131.1718499750985
2025-08-24,123.54557962770903
2025-08-31,141.8486284614437
2025-09-07,125.07083369718693
2025-09-14,131.1718499750985
2025-09-21,132.69710404457638
2025-09-28,108.29303893293014
2025-10-05,138.79812032248793
2025-10-12,129.6465959056206
2025-10-19,89.98999009919547
2025-10-26,120.49507148875325
2025-11-02,125.07083369718693
2025-11-09,125.07083369718693
2025-11-16,120.49507148875325
2025-11-23,105.24253079397437
2025-11-30,109.81829300240803
2025-12-07,111.34354707188592
2025-12-14,112.8688011413638
2025-12-21,105.24253079397437
2025-12-28,97.61626044658492
2026-01-04,102.19202265501859
