,Auto Financing
2023-06-04,78.94640234948605
2023-06-11,85.26211453744494
2023-06-18,85.26211453744494
2023-06-25,78.94640234948605
2023-07-02,82.1042584434655
2023-07-09,82.1042584434655
2023-07-16,82.1042584434655
2023-07-23,82.1042584434655
2023-07-30,78.94640234948605
2023-08-06,82.1042584434655
2023-08-13,78.94640234948605
2023-08-20,75.78854625550662
2023-08-27,75.78854625550662
2023-09-03,88.41997063142438
2023-09-10,85.26211453744494
2023-09-17,75.78854625550662
2023-09-24,75.78854625550662
2023-10-01,75.78854625550662
2023-10-08,78.94640234948605
2023-10-15,75.78854625550662
2023-10-22,69.47283406754772
2023-10-29,75.78854625550662
2023-11-05,78.94640234948605
2023-11-12,69.47283406754772
2023-11-19,75.78854625550662
2023-11-26,78.94640234948605
2023-12-03,75.78854625550662
2023-12-10,78.94640234948605
2023-12-17,78.94640234948605
2023-12-24,78.94640234948605
2023-12-31,82.1042584434655
2024-01-07,79.76567971459785
2024-01-14,76.25949599087926
2024-01-21,73.62985819809032
2024-01-28,84.14840936924608
2024-02-04,81.51877157645714
2024-02-11,80.6422256455275
2024-02-18,78.01258785273856
2024-02-25,76.25949599087926
2024-03-03,72.75331226716068
2024-03-10,75.38295005994962
2024-03-17,81.51877157645714
2024-03-24,75.38295005994962
2024-03-31,85.02495530017573
2024-04-07,73.62985819809032
2024-04-14,78.8891337836682
2024-04-21,71.00022040530139
2024-04-28,74.50640412901997
2024-05-05,75.38295005994962
2024-05-12,85.02495530017573
2024-05-19,79.76567971459785
2024-05-26,80.6422256455275
2024-06-02,73.62985819809032
2024-06-09,78.01258785273856
2024-06-16,83.27186343831644
2024-06-23,74.50640412901997
2024-06-30,78.8891337836682
2024-07-07,74.50640412901997
2024-07-14,78.8891337836682
2024-07-21,81.51877157645714
2024-07-28,78.8891337836682
2024-08-04,77.13604192180891
2024-08-11,80.6422256455275
2024-08-18,82.39531750738679
2024-08-25,85.02495530017573
2024-09-01,80.6422256455275
2024-09-08,76.25949599087926
2024-09-15,78.8891337836682
2024-09-22,82.39531750738679
2024-09-29,81.51877157645714
2024-10-06,70.12367447437174
2024-10-13,71.87676633623103
2024-10-20,74.50640412901997
2024-10-27,65.74094481972351
2024-11-03,72.75331226716068
2024-11-10,73.62985819809032
2024-11-17,76.25949599087926
2024-11-24,71.00022040530139
2024-12-01,69.24712854344209
2024-12-08,78.8891337836682
2024-12-15,77.13604192180891
2024-12-22,80.6422256455275
2024-12-29,73.62985819809032
2025-01-05,78.8891337836682
2025-01-12,77.13604192180891
2025-01-19,74.50640412901997
2025-01-26,70.12367447437174
2025-02-02,75.38295005994962
2025-02-09,74.50640412901997
2025-02-16,71.00022040530139
2025-02-23,72.75331226716068
2025-03-02,72.75331226716068
2025-03-09,65.74094481972351
2025-03-16,84.14840936924608
2025-03-23,78.01258785273856
2025-03-30,73.62985819809032
2025-04-06,71.00022040530139
2025-04-13,72.75331226716068
2025-04-20,78.8891337836682
2025-04-27,75.38295005994962
2025-05-04,72.75331226716068
2025-05-11,76.25949599087926
2025-05-18,86.77804716203502
2025-05-25,76.25949599087926
2025-06-01,73.62985819809032
2025-06-08,78.8891337836682
2025-06-15,78.8891337836682
2025-06-22,75.38295005994962
2025-06-29,74.50640412901997
2025-07-06,75.38295005994962
2025-07-13,76.25949599087926
2025-07-20,76.25949599087926
2025-07-27,75.38295005994962
2025-08-03,74.50640412901997
2025-08-10,73.62985819809032
2025-08-17,72.75331226716068
2025-08-24,75.38295005994962
2025-08-31,69.24712854344209
2025-09-07,73.62985819809032
2025-09-14,78.01258785273856
2025-09-21,85.90150123110539
2025-09-28,65.74094481972351
2025-10-05,78.01258785273856
2025-10-12,71.87676633623103
2025-10-19,63.11130702693456
2025-10-26,76.25949599087926
2025-11-02,73.62985819809032
2025-11-09,70.12367447437174
2025-11-16,68.37058261251245
2025-11-23,73.62985819809032
2025-11-30,72.75331226716068
2025-12-07,69.24712854344209
2025-12-14,73.62985819809032
2025-12-21,77.13604192180891
2025-12-28,74.50640412901997
2026-01-04,75.38295005994962
