,Acting & Theater
2023-08-27,57.0
2023-09-03,60.0
2023-09-10,61.0
2023-09-17,60.0
2023-09-24,60.0
2023-10-01,58.0
2023-10-08,65.0
2023-10-15,57.0
2023-10-22,49.0
2023-10-29,63.0
2023-11-05,63.0
2023-11-12,65.0
2023-11-19,65.0
2023-11-26,82.0
2023-12-03,79.0
2023-12-10,73.0
2023-12-17,68.0
2023-12-24,64.0
2023-12-31,60.0
2024-01-07,63.16914366595894
2024-01-14,72.88747346072185
2024-01-21,74.10226468506721
2024-01-28,61.95435244161358
2024-02-04,55.880396319886756
2024-02-11,69.24309978768576
2024-02-18,70.45789101203113
2024-02-25,64.3839348903043
2024-03-03,54.66560509554139
2024-03-10,88.6797593772116
2024-03-17,92.32413305024768
2024-03-24,68.0283085633404
2024-03-31,82.60580325548477
2024-04-07,71.67268223637649
2024-04-14,102.04246284501059
2024-04-21,87.46496815286622
2024-04-28,69.24309978768576
2024-05-05,80.17622080679403
2024-05-12,80.17622080679403
2024-05-19,83.82059447983013
2024-05-26,64.3839348903043
2024-06-02,51.021231422505295
2024-06-09,57.09518754423212
2024-06-16,55.880396319886756
2024-06-23,53.450813871196026
2024-06-30,49.80644019815993
2024-07-07,54.66560509554139
2024-07-14,60.73956121726821
2024-07-21,57.09518754423212
2024-07-28,48.59164897381457
2024-08-04,51.021231422505295
2024-08-11,55.880396319886756
2024-08-18,54.66560509554139
2024-08-25,57.09518754423212
2024-09-01,54.66560509554139
2024-09-08,54.66560509554139
2024-09-15,53.450813871196026
2024-09-22,53.450813871196026
2024-09-29,52.236022646850664
2024-10-06,52.236022646850664
2024-10-13,52.236022646850664
2024-10-20,54.66560509554139
2024-10-27,47.3768577494692
2024-11-03,54.66560509554139
2024-11-10,55.880396319886756
2024-11-17,66.81351733899503
2024-11-24,52.236022646850664
2024-12-01,53.450813871196026
2024-12-08,53.450813871196026
2024-12-15,55.880396319886756
2024-12-22,55.880396319886756
2024-12-29,55.880396319886756
2025-01-05,52.236022646850664
2025-01-12,49.80644019815993
2025-01-19,59.52476999292285
2025-01-26,49.80644019815993
2025-02-02,52.236022646850664
2025-02-09,54.66560509554139
2025-02-16,55.880396319886756
2025-02-23,54.66560509554139
2025-03-02,55.880396319886756
2025-03-09,46.16206652512384
2025-03-16,57.09518754423212
2025-03-23,97.18329794762914
2025-03-30,121.47912243453642
2025-04-06,58.30997876857748
2025-04-13,55.880396319886756
2025-04-20,61.95435244161358
2025-04-27,54.66560509554139
2025-05-04,51.021231422505295
2025-05-11,54.66560509554139
2025-05-18,59.52476999292285
2025-05-25,52.236022646850664
2025-06-01,54.66560509554139
2025-06-08,57.09518754423212
2025-06-15,53.450813871196026
2025-06-22,58.30997876857748
2025-06-29,53.450813871196026
2025-07-06,55.880396319886756
2025-07-13,59.52476999292285
2025-07-20,59.52476999292285
2025-07-27,70.45789101203113
2025-08-03,77.74663835810331
2025-08-10,82.60580325548477
2025-08-17,69.24309978768576
2025-08-24,60.73956121726821
2025-08-31,53.450813871196026
2025-09-07,60.73956121726821
2025-09-14,63.16914366595894
2025-09-21,58.30997876857748
2025-09-28,52.236022646850664
2025-10-05,57.09518754423212
2025-10-12,54.66560509554139
2025-10-19,51.021231422505295
2025-10-26,65.59872611464966
2025-11-02,92.32413305024768
2025-11-09,94.7537154989384
2025-11-16,95.96850672328378
2025-11-23,92.32413305024768
2025-11-30,77.74663835810331
2025-12-07,71.67268223637649
2025-12-14,111.76079263977351
2025-12-21,100.82767162066523
2025-12-28,78.96142958244867
2026-01-04,83.82059447983013
