,Home & Garden
2021-10-17,81.87297472456254
2021-10-24,88.69572261827608
2021-10-31,95.51847051198962
2021-11-07,77.7793259883344
2021-11-14,76.4147764095917
2021-11-21,76.4147764095917
2021-11-28,76.4147764095917
2021-12-05,92.7893713545042
2021-12-12,79.14387556707712
2021-12-19,81.87297472456254
2021-12-26,85.96662346079066
2022-01-02,84.60207388204795
2022-01-09,80.50842514581983
2022-01-16,80.50842514581983
2022-01-23,84.60207388204795
2022-01-30,91.4248217757615
2022-02-06,85.96662346079066
2022-02-13,88.69572261827608
2022-02-20,95.51847051198962
2022-02-27,90.06027219701879
2022-03-06,90.06027219701879
2022-03-13,91.4248217757615
2022-03-20,95.51847051198962
2022-03-27,96.88302009073233
2022-04-03,90.06027219701879
2022-04-10,96.88302009073233
2022-04-17,91.4248217757615
2022-04-24,92.7893713545042
2022-05-01,96.88302009073233
2022-05-08,95.51847051198962
2022-05-15,95.51847051198962
2022-05-22,95.51847051198962
2022-05-29,91.4248217757615
2022-06-05,94.15392093324691
2022-06-12,92.7893713545042
2022-06-19,99.61211924821775
2022-06-26,92.7893713545042
2022-07-03,99.61211924821775
2022-07-10,98.24756966947504
2022-07-17,98.24756966947504
2022-07-24,96.88302009073233
2022-07-31,98.24756966947504
2022-08-07,91.4248217757615
2022-08-14,95.51847051198962
2022-08-21,102.34121840570316
2022-08-28,95.51847051198962
2022-09-04,110.52851587815942
2022-09-11,99.61211924821775
2022-09-18,106.43486714193129
2022-09-25,105.07031756318858
2022-10-02,95.51847051198962
2022-10-09,103.70576798444587
2022-10-16,102.34121840570316
2022-10-23,90.06027219701879
2022-10-30,102.34121840570316
2022-11-06,95.51847051198962
2022-11-13,92.7893713545042
2022-11-20,90.06027219701879
2022-11-27,91.4248217757615
2022-12-04,91.4248217757615
2022-12-11,94.15392093324691
2022-12-18,98.24756966947504
2022-12-25,98.24756966947504
2023-01-01,92.7893713545042
2023-01-08,85.96662346079066
2023-01-15,88.69572261827608
2023-01-22,90.06027219701879
2023-01-29,96.88302009073233
2023-02-05,95.51847051198962
2023-02-12,90.06027219701879
2023-02-19,95.51847051198962
2023-02-26,94.15392093324691
2023-03-05,88.69572261827608
2023-03-12,99.61211924821775
2023-03-19,92.7893713545042
2023-03-26,96.88302009073233
2023-04-02,98.24756966947504
2023-04-09,98.24756966947504
2023-04-16,102.34121840570316
2023-04-23,95.51847051198962
2023-04-30,96.88302009073233
2023-05-07,95.51847051198962
2023-05-14,100.97666882696046
2023-05-21,106.43486714193129
2023-05-28,99.61211924821775
2023-06-04,100.97666882696046
2023-06-11,103.70576798444587
2023-06-18,100.97666882696046
2023-06-25,106.43486714193129
2023-07-02,105.07031756318858
2023-07-09,100.97666882696046
2023-07-16,105.07031756318858
2023-07-23,102.34121840570316
2023-07-30,98.24756966947504
2023-08-06,100.97666882696046
2023-08-13,102.34121840570316
2023-08-20,107.799416720674
2023-08-27,95.51847051198962
2023-09-03,98.24756966947504
2023-09-10,95.51847051198962
2023-09-17,94.15392093324691
2023-09-24,95.51847051198962
2023-10-01,107.799416720674
2023-10-08,126.90311082307193
2023-10-15,115.98671419313025
2023-10-22,122.8094620868438
2023-10-29,133.72585871678547
2023-11-05,136.4549578742709
2023-11-12,96.88302009073233
2023-11-19,95.51847051198962
2023-11-26,95.51847051198962
2023-12-03,91.4248217757615
2023-12-10,95.51847051198962
2023-12-17,95.51847051198962
2023-12-24,103.70576798444587
2023-12-31,94.15392093324691
2024-01-07,115.98671419313027
2024-01-14,125.53856124432923
2024-01-21,85.96662346079067
2024-01-28,87.33117303953338
2024-02-04,95.51847051198963
2024-02-11,87.33117303953338
2024-02-18,90.0602721970188
2024-02-25,95.51847051198963
2024-03-03,90.0602721970188
2024-03-10,91.42482177576152
2024-03-17,91.42482177576152
2024-03-24,92.78937135450423
2024-03-31,100.97666882696048
2024-04-07,94.15392093324692
2024-04-14,90.0602721970188
2024-04-21,94.15392093324692
2024-04-28,99.61211924821777
2024-05-05,95.51847051198963
2024-05-12,91.42482177576152
2024-05-19,98.24756966947506
2024-05-26,107.79941672067402
2024-06-02,96.88302009073234
2024-06-09,102.34121840570319
2024-06-16,113.25761503564486
2024-06-23,103.70576798444588
2024-06-30,95.51847051198963
2024-07-07,95.51847051198963
2024-07-14,99.61211924821777
2024-07-21,100.97666882696048
2024-07-28,100.97666882696048
2024-08-04,99.61211924821777
2024-08-11,94.15392093324692
2024-08-18,98.24756966947506
2024-08-25,96.88302009073234
2024-09-01,96.88302009073234
2024-09-08,91.42482177576152
2024-09-15,92.78937135450423
2024-09-22,98.24756966947506
2024-09-29,90.0602721970188
2024-10-06,90.0602721970188
2024-10-13,92.78937135450423
2024-10-20,94.15392093324692
2024-10-27,88.6957226182761
2024-11-03,85.96662346079067
2024-11-10,88.6957226182761
2024-11-17,87.33117303953338
2024-11-24,85.96662346079067
2024-12-01,88.6957226182761
2024-12-08,87.33117303953338
2024-12-15,91.42482177576152
2024-12-22,102.34121840570319
2024-12-29,92.78937135450423
2025-01-05,88.6957226182761
2025-01-12,87.33117303953338
2025-01-19,88.6957226182761
2025-01-26,87.33117303953338
2025-02-02,88.6957226182761
2025-02-09,90.0602721970188
2025-02-16,90.0602721970188
2025-02-23,99.61211924821777
2025-03-02,99.61211924821777
2025-03-09,92.78937135450423
2025-03-16,110.52851587815944
2025-03-23,99.61211924821777
2025-03-30,109.16396629941673
2025-04-06,100.97666882696048
2025-04-13,96.88302009073234
2025-04-20,96.88302009073234
2025-04-27,94.15392093324692
2025-05-04,92.78937135450423
2025-05-11,95.51847051198963
2025-05-18,100.97666882696048
2025-05-25,99.61211924821777
2025-06-01,99.61211924821777
2025-06-08,99.61211924821777
2025-06-15,103.70576798444588
2025-06-22,99.61211924821777
2025-06-29,98.24756966947506
2025-07-06,96.88302009073234
2025-07-13,98.24756966947506
2025-07-20,95.51847051198963
2025-07-27,100.97666882696048
2025-08-03,95.51847051198963
2025-08-10,95.51847051198963
2025-08-17,96.88302009073234
2025-08-24,95.51847051198963
2025-08-31,91.42482177576152
2025-09-07,126.90311082307194
2025-09-14,111.89306545690215
2025-09-21,113.25761503564486
2025-09-28,107.79941672067402
2025-10-05,121.44491250810111
2025-10-12,115.98671419313027
2025-10-19,90.0602721970188
2025-10-26,91.42482177576152
2025-11-02,92.78937135450423
2025-11-09,91.42482177576152
2025-11-16,91.42482177576152
2025-11-23,90.0602721970188
2025-11-30,92.78937135450423
2025-12-07,88.6957226182761
2025-12-14,90.0602721970188
2025-12-21,94.15392093324692
2025-12-28,99.61211924821777
2026-01-04,95.51847051198963
