,Corporate Events
2022-07-24,65.4555659494855
2022-07-31,64.41658871219208
2022-08-07,59.22170252572498
2022-08-14,60.2606797630184
2022-08-21,66.49454318677893
2022-08-28,65.4555659494855
2022-09-04,62.33863423760524
2022-09-11,69.61147489865918
2022-09-18,71.68942937324603
2022-09-25,69.61147489865918
2022-10-02,62.33863423760524
2022-10-09,69.61147489865918
2022-10-16,65.4555659494855
2022-10-23,51.94886186467104
2022-10-30,72.72840661053945
2022-11-06,77.92329279700655
2022-11-13,96.62488306828813
2022-11-20,100.7807920174618
2022-11-27,75.8453383224197
2022-12-04,63.377611474898664
2022-12-11,68.57249766136577
2022-12-18,70.6504521359526
2022-12-25,69.61147489865918
2023-01-01,70.6504521359526
2023-01-08,72.72840661053945
2023-01-15,70.6504521359526
2023-01-22,69.61147489865918
2023-01-29,72.72840661053945
2023-02-05,74.8063610851263
2023-02-12,69.61147489865918
2023-02-19,70.6504521359526
2023-02-26,72.72840661053945
2023-03-05,58.18272528843156
2023-03-12,66.49454318677893
2023-03-19,62.33863423760524
2023-03-26,60.2606797630184
2023-04-02,60.2606797630184
2023-04-09,61.299657000311825
2023-04-16,62.33863423760524
2023-04-23,62.33863423760524
2023-04-30,61.299657000311825
2023-05-07,62.33863423760524
2023-05-14,63.377611474898664
2023-05-21,64.41658871219208
2023-05-28,65.4555659494855
2023-06-04,68.57249766136577
2023-06-11,69.61147489865918
2023-06-18,65.4555659494855
2023-06-25,63.377611474898664
2023-07-02,68.57249766136577
2023-07-09,69.61147489865918
2023-07-16,70.6504521359526
2023-07-23,73.76738384783287
2023-07-30,77.92329279700655
2023-08-06,74.8063610851263
2023-08-13,70.6504521359526
2023-08-20,70.6504521359526
2023-08-27,70.6504521359526
2023-09-03,66.49454318677893
2023-09-10,71.68942937324603
2023-09-17,77.92329279700655
2023-09-24,72.72840661053945
2023-10-01,73.76738384783287
2023-10-08,72.72840661053945
2023-10-15,68.57249766136577
2023-10-22,62.33863423760524
2023-10-29,70.6504521359526
2023-11-05,62.33863423760524
2023-11-12,73.76738384783287
2023-11-19,103.89772372934208
2023-11-26,89.35204240723418
2023-12-03,73.76738384783287
2023-12-10,74.8063610851263
2023-12-17,72.72840661053945
2023-12-24,70.6504521359526
2023-12-31,72.72840661053945
2024-01-07,75.48468456337055
2024-01-14,70.24269257980315
2024-01-21,68.14589578637619
