,Business Operations
2024-07-28,91.25553814461297
2024-08-04,85.55206701057466
2024-08-11,81.74975292121579
2024-08-18,85.55206701057466
2024-08-25,87.4532240552541
2024-09-01,80.79917439887606
2024-09-08,76.99686030951719
2024-09-15,84.60148848823493
2024-09-22,88.40380257759381
2024-09-29,80.79917439887606
2024-10-06,72.2439676978186
2024-10-13,79.84859587653635
2024-10-20,80.79917439887606
2024-10-27,59.88644690740226
2024-11-03,70.34281065313917
2024-11-10,74.14512474249804
2024-11-17,75.09570326483775
2024-11-24,74.14512474249804
2024-12-01,77.94743883185691
2024-12-08,72.2439676978186
2024-12-15,82.7003314435555
2024-12-22,75.09570326483775
2024-12-29,72.2439676978186
2025-01-05,78.89801735419663
2025-01-12,68.44165360845973
2025-01-19,74.14512474249804
2025-01-26,74.14512474249804
2025-02-02,71.29338917547888
2025-02-09,73.19454622015832
2025-02-16,71.29338917547888
2025-02-23,71.29338917547888
2025-03-02,70.34281065313917
2025-03-09,63.68876099676113
2025-03-16,74.14512474249804
2025-03-23,72.2439676978186
2025-03-30,74.14512474249804
2025-04-06,70.34281065313917
2025-04-13,65.58991804144057
2025-04-20,68.44165360845973
2025-04-27,65.58991804144057
2025-05-04,67.49107508612
2025-05-11,69.39223213079944
2025-05-18,76.04628178717748
2025-05-25,75.09570326483775
2025-06-01,74.14512474249804
2025-06-08,74.14512474249804
2025-06-15,73.19454622015832
2025-06-22,75.09570326483775
2025-06-29,74.14512474249804
2025-07-06,75.09570326483775
2025-07-13,75.09570326483775
2025-07-20,80.79917439887606
2025-07-27,80.79917439887606
2025-08-03,78.89801735419663
2025-08-10,71.29338917547888
2025-08-17,84.60148848823493
2025-08-24,70.34281065313917
2025-08-31,71.29338917547888
2025-09-07,73.19454622015832
2025-09-14,78.89801735419663
2025-09-21,78.89801735419663
2025-09-28,61.787603952081696
2025-10-05,69.39223213079944
2025-10-12,68.44165360845973
2025-10-19,53.23239725102423
2025-10-26,68.44165360845973
2025-11-02,76.04628178717748
2025-11-09,69.39223213079944
2025-11-16,75.09570326483775
2025-11-23,69.39223213079944
2025-11-30,67.49107508612
2025-12-07,65.58991804144057
2025-12-14,70.34281065313917
2025-12-21,64.63933951910086
2025-12-28,61.787603952081696
2026-01-04,66.5404965637803
