,Fire & Security Services
2020-03-22,33.066456940621315
2020-03-29,34.504128981517894
2020-04-05,38.817145104207626
2020-04-12,38.817145104207626
2020-04-19,38.817145104207626
2020-04-26,38.817145104207626
2020-05-03,43.130161226897364
2020-05-10,46.00550530869052
2020-05-17,46.00550530869052
2020-05-24,48.88084939048368
2020-05-31,51.75619347227684
2020-06-07,57.50688163586315
2020-06-14,50.31852143138026
2020-06-21,54.63153755406999
2020-06-28,56.06920959496657
2020-07-05,57.50688163586315
2020-07-12,58.94455367675973
2020-07-19,61.81989775855289
2020-07-26,60.38222571765631
2020-08-02,53.19386551317342
2020-08-09,58.94455367675973
2020-08-16,61.81989775855289
2020-08-23,66.13291388124263
2020-08-30,64.69524184034604
2020-09-06,64.69524184034604
2020-09-13,63.25756979944947
2020-09-20,69.00825796303579
2020-09-27,69.00825796303579
2020-10-04,60.38222571765631
2020-10-11,66.13291388124263
2020-10-18,56.06920959496657
2020-10-25,48.88084939048368
2020-11-01,57.50688163586315
2020-11-08,50.31852143138026
2020-11-15,51.75619347227684
2020-11-22,51.75619347227684
2020-11-29,54.63153755406999
2020-12-06,46.00550530869052
2020-12-13,64.69524184034604
2020-12-20,67.5705859221392
2020-12-27,58.94455367675973
2021-01-03,67.5705859221392
2021-01-10,54.63153755406999
2021-01-17,73.32127408572552
2021-01-24,56.06920959496657
2021-01-31,60.38222571765631
2021-02-07,61.81989775855289
2021-02-14,66.13291388124263
2021-02-21,63.25756979944947
2021-02-28,58.94455367675973
2021-03-07,54.63153755406999
2021-03-14,60.38222571765631
2021-03-21,60.38222571765631
2021-03-28,47.4431773495871
2021-04-04,51.75619347227684
2021-04-11,44.567833267793944
2021-04-18,41.692489186000785
2021-04-25,40.254817145104205
2021-05-02,38.817145104207626
2021-05-09,41.692489186000785
2021-05-16,40.254817145104205
2021-05-23,46.00550530869052
2021-05-30,50.31852143138026
2021-06-06,47.4431773495871
2021-06-13,61.81989775855289
2021-06-20,58.94455367675973
2021-06-27,63.25756979944947
2021-07-04,66.13291388124263
2021-07-11,67.5705859221392
2021-07-18,61.81989775855289
2021-07-25,66.13291388124263
2021-08-01,63.25756979944947
2021-08-08,67.5705859221392
2021-08-15,71.88360204482895
2021-08-22,70.44593000393236
2021-08-29,71.88360204482895
2021-09-05,66.13291388124263
2021-09-12,69.00825796303579
2021-09-19,71.88360204482895
2021-09-26,74.7589461266221
2021-10-03,64.69524184034604
2021-10-10,51.75619347227684
2021-10-17,58.94455367675973
2021-10-24,57.50688163586315
2021-10-31,44.567833267793944
2021-11-07,58.94455367675973
2021-11-14,58.94455367675973
2021-11-21,60.38222571765631
2021-11-28,57.50688163586315
2021-12-05,61.81989775855289
2021-12-12,58.94455367675973
2021-12-19,63.25756979944947
2021-12-26,66.13291388124263
2022-01-02,83.38497837200157
2022-01-09,71.88360204482895
2022-01-16,70.44593000393236
2022-01-23,69.00825796303579
2022-01-30,76.19661816751868
2022-02-06,67.5705859221392
2022-02-13,80.50963429020841
2022-02-20,83.38497837200157
2022-02-27,81.947306331105
2022-03-06,76.19661816751868
2022-03-13,66.13291388124263
2022-03-20,79.07196224931184
2022-03-27,79.07196224931184
2022-04-03,80.50963429020841
2022-04-10,71.88360204482895
2022-04-17,79.07196224931184
2022-04-24,89.13566653558789
2022-05-01,64.69524184034604
2022-05-08,71.88360204482895
2022-05-15,74.7589461266221
2022-05-22,80.50963429020841
2022-05-29,73.32127408572552
2022-06-05,74.7589461266221
2022-06-12,77.63429020841525
2022-06-19,81.947306331105
2022-06-26,84.82265041289816
2022-07-03,80.50963429020841
2022-07-10,83.38497837200157
2022-07-17,89.13566653558789
2022-07-24,106.38773102634684
2022-07-31,90.57333857648447
2022-08-07,70.44593000393236
2022-08-14,71.88360204482895
2022-08-21,76.19661816751868
2022-08-28,77.63429020841525
2022-09-04,76.19661816751868
2022-09-11,89.13566653558789
2022-09-18,94.8863546991742
2022-09-25,90.57333857648447
2022-10-02,74.7589461266221
2022-10-09,87.69799449469132
2022-10-16,77.63429020841525
2022-10-23,58.94455367675973
2022-10-30,80.50963429020841
2022-11-06,79.07196224931184
2022-11-13,87.69799449469132
2022-11-20,81.947306331105
2022-11-27,93.44868265827762
2022-12-04,87.69799449469132
2022-12-11,90.57333857648447
2022-12-18,89.13566653558789
2022-12-25,90.57333857648447
2023-01-01,87.69799449469132
2023-01-08,86.26032245379473
2023-01-15,86.26032245379473
2023-01-22,79.07196224931184
2023-01-29,94.8863546991742
2023-02-05,81.947306331105
2023-02-12,79.07196224931184
2023-02-19,86.26032245379473
2023-02-26,90.57333857648447
2023-03-05,89.13566653558789
2023-03-12,119.32677939441605
2023-03-19,143.7672040896579
2023-03-26,123.63979551710578
2023-04-02,132.26582776248526
2023-04-09,106.38773102634684
2023-04-16,87.69799449469132
2023-04-23,90.57333857648447
2023-04-30,70.44593000393236
2023-05-07,74.7589461266221
2023-05-14,80.50963429020841
2023-05-21,77.63429020841525
2023-05-28,81.947306331105
2023-06-04,83.38497837200157
2023-06-11,96.32402674007078
2023-06-18,103.51238694455368
2023-06-25,112.13841918993315
2023-07-02,116.45143531262289
2023-07-09,113.57609123082973
2023-07-16,97.76169878096736
2023-07-23,109.26307510813999
2023-07-30,102.0747149036571
2023-08-06,104.95005898545026
2023-08-13,102.0747149036571
2023-08-20,99.19937082186394
2023-08-27,100.63704286276052
2023-09-03,83.38497837200157
2023-09-10,90.57333857648447
2023-09-17,96.32402674007078
2023-09-24,93.44868265827762
2023-10-01,96.32402674007078
2023-10-08,84.82265041289816
2023-10-15,77.63429020841525
2023-10-22,66.13291388124263
2023-10-29,77.63429020841525
2023-11-05,67.5705859221392
2023-11-12,54.63153755406999
2023-11-19,71.88360204482895
2023-11-26,71.88360204482895
2023-12-03,74.7589461266221
2023-12-10,84.82265041289816
2023-12-17,90.57333857648447
2023-12-24,84.82265041289816
2023-12-31,80.50963429020841
2024-01-07,81.94730633110498
2024-01-14,74.75894612662209
2024-01-21,70.44593000393235
2024-01-28,93.4486826582776
2024-02-04,107.8254030672434
2024-02-11,96.32402674007076
2024-02-18,102.07471490365708
2024-02-25,109.26307510813997
2024-03-03,117.88910735351945
2024-03-10,94.88635469917419
2024-03-17,79.07196224931182
2024-03-24,66.13291388124262
2024-03-31,69.00825796303577
2024-04-07,63.257569799449456
2024-04-14,64.69524184034604
2024-04-21,61.819897758552884
2024-04-28,67.5705859221392
2024-05-05,69.00825796303577
2024-05-12,67.5705859221392
2024-05-19,73.3212740857255
2024-05-26,84.82265041289814
2024-06-02,77.63429020841525
2024-06-09,96.32402674007076
2024-06-16,84.82265041289814
2024-06-23,86.26032245379471
2024-06-30,86.26032245379471
2024-07-07,81.94730633110498
2024-07-14,86.26032245379471
2024-07-21,89.13566653558787
2024-07-28,90.57333857648446
2024-08-04,89.13566653558787
2024-08-11,90.57333857648446
2024-08-18,80.5096342902084
2024-08-25,87.6979944946913
2024-09-01,83.38497837200156
2024-09-08,86.26032245379471
2024-09-15,77.63429020841525
2024-09-22,84.82265041289814
2024-09-29,74.75894612662209
2024-10-06,61.819897758552884
2024-10-13,73.3212740857255
2024-10-20,71.88360204482893
2024-10-27,58.944553676759725
2024-11-03,69.00825796303577
2024-11-10,74.75894612662209
2024-11-17,70.44593000393235
2024-11-24,69.00825796303577
2024-12-01,70.44593000393235
2024-12-08,71.88360204482893
2024-12-15,74.75894612662209
2024-12-22,73.3212740857255
2024-12-29,64.69524184034604
2025-01-05,71.88360204482893
2025-01-12,73.3212740857255
2025-01-19,73.3212740857255
2025-01-26,71.88360204482893
2025-02-02,66.13291388124262
2025-02-09,70.44593000393235
2025-02-16,76.19661816751866
2025-02-23,74.75894612662209
2025-03-02,77.63429020841525
2025-03-09,60.382225717656304
2025-03-16,69.00825796303577
2025-03-23,67.5705859221392
2025-03-30,63.257569799449456
2025-04-06,64.69524184034604
2025-04-13,64.69524184034604
2025-04-20,74.75894612662209
2025-04-27,71.88360204482893
2025-05-04,73.3212740857255
2025-05-11,81.94730633110498
2025-05-18,81.94730633110498
2025-05-25,73.3212740857255
2025-06-01,77.63429020841525
2025-06-08,73.3212740857255
2025-06-15,80.5096342902084
2025-06-22,84.82265041289814
2025-06-29,80.5096342902084
2025-07-06,81.94730633110498
2025-07-13,81.94730633110498
2025-07-20,83.38497837200156
2025-07-27,79.07196224931182
2025-08-03,66.13291388124262
2025-08-10,63.257569799449456
2025-08-17,79.07196224931182
2025-08-24,66.13291388124262
2025-08-31,60.382225717656304
2025-09-07,63.257569799449456
2025-09-14,64.69524184034604
2025-09-21,67.5705859221392
2025-09-28,53.19386551317341
2025-10-05,64.69524184034604
2025-10-12,61.819897758552884
2025-10-19,48.880849390483675
2025-10-26,60.382225717656304
2025-11-02,60.382225717656304
2025-11-09,63.257569799449456
2025-11-16,63.257569799449456
2025-11-23,61.819897758552884
2025-11-30,64.69524184034604
2025-12-07,64.69524184034604
2025-12-14,64.69524184034604
2025-12-21,64.69524184034604
2025-12-28,58.944553676759725
2026-01-04,64.69524184034604
