,Home Financing
2022-01-23,86.08426775399253
2022-01-30,100.67482161060143
2022-02-06,94.83860006795787
2022-02-13,99.21576622494054
2022-02-20,99.21576622494054
2022-02-27,96.29765545361876
2022-03-06,102.13387699626232
2022-03-13,87.54332313965342
2022-03-20,93.37954468229698
2022-03-27,89.00237852531431
2022-04-03,93.37954468229698
2022-04-10,89.00237852531431
2022-04-17,94.83860006795787
2022-04-24,94.83860006795787
2022-05-01,97.75671083927965
2022-05-08,96.29765545361876
2022-05-15,94.83860006795787
2022-05-22,89.00237852531431
2022-05-29,93.37954468229698
2022-06-05,100.67482161060143
2022-06-12,102.13387699626232
2022-06-19,97.75671083927965
2022-06-26,99.21576622494054
2022-07-03,107.97009853890589
2022-07-10,100.67482161060143
2022-07-17,99.21576622494054
2022-07-24,113.80632008154944
2022-07-31,113.80632008154944
2022-08-07,97.75671083927965
2022-08-14,99.21576622494054
2022-08-21,103.59293238192322
2022-08-28,96.29765545361876
2022-09-04,99.21576622494054
2022-09-11,106.511043153245
2022-09-18,102.13387699626232
2022-09-25,100.67482161060143
2022-10-02,96.29765545361876
2022-10-09,107.97009853890589
2022-10-16,89.00237852531431
2022-10-23,78.78899082568807
2022-10-30,100.67482161060143
2022-11-06,97.75671083927965
2022-11-13,99.21576622494054
2022-11-20,97.75671083927965
2022-11-27,93.37954468229698
2022-12-04,105.05198776758411
2022-12-11,106.511043153245
2022-12-18,106.511043153245
2022-12-25,109.42915392456678
2023-01-01,113.80632008154944
2023-01-08,103.59293238192322
2023-01-15,103.59293238192322
2023-01-22,99.21576622494054
2023-01-29,116.72443085287122
2023-02-05,113.80632008154944
2023-02-12,106.511043153245
2023-02-19,106.511043153245
2023-02-26,112.34726469588855
2023-03-05,105.05198776758411
2023-03-12,109.42915392456678
2023-03-19,103.59293238192322
2023-03-26,100.67482161060143
2023-04-02,103.59293238192322
2023-04-09,105.05198776758411
2023-04-16,100.67482161060143
2023-04-23,96.29765545361876
2023-04-30,97.75671083927965
2023-05-07,93.37954468229698
2023-05-14,97.75671083927965
2023-05-21,91.92048929663609
2023-05-28,105.05198776758411
2023-06-04,103.59293238192322
2023-06-11,102.13387699626232
2023-06-18,106.511043153245
2023-06-25,107.97009853890589
2023-07-02,121.10159700985389
2023-07-09,121.10159700985389
2023-07-16,116.72443085287122
2023-07-23,109.42915392456678
2023-07-30,119.642541624193
2023-08-06,115.26537546721033
2023-08-13,110.88820931022767
2023-08-20,107.97009853890589
2023-08-27,110.88820931022767
2023-09-03,121.10159700985389
2023-09-10,119.642541624193
2023-09-17,122.5606523955148
2023-09-24,145.90553856608904
2023-10-01,134.23309548080192
2023-10-08,115.26537546721033
2023-10-15,102.13387699626232
2023-10-22,86.08426775399253
2023-10-29,99.21576622494054
2023-11-05,96.29765545361876
2023-11-12,89.00237852531431
2023-11-19,90.4614339109752
2023-11-26,102.13387699626232
2023-12-03,103.59293238192322
2023-12-10,107.97009853890589
2023-12-17,110.88820931022767
2023-12-24,115.26537546721033
2023-12-31,116.72443085287122
2024-01-07,109.4291539245668
2024-01-14,109.4291539245668
2024-01-21,94.8386000679579
2024-01-28,115.26537546721038
2024-02-04,125.4787631668366
2024-02-11,141.5283724091064
2024-02-18,145.90553856608906
2024-02-25,129.85592932381928
2024-03-03,119.64254162419304
2024-03-10,119.64254162419304
2024-03-17,107.97009853890592
2024-03-24,91.92048929663612
2024-03-31,103.59293238192325
2024-04-07,96.29765545361879
2024-04-14,90.46143391097523
2024-04-21,89.00237852531434
2024-04-28,97.75671083927968
2024-05-05,94.8386000679579
2024-05-12,99.21576622494057
2024-05-19,93.37954468229701
2024-05-26,97.75671083927968
2024-06-02,94.8386000679579
2024-06-09,106.51104315324503
2024-06-16,99.21576622494057
2024-06-23,100.67482161060147
2024-06-30,102.13387699626236
2024-07-07,109.4291539245668
2024-07-14,105.05198776758414
2024-07-21,116.72443085287127
2024-07-28,115.26537546721038
2024-08-04,110.8882093102277
2024-08-11,103.59293238192325
2024-08-18,99.21576622494057
2024-08-25,100.67482161060147
2024-09-01,106.51104315324503
2024-09-08,106.51104315324503
2024-09-15,142.98742779476729
2024-09-22,109.4291539245668
2024-09-29,105.05198776758414
2024-10-06,99.21576622494057
2024-10-13,102.13387699626236
2024-10-20,99.21576622494057
2024-10-27,84.62521236833166
2024-11-03,99.21576622494057
2024-11-10,96.29765545361879
2024-11-17,87.54332313965345
2024-11-24,87.54332313965345
2024-12-01,91.92048929663612
2024-12-08,91.92048929663612
2024-12-15,94.8386000679579
2024-12-22,96.29765545361879
2024-12-29,103.59293238192325
2025-01-05,99.21576622494057
2025-01-12,89.00237852531434
2025-01-19,93.37954468229701
2025-01-26,91.92048929663612
2025-02-02,99.21576622494057
2025-02-09,96.29765545361879
2025-02-16,91.92048929663612
2025-02-23,87.54332313965345
2025-03-02,90.46143391097523
2025-03-09,80.24804621134899
2025-03-16,90.46143391097523
2025-03-23,91.92048929663612
2025-03-30,87.54332313965345
2025-04-06,90.46143391097523
2025-04-13,91.92048929663612
2025-04-20,97.75671083927968
2025-04-27,87.54332313965345
2025-05-04,81.70710159700988
2025-05-11,89.00237852531434
2025-05-18,84.62521236833166
2025-05-25,91.92048929663612
2025-06-01,97.75671083927968
2025-06-08,96.29765545361879
2025-06-15,103.59293238192325
2025-06-22,97.75671083927968
2025-06-29,105.05198776758414
2025-07-06,96.29765545361879
2025-07-13,94.8386000679579
2025-07-20,96.29765545361879
2025-07-27,94.8386000679579
2025-08-03,93.37954468229701
2025-08-10,87.54332313965345
2025-08-17,90.46143391097523
2025-08-24,89.00237852531434
2025-08-31,96.29765545361879
2025-09-07,99.21576622494057
2025-09-14,94.8386000679579
2025-09-21,94.8386000679579
2025-09-28,83.16615698267077
2025-10-05,96.29765545361879
2025-10-12,84.62521236833166
2025-10-19,72.95276928304453
2025-10-26,91.92048929663612
2025-11-02,89.00237852531434
2025-11-09,90.46143391097523
2025-11-16,87.54332313965345
2025-11-23,83.16615698267077
2025-11-30,93.37954468229701
2025-12-07,89.00237852531434
2025-12-14,93.37954468229701
2025-12-21,94.8386000679579
2025-12-28,94.8386000679579
2026-01-04,99.21576622494057
