,Internet & Telecom
2023-01-01,91.13178733031674
2023-01-08,89.01244343891403
2023-01-15,90.07211538461539
2023-01-22,89.01244343891403
2023-01-29,90.07211538461539
2023-02-05,93.25113122171946
2023-02-12,86.89309954751131
2023-02-19,90.07211538461539
2023-02-26,91.13178733031674
2023-03-05,83.71408371040724
2023-03-12,87.95277149321267
2023-03-19,90.07211538461539
2023-03-26,87.95277149321267
2023-04-02,89.01244343891403
2023-04-09,84.77375565610859
2023-04-16,81.59473981900453
2023-04-23,92.1914592760181
2023-04-30,89.01244343891403
2023-05-07,91.13178733031674
2023-05-14,90.07211538461539
2023-05-21,89.01244343891403
2023-05-28,87.95277149321267
2023-06-04,90.07211538461539
2023-06-11,93.25113122171946
2023-06-18,94.31080316742081
2023-06-25,95.37047511312217
2023-07-02,96.43014705882354
2023-07-09,99.6091628959276
2023-07-16,98.54949095022624
2023-07-23,100.66883484162896
2023-07-30,99.6091628959276
2023-08-06,99.6091628959276
2023-08-13,98.54949095022624
2023-08-20,92.1914592760181
2023-08-27,93.25113122171946
2023-09-03,90.07211538461539
2023-09-10,98.54949095022624
2023-09-17,93.25113122171946
2023-09-24,92.1914592760181
2023-10-01,99.6091628959276
2023-10-08,99.6091628959276
2023-10-15,93.25113122171946
2023-10-22,78.41572398190046
2023-10-29,87.95277149321267
2023-11-05,85.83342760180996
2023-11-12,75.23670814479638
2023-11-19,83.71408371040724
2023-11-26,85.83342760180996
2023-12-03,86.89309954751131
2023-12-10,89.01244343891403
2023-12-17,92.1914592760181
2023-12-24,92.1914592760181
2023-12-31,93.25113122171946
2024-01-07,93.57078814692663
2024-01-14,86.21128795559532
2024-01-21,83.05721644502476
2024-01-28,94.62214531711682
2024-02-04,92.51943097673644
2024-02-11,86.21128795559532
2024-02-18,92.51943097673644
2024-02-25,89.36535946616588
2024-03-03,90.41671663635607
2024-03-10,89.36535946616588
2024-03-17,92.51943097673644
2024-03-24,86.21128795559532
2024-03-31,91.46807380654626
2024-04-07,87.26264512578551
2024-04-14,88.3140022959757
2024-04-21,84.10857361521495
2024-04-28,87.26264512578551
2024-05-05,88.3140022959757
2024-05-12,89.36535946616588
2024-05-19,95.673502487307
2024-05-26,89.36535946616588
2024-06-02,90.41671663635607
2024-06-09,92.51943097673644
2024-06-16,92.51943097673644
2024-06-23,91.46807380654626
2024-06-30,100.93028833825795
2024-07-07,100.93028833825795
2024-07-14,100.93028833825795
2024-07-21,100.93028833825795
2024-07-28,101.98164550844814
2024-08-04,96.72485965749719
2024-08-11,98.82757399787756
2024-08-18,95.673502487307
2024-08-25,95.673502487307
2024-09-01,94.62214531711682
2024-09-08,97.77621682768738
2024-09-15,96.72485965749719
2024-09-22,105.1357170190187
2024-09-29,91.46807380654626
2024-10-06,84.10857361521495
2024-10-13,90.41671663635607
2024-10-20,90.41671663635607
2024-10-27,78.85178776426402
2024-11-03,87.26264512578551
2024-11-10,89.36535946616588
2024-11-17,88.3140022959757
2024-11-24,88.3140022959757
2024-12-01,88.3140022959757
2024-12-08,90.41671663635607
2024-12-15,89.36535946616588
2024-12-22,91.46807380654626
2024-12-29,90.41671663635607
2025-01-05,90.41671663635607
2025-01-12,85.15993078540514
2025-01-19,89.36535946616588
2025-01-26,88.3140022959757
2025-02-02,87.26264512578551
2025-02-09,88.3140022959757
2025-02-16,87.26264512578551
2025-02-23,87.26264512578551
2025-03-02,87.26264512578551
2025-03-09,77.80043059407383
2025-03-16,84.10857361521495
2025-03-23,87.26264512578551
2025-03-30,83.05721644502476
2025-04-06,85.15993078540514
2025-04-13,86.21128795559532
2025-04-20,91.46807380654626
2025-04-27,85.15993078540514
2025-05-04,73.59500191331308
2025-05-11,84.10857361521495
2025-05-18,83.05721644502476
2025-05-25,88.3140022959757
2025-06-01,82.00585927483458
2025-06-08,85.15993078540514
2025-06-15,89.36535946616588
2025-06-22,88.3140022959757
2025-06-29,87.26264512578551
2025-07-06,86.21128795559532
2025-07-13,94.62214531711682
2025-07-20,92.51943097673644
2025-07-27,90.41671663635607
2025-08-03,86.21128795559532
2025-08-10,83.05721644502476
2025-08-17,88.3140022959757
2025-08-24,90.41671663635607
2025-08-31,88.3140022959757
2025-09-07,98.82757399787756
2025-09-14,95.673502487307
2025-09-21,92.51943097673644
2025-09-28,85.15993078540514
2025-10-05,92.51943097673644
2025-10-12,99.87893116806775
2025-10-19,76.74907342388364
2025-10-26,94.62214531711682
2025-11-02,89.36535946616588
2025-11-09,91.46807380654626
2025-11-16,88.3140022959757
2025-11-23,77.80043059407383
2025-11-30,88.3140022959757
2025-12-07,87.26264512578551
2025-12-14,87.26264512578551
2025-12-21,85.15993078540514
2025-12-28,87.26264512578551
2026-01-04,84.10857361521495
