,Advertising & Marketing
2025-07-13,93.59235348512158
2025-07-20,87.74283139230148
2025-07-27,93.59235348512158
2025-08-03,90.66759243871152
2025-08-10,84.81807034589143
2025-08-17,90.66759243871152
2025-08-24,86.28045086909646
2025-08-31,83.3556898226864
2025-09-07,87.74283139230148
2025-09-14,87.74283139230148
2025-09-21,81.89330929948139
2025-09-28,73.11902616025124
2025-10-05,81.89330929948139
2025-10-12,83.3556898226864
2025-10-19,68.73188459063616
2025-10-26,80.43092877627636
2025-11-02,81.89330929948139
2025-11-09,81.89330929948139
2025-11-16,83.3556898226864
2025-11-23,134.53900813486226
2025-11-30,128.68948604204218
2025-12-07,146.23805232050248
2025-12-14,116.99044185640197
2025-12-21,97.97949505473665
2025-12-28,96.51711453153163
2026-01-04,102.36663662435173
