,Manufacturing
2025-05-11,90.15696672539036
2025-05-18,129.180131427425
2025-05-25,117.0694941061039
2025-06-01,134.56263690356772
2025-06-08,115.72386773706823
2025-06-15,118.41512047513959
2025-06-22,119.76074684417526
2025-06-29,121.10637321321094
2025-07-06,107.65010952285417
2025-07-13,122.45199958224661
2025-07-20,108.99573589188985
2025-07-27,115.72386773706823
2025-08-03,108.99573589188985
2025-08-10,113.03261499899688
2025-08-17,121.10637321321094
2025-08-24,102.26760404671145
2025-08-31,110.34136226092552
2025-09-07,122.45199958224661
2025-09-14,103.61323041574714
2025-09-21,115.72386773706823
2025-09-28,104.95885678478281
2025-10-05,114.37824136803256
2025-10-12,111.6869886299612
2025-10-19,103.61323041574714
2025-10-26,110.34136226092552
2025-11-02,106.3044831538185
2025-11-09,114.37824136803256
2025-11-16,113.03261499899688
2025-11-23,94.1938458324974
2025-11-30,82.08320851117631
2025-12-07,108.99573589188985
2025-12-14,110.34136226092552
2025-12-21,108.99573589188985
2025-12-28,100.92197767767578
