,Agricultural Equipment
2018-08-19,67.0
2018-08-26,70.0
2018-09-02,76.0
2018-09-09,80.0
2018-09-16,65.0
2018-09-23,77.0
2018-09-30,90.0
2018-10-07,78.0
2018-10-14,74.0
2018-10-21,78.0
2018-10-28,77.0
2018-11-04,71.0
2018-11-11,76.0
2018-11-18,61.0
2018-11-25,73.0
2018-12-02,73.0
2018-12-09,76.0
2018-12-16,70.0
2018-12-23,84.0
2018-12-30,66.0
2019-01-06,86.0
2019-01-13,55.0
2019-01-20,62.0
2019-01-27,68.0
2019-02-03,64.0
2019-02-10,75.0
2019-02-17,75.0
2019-02-24,65.0
2019-03-03,71.0
2019-03-10,84.0
2019-03-17,85.0
2019-03-24,84.0
2019-03-31,73.0
2019-04-07,45.0
2019-04-14,56.0
2019-04-21,45.0
2019-04-28,60.0
2019-05-05,60.0
2019-05-12,52.0
2019-05-19,53.0
2019-05-26,60.0
2019-06-02,64.0
2019-06-09,64.0
2019-06-16,66.0
2019-06-23,67.0
2019-06-30,63.0
2019-07-07,68.0
2019-07-14,65.0
2019-07-21,76.0
2019-07-28,72.0
2019-08-04,55.0
2019-08-11,60.0
2019-08-18,74.0
2019-08-25,66.0
2019-09-01,67.0
2019-09-08,78.0
2019-09-15,100.0
2019-09-22,78.0
2019-09-29,64.0
2019-10-06,77.0
2019-10-13,77.0
2019-10-20,70.0
2019-10-27,77.0
2019-11-03,76.0
2019-11-10,77.0
2019-11-17,64.0
2019-11-24,80.0
2019-12-01,70.0
2019-12-08,65.0
2019-12-15,65.0
2019-12-22,76.0
2019-12-29,74.0
2020-01-05,78.36799350121852
2020-01-12,72.56295694557271
2020-01-19,71.11169780666125
2020-01-26,68.20917952883835
2020-02-02,65.30666125101544
2020-02-09,58.05036555645817
2020-02-16,74.01421608448416
2020-02-23,84.17303005686435
2020-03-01,75.46547522339561
2020-03-08,69.6604386677498
2020-03-15,46.440292445166534
2020-03-22,52.24532900081235
2020-03-29,55.14784727863526
2020-04-05,63.85540211210399
2020-04-12,65.30666125101544
2020-04-19,78.36799350121852
2020-04-26,72.56295694557271
2020-05-03,79.81925264012997
2020-05-10,88.52680747359871
2020-05-17,89.97806661251016
2020-05-24,78.36799350121852
2020-05-31,78.36799350121852
2020-06-07,82.7217709179529
2020-06-14,92.88058489033307
2020-06-21,95.78310316815598
2020-06-28,92.88058489033307
2020-07-05,78.36799350121852
2020-07-12,81.27051177904144
2020-07-19,103.03939886271324
2020-07-26,103.03939886271324
2020-08-02,94.33184402924452
2020-08-09,104.4906580016247
2020-08-16,95.78310316815598
2020-08-23,92.88058489033307
2020-08-30,100.13688058489033
2020-09-06,108.84443541835907
2020-09-13,101.58813972380179
2020-09-20,111.74695369618198
2020-09-27,103.03939886271324
2020-10-04,89.97806661251016
2020-10-11,111.74695369618198
2020-10-18,110.29569455727052
2020-10-25,103.03939886271324
2020-11-01,97.23436230706743
2020-11-08,101.58813972380179
2020-11-15,110.29569455727052
2020-11-22,101.58813972380179
2020-11-29,101.58813972380179
2020-12-06,116.10073111291634
2020-12-13,114.64947197400488
2020-12-20,101.58813972380179
2020-12-27,108.84443541835907
2021-01-03,100.13688058489033
2021-01-10,111.74695369618198
2021-01-17,101.58813972380179
2021-01-24,85.6242891957758
2021-01-31,88.52680747359871
2021-02-07,107.39317627944762
2021-02-14,92.88058489033307
2021-02-21,104.4906580016247
2021-02-28,104.4906580016247
2021-03-07,107.39317627944762
2021-03-14,104.4906580016247
2021-03-21,108.84443541835907
2021-03-28,110.29569455727052
2021-04-04,104.4906580016247
2021-04-11,87.07554833468726
2021-04-18,107.39317627944762
2021-04-25,97.23436230706743
2021-05-02,111.74695369618198
2021-05-09,127.71080422420798
2021-05-16,111.74695369618198
2021-05-23,101.58813972380179
2021-05-30,103.03939886271324
2021-06-06,108.84443541835907
2021-06-13,104.4906580016247
2021-06-20,134.96709991876523
2021-06-27,111.74695369618198
2021-07-04,121.90576766856215
2021-07-11,126.25954508529651
2021-07-18,129.16206336311942
2021-07-25,137.86961819658814
2021-08-01,111.74695369618198
2021-08-08,120.4545085296507
2021-08-15,119.00324939073924
2021-08-22,110.29569455727052
2021-08-29,126.25954508529651
2021-09-05,113.19821283509343
2021-09-12,140.77213647441107
2021-09-19,132.06458164094232
2021-09-26,145.12591389114542
2021-10-03,145.12591389114542
2021-10-10,132.06458164094232
2021-10-17,121.90576766856215
2021-10-24,116.10073111291634
2021-10-31,129.16206336311942
2021-11-07,108.84443541835907
2021-11-14,111.74695369618198
2021-11-21,105.94191714053616
2021-11-28,105.94191714053616
2021-12-05,92.88058489033307
2021-12-12,95.78310316815598
2021-12-19,103.03939886271324
2021-12-26,100.13688058489033
2022-01-02,105.94191714053616
2022-01-09,111.74695369618198
2022-01-16,87.07554833468726
2022-01-23,116.10073111291634
2022-01-30,126.25954508529651
2022-02-06,130.61332250203088
2022-02-13,126.25954508529651
2022-02-20,121.90576766856215
2022-02-27,119.00324939073924
2022-03-06,117.55199025182779
2022-03-13,121.90576766856215
2022-03-20,111.74695369618198
2022-03-27,105.94191714053616
2022-04-03,89.97806661251016
2022-04-10,85.6242891957758
2022-04-17,119.00324939073924
2022-04-24,119.00324939073924
2022-05-01,114.64947197400488
2022-05-08,105.94191714053616
2022-05-15,103.03939886271324
2022-05-22,100.13688058489033
2022-05-29,111.74695369618198
2022-06-05,108.84443541835907
2022-06-12,108.84443541835907
2022-06-19,104.4906580016247
2022-06-26,111.74695369618198
2022-07-03,101.58813972380179
2022-07-10,95.78310316815598
2022-07-17,107.39317627944762
2022-07-24,91.42932575142162
2022-07-31,105.94191714053616
2022-08-07,123.3570268074736
2022-08-14,127.71080422420798
2022-08-21,126.25954508529651
2022-08-28,132.06458164094232
2022-09-04,121.90576766856215
2022-09-11,126.25954508529651
2022-09-18,129.16206336311942
2022-09-25,113.19821283509343
2022-10-02,113.19821283509343
2022-10-09,124.80828594638506
2022-10-16,129.16206336311942
2022-10-23,130.61332250203088
2022-10-30,127.71080422420798
2022-11-06,129.16206336311942
2022-11-13,130.61332250203088
2022-11-20,119.00324939073924
2022-11-27,126.25954508529651
2022-12-04,103.03939886271324
2022-12-11,104.4906580016247
2022-12-18,105.94191714053616
2022-12-25,105.94191714053616
2023-01-01,91.42932575142162
2023-01-08,92.88058489033307
2023-01-15,91.42932575142162
2023-01-22,91.42932575142162
2023-01-29,97.23436230706743
2023-02-05,85.6242891957758
2023-02-12,107.39317627944762
2023-02-19,105.94191714053616
2023-02-26,113.19821283509343
2023-03-05,100.13688058489033
2023-03-12,117.55199025182779
2023-03-19,121.90576766856215
2023-03-26,104.4906580016247
2023-04-02,123.3570268074736
2023-04-09,87.07554833468726
2023-04-16,105.94191714053616
2023-04-23,107.39317627944762
2023-04-30,97.23436230706743
2023-05-07,107.39317627944762
2023-05-14,111.74695369618198
2023-05-21,104.4906580016247
2023-05-28,94.33184402924452
2023-06-04,89.97806661251016
2023-06-11,103.03939886271324
2023-06-18,97.23436230706743
2023-06-25,101.58813972380179
2023-07-02,97.23436230706743
2023-07-09,110.29569455727052
2023-07-16,107.39317627944762
2023-07-23,84.17303005686435
2023-07-30,101.58813972380179
2023-08-06,95.78310316815598
2023-08-13,108.84443541835907
2023-08-20,105.94191714053616
2023-08-27,105.94191714053616
2023-09-03,104.4906580016247
2023-09-10,108.84443541835907
2023-09-17,107.39317627944762
2023-09-24,108.84443541835907
2023-10-01,110.29569455727052
2023-10-08,116.10073111291634
2023-10-15,121.90576766856215
2023-10-22,107.39317627944762
2023-10-29,116.10073111291634
2023-11-05,98.68562144597888
2023-11-12,110.29569455727052
2023-11-19,114.64947197400488
2023-11-26,101.58813972380179
2023-12-03,105.94191714053616
2023-12-10,108.84443541835907
2023-12-17,89.97806661251016
2023-12-24,95.78310316815598
2023-12-31,103.03939886271324
2024-01-07,101.80553199202537
2024-01-14,88.58403433072337
2024-01-21,89.90618409685356
2024-01-28,117.67132918558775
2024-02-04,132.21497661301996
2024-02-11,109.73843058880657
2024-02-18,101.80553199202537
2024-02-25,104.44983152428576
2024-03-03,111.06058035493676
2024-03-10,117.67132918558775
2024-03-17,105.77198129041597
2024-03-24,96.51693292750457
2024-03-31,93.87263339524416
2024-04-07,84.61758503233277
2024-04-14,88.58403433072337
2024-04-21,93.87263339524416
2024-04-28,103.12768175815556
2024-05-05,103.12768175815556
2024-05-12,111.06058035493676
2024-05-19,104.44983152428576
2024-05-26,103.12768175815556
2024-06-02,107.09413105654616
2024-06-09,97.83908269363477
2024-06-16,116.34917941945756
2024-06-23,88.58403433072337
2024-06-30,99.16123245976496
2024-07-07,87.26188456459317
2024-07-14,97.83908269363477
2024-07-21,103.12768175815556
2024-07-28,81.97328550007236
2024-08-04,99.16123245976496
2024-08-11,103.12768175815556
2024-08-18,84.61758503233277
2024-08-25,112.38273012106696
2024-09-01,108.41628082267636
2024-09-08,115.02702965332736
2024-09-15,81.97328550007236
2024-09-22,92.55048362911397
2024-09-29,87.26188456459317
2024-10-06,111.06058035493676
2024-10-13,113.70487988719717
2024-10-20,107.09413105654616
2024-10-27,105.77198129041597
2024-11-03,97.83908269363477
2024-11-10,108.41628082267636
2024-11-17,99.16123245976496
2024-11-24,108.41628082267636
2024-12-01,81.97328550007236
2024-12-08,85.93973479846296
2024-12-15,95.19478316137436
2024-12-22,97.83908269363477
2024-12-29,99.16123245976496
2025-01-05,103.12768175815556
2025-01-12,88.58403433072337
2025-01-19,95.19478316137436
2025-01-26,95.19478316137436
2025-02-02,112.38273012106696
2025-02-09,108.41628082267636
2025-02-16,109.73843058880657
2025-02-23,99.16123245976496
2025-03-02,109.73843058880657
2025-03-09,111.06058035493676
2025-03-16,113.70487988719717
2025-03-23,108.41628082267636
2025-03-30,116.34917941945756
2025-04-06,100.48338222589517
2025-04-13,87.26188456459317
2025-04-20,105.77198129041597
2025-04-27,108.41628082267636
2025-05-04,103.12768175815556
2025-05-11,87.26188456459317
2025-05-18,93.87263339524416
2025-05-25,105.77198129041597
2025-06-01,100.48338222589517
2025-06-08,103.12768175815556
2025-06-15,97.83908269363477
2025-06-22,97.83908269363477
2025-06-29,99.16123245976496
2025-07-06,87.26188456459317
2025-07-13,100.48338222589517
2025-07-20,112.38273012106696
2025-07-27,109.73843058880657
2025-08-03,96.51693292750457
2025-08-10,91.22833386298376
2025-08-17,96.51693292750457
2025-08-24,93.87263339524416
2025-08-31,75.36253666942137
2025-09-07,79.32898596781197
2025-09-14,85.93973479846296
2025-09-21,108.41628082267636
2025-09-28,87.26188456459317
2025-10-05,93.87263339524416
2025-10-12,96.51693292750457
2025-10-19,95.19478316137436
2025-10-26,100.48338222589517
2025-11-02,92.55048362911397
2025-11-09,99.16123245976496
2025-11-16,89.90618409685356
2025-11-23,76.68468643555157
2025-11-30,76.68468643555157
2025-12-07,71.39608737103077
2025-12-14,85.93973479846296
2025-12-21,97.83908269363477
2025-12-28,88.58403433072337
