,Architecture
2019-05-05,61.0
2019-05-12,66.0
2019-05-19,61.0
2019-05-26,61.0
2019-06-02,73.0
2019-06-09,66.0
2019-06-16,75.0
2019-06-23,78.0
2019-06-30,70.0
2019-07-07,68.0
2019-07-14,64.0
2019-07-21,76.0
2019-07-28,68.0
2019-08-04,81.0
2019-08-11,65.0
2019-08-18,68.0
2019-08-25,59.0
2019-09-01,63.0
2019-09-08,71.0
2019-09-15,78.0
2019-09-22,74.0
2019-09-29,62.0
2019-10-06,65.0
2019-10-13,68.0
2019-10-20,55.0
2019-10-27,68.0
2019-11-03,62.0
2019-11-10,60.0
2019-11-17,73.0
2019-11-24,62.0
2019-12-01,57.0
2019-12-08,53.0
2019-12-15,62.0
2019-12-22,67.0
2019-12-29,72.0
2020-01-05,79.37259989621174
2020-01-12,81.2184743124027
2020-01-19,69.2202906071614
2020-01-26,59.06798131811106
2020-02-02,59.99091852620654
2020-02-09,62.759730150493
2020-02-16,75.68085106382979
2020-02-23,66.45147898287495
2020-03-01,57.222106901920085
2020-03-08,58.145044110015576
2020-03-15,53.530358069538146
2020-03-22,49.838609237156206
2020-03-29,50.76154644525169
2020-04-05,57.222106901920085
2020-04-12,57.222106901920085
2020-04-19,54.453295277633636
2020-04-26,58.145044110015576
2020-05-03,57.222106901920085
2020-05-10,49.838609237156206
2020-05-17,59.99091852620654
2020-05-24,68.29735339906591
2020-05-31,58.145044110015576
2020-06-07,59.99091852620654
2020-06-14,66.45147898287495
2020-06-21,72.91203943954334
2020-06-28,64.60560456668397
2020-07-05,68.29735339906591
2020-07-12,63.68266735858848
2020-07-19,70.14322781525688
2020-07-26,70.14322781525688
2020-08-02,69.2202906071614
2020-08-09,63.68266735858848
2020-08-16,70.14322781525688
2020-08-23,59.99091852620654
2020-08-30,57.222106901920085
2020-09-06,71.06616502335237
2020-09-13,69.2202906071614
2020-09-20,67.37441619097042
2020-09-27,58.145044110015576
2020-10-04,61.836792942397516
2020-10-11,65.52854177477946
2020-10-18,69.2202906071614
2020-10-25,63.68266735858848
2020-11-01,62.759730150493
2020-11-08,61.836792942397516
2020-11-15,74.75791385573432
2020-11-22,65.52854177477946
2020-11-29,64.60560456668397
2020-12-06,62.759730150493
2020-12-13,77.52672548002076
2020-12-20,62.759730150493
2020-12-27,80.29553710430721
2021-01-03,70.14322781525688
2021-01-10,68.29735339906591
2021-01-17,63.68266735858848
2021-01-24,64.60560456668397
2021-01-31,54.453295277633636
2021-02-07,59.99091852620654
2021-02-14,65.52854177477946
2021-02-21,54.453295277633636
2021-02-28,60.91385573430203
2021-03-07,61.836792942397516
2021-03-14,57.222106901920085
2021-03-21,74.75791385573432
2021-03-28,79.37259989621174
2021-04-04,63.68266735858848
2021-04-11,53.530358069538146
2021-04-18,60.91385573430203
2021-04-25,63.68266735858848
2021-05-02,59.06798131811106
2021-05-09,73.83497664763883
2021-05-16,69.2202906071614
2021-05-23,57.222106901920085
2021-05-30,69.2202906071614
2021-06-06,65.52854177477946
2021-06-13,66.45147898287495
2021-06-20,68.29735339906591
2021-06-27,60.91385573430203
2021-07-04,65.52854177477946
2021-07-11,75.68085106382979
2021-07-18,80.29553710430721
2021-07-25,69.2202906071614
2021-08-01,67.37441619097042
2021-08-08,55.37623248572912
2021-08-15,71.98910223144786
2021-08-22,64.60560456668397
2021-08-29,77.52672548002076
2021-09-05,64.60560456668397
2021-09-12,69.2202906071614
2021-09-19,78.44966268811625
2021-09-26,70.14322781525688
2021-10-03,68.29735339906591
2021-10-10,61.836792942397516
2021-10-17,49.838609237156206
2021-10-24,52.60742086144266
2021-10-31,68.29735339906591
2021-11-07,63.68266735858848
2021-11-14,54.453295277633636
2021-11-21,62.759730150493
2021-11-28,59.99091852620654
2021-12-05,58.145044110015576
2021-12-12,53.530358069538146
2021-12-19,60.91385573430203
2021-12-26,75.68085106382979
2022-01-02,82.1414115204982
2022-01-09,77.52672548002076
2022-01-16,67.37441619097042
2022-01-23,76.60378827192528
2022-01-30,83.06434872859367
2022-02-06,79.37259989621174
2022-02-13,84.91022314478465
2022-02-20,79.37259989621174
2022-02-27,82.1414115204982
2022-03-06,89.52490918526208
2022-03-13,75.68085106382979
2022-03-20,76.60378827192528
2022-03-27,65.52854177477946
2022-04-03,68.29735339906591
2022-04-10,59.06798131811106
2022-04-17,74.75791385573432
2022-04-24,74.75791385573432
2022-05-01,74.75791385573432
2022-05-08,63.68266735858848
2022-05-15,68.29735339906591
2022-05-22,68.29735339906591
2022-05-29,70.14322781525688
2022-06-05,69.2202906071614
2022-06-12,67.37441619097042
2022-06-19,71.06616502335237
2022-06-26,76.60378827192528
2022-07-03,69.2202906071614
2022-07-10,71.98910223144786
2022-07-17,72.91203943954334
2022-07-24,69.2202906071614
2022-07-31,72.91203943954334
2022-08-07,66.45147898287495
2022-08-14,77.52672548002076
2022-08-21,74.75791385573432
2022-08-28,83.06434872859367
2022-09-04,90.44784639335757
2022-09-11,71.06616502335237
2022-09-18,90.44784639335757
2022-09-25,73.83497664763883
2022-10-02,79.37259989621174
2022-10-09,73.83497664763883
2022-10-16,71.98910223144786
2022-10-23,71.06616502335237
2022-10-30,68.29735339906591
2022-11-06,70.14322781525688
2022-11-13,78.44966268811625
2022-11-20,71.98910223144786
2022-11-27,71.98910223144786
2022-12-04,60.91385573430203
2022-12-11,70.14322781525688
2022-12-18,71.98910223144786
2022-12-25,66.45147898287495
2023-01-01,68.29735339906591
2023-01-08,78.44966268811625
2023-01-15,72.91203943954334
2023-01-22,70.14322781525688
2023-01-29,68.29735339906591
2023-02-05,69.2202906071614
2023-02-12,71.06616502335237
2023-02-19,74.75791385573432
2023-02-26,71.06616502335237
2023-03-05,81.2184743124027
2023-03-12,64.60560456668397
2023-03-19,71.98910223144786
2023-03-26,79.37259989621174
2023-04-02,65.52854177477946
2023-04-09,62.759730150493
2023-04-16,74.75791385573432
2023-04-23,61.836792942397516
2023-04-30,70.14322781525688
2023-05-07,68.29735339906591
2023-05-14,66.45147898287495
2023-05-21,66.45147898287495
2023-05-28,72.91203943954334
2023-06-04,67.37441619097042
2023-06-11,82.1414115204982
2023-06-18,71.06616502335237
2023-06-25,75.68085106382979
2023-07-02,71.06616502335237
2023-07-09,76.60378827192528
2023-07-16,81.2184743124027
2023-07-23,78.44966268811625
2023-07-30,65.52854177477946
2023-08-06,72.91203943954334
2023-08-13,77.52672548002076
2023-08-20,71.06616502335237
2023-08-27,74.75791385573432
2023-09-03,73.83497664763883
2023-09-10,63.68266735858848
2023-09-17,72.91203943954334
2023-09-24,73.83497664763883
2023-10-01,66.45147898287495
2023-10-08,67.37441619097042
2023-10-15,69.2202906071614
2023-10-22,71.98910223144786
2023-10-29,65.52854177477946
2023-11-05,68.29735339906591
2023-11-12,63.68266735858848
2023-11-19,70.14322781525688
2023-11-26,70.14322781525688
2023-12-03,71.98910223144786
2023-12-10,66.45147898287495
2023-12-17,67.37441619097042
2023-12-24,67.37441619097042
2023-12-31,88.60197197716658
2024-01-07,78.81478070450565
2024-01-14,77.77774411628847
2024-01-21,72.59256117520258
2024-01-28,79.85181729272284
2024-02-04,79.85181729272284
2024-02-11,76.7407075280713
2024-02-18,77.77774411628847
2024-02-25,77.77774411628847
2024-03-03,73.62959776341975
2024-03-10,77.77774411628847
2024-03-17,76.7407075280713
2024-03-24,76.7407075280713
2024-03-31,77.77774411628847
2024-04-07,61.1851587048136
2024-04-14,52.88886599907617
2024-04-21,78.81478070450565
2024-04-28,77.77774411628847
2024-05-05,70.51848799876822
2024-05-12,72.59256117520258
2024-05-19,58.074048940162065
2024-05-26,77.77774411628847
2024-06-02,85.03700023380874
2024-06-09,77.77774411628847
2024-06-16,76.7407075280713
2024-06-23,69.48145141055105
2024-06-30,82.96292705737437
2024-07-07,78.81478070450565
2024-07-14,75.70367093985412
2024-07-21,77.77774411628847
2024-07-28,76.7407075280713
2024-08-04,78.81478070450565
2024-08-11,85.03700023380874
2024-08-18,69.48145141055105
2024-08-25,68.44441482233385
2024-09-01,68.44441482233385
2024-09-08,80.88885388094002
2024-09-15,64.29626846946515
2024-09-22,65.33330505768232
2024-09-29,64.29626846946515
2024-10-06,72.59256117520258
2024-10-13,80.88885388094002
2024-10-20,80.88885388094002
2024-10-27,72.59256117520258
2024-11-03,75.70367093985412
2024-11-10,68.44441482233385
2024-11-17,65.33330505768232
2024-11-24,71.5555245869854
2024-12-01,83.99996364559155
2024-12-08,73.62959776341975
2024-12-15,75.70367093985412
2024-12-22,71.5555245869854
2024-12-29,71.5555245869854
2025-01-05,80.88885388094002
2025-01-12,80.88885388094002
2025-01-19,76.7407075280713
2025-01-26,68.44441482233385
2025-02-02,80.88885388094002
2025-02-09,74.66663435163694
2025-02-16,83.99996364559155
2025-02-23,79.85181729272284
2025-03-02,103.70365882171797
2025-03-09,80.88885388094002
2025-03-16,79.85181729272284
2025-03-23,71.5555245869854
2025-03-30,67.40737823411668
2025-04-06,61.1851587048136
2025-04-13,67.40737823411668
2025-04-20,81.9258904691572
2025-04-27,79.85181729272284
2025-05-04,71.5555245869854
2025-05-11,73.62959776341975
2025-05-18,66.3703416458995
2025-05-25,73.62959776341975
2025-06-01,76.7407075280713
2025-06-08,77.77774411628847
2025-06-15,95.40736611598054
2025-06-22,79.85181729272284
2025-06-29,76.7407075280713
2025-07-06,69.48145141055105
2025-07-13,85.03700023380874
2025-07-20,76.7407075280713
2025-07-27,70.51848799876822
2025-08-03,69.48145141055105
2025-08-10,74.66663435163694
2025-08-17,75.70367093985412
2025-08-24,85.03700023380874
2025-08-31,62.22219529303078
2025-09-07,61.1851587048136
2025-09-14,80.88885388094002
2025-09-21,67.40737823411668
2025-09-28,61.1851587048136
2025-10-05,71.5555245869854
2025-10-12,70.51848799876822
2025-10-19,71.5555245869854
2025-10-26,62.22219529303078
2025-11-02,59.11108552837924
2025-11-09,78.81478070450565
2025-11-16,71.5555245869854
2025-11-23,53.92590258729334
2025-11-30,65.33330505768232
2025-12-07,72.59256117520258
2025-12-14,66.3703416458995
2025-12-21,72.59256117520258
2025-12-28,80.88885388094002
