,Jobs
2023-12-03,105.98370057349833
2023-12-10,103.39873226682764
2023-12-17,95.64382734681557
2023-12-24,87.88892242680349
2023-12-31,120.20102626018713
2024-01-07,116.32357380018108
2024-01-14,108.568668880169
2024-01-21,103.39873226682762
2024-01-28,118.90854210685177
2024-02-04,116.32357380018108
2024-02-11,107.27618472683366
2024-02-18,102.10624811349227
2024-02-25,107.27618472683366
2024-03-03,94.3513431934802
2024-03-10,102.10624811349227
2024-03-17,100.81376396015693
2024-03-24,95.64382734681556
2024-03-31,87.88892242680348
2024-04-07,65.91669182010261
2024-04-14,78.84153335345606
2024-04-21,93.05885904014485
2024-04-28,99.52127980682158
2024-05-05,102.10624811349227
2024-05-12,103.39873226682762
2024-05-19,77.54904920012072
2024-05-26,108.568668880169
2024-06-02,108.568668880169
2024-06-09,115.03108964684573
2024-06-16,99.52127980682158
2024-06-23,105.98370057349831
2024-06-30,115.03108964684573
2024-07-07,105.98370057349831
2024-07-14,102.10624811349227
2024-07-21,109.86115303350435
2024-07-28,102.10624811349227
2024-08-04,104.69121642016297
2024-08-11,107.27618472683366
2024-08-18,85.30395412013279
2024-08-25,94.3513431934802
2024-09-01,87.88892242680348
2024-09-08,99.52127980682158
2024-09-15,71.08662843344399
2024-09-22,98.22879565348624
2024-09-29,93.05885904014485
2024-10-06,96.9363115001509
2024-10-13,91.76637488680952
2024-10-20,95.64382734681556
2024-10-27,96.9363115001509
2024-11-03,94.3513431934802
2024-11-10,80.13401750679141
2024-11-17,87.88892242680348
2024-11-24,89.18140658013883
2024-12-01,93.05885904014485
2024-12-08,100.81376396015693
2024-12-15,98.22879565348624
2024-12-22,90.47389073347416
2024-12-29,111.15363718683969
2025-01-05,112.44612134017504
2025-01-12,102.10624811349227
2025-01-19,109.86115303350435
2025-01-26,104.69121642016297
2025-02-02,105.98370057349831
2025-02-09,93.05885904014485
2025-02-16,104.69121642016297
2025-02-23,96.9363115001509
2025-03-02,95.64382734681556
2025-03-09,94.3513431934802
2025-03-16,98.22879565348624
2025-03-23,91.76637488680952
2025-03-30,81.42650166012675
2025-04-06,71.08662843344399
2025-04-13,50.40688198007847
2025-04-20,90.47389073347416
2025-04-27,99.52127980682158
2025-05-04,93.05885904014485
2025-05-11,95.64382734681556
2025-05-18,112.44612134017504
2025-05-25,98.22879565348624
2025-06-01,100.81376396015693
2025-06-08,84.01146996679745
2025-06-15,96.9363115001509
2025-06-22,96.9363115001509
2025-06-29,95.64382734681556
2025-07-06,86.59643827346814
2025-07-13,98.22879565348624
2025-07-20,93.05885904014485
2025-07-27,89.18140658013883
2025-08-03,82.7189858134621
2025-08-10,89.18140658013883
2025-08-17,91.76637488680952
2025-08-24,84.01146996679745
2025-08-31,77.54904920012072
2025-09-07,78.84153335345606
2025-09-14,84.01146996679745
2025-09-21,78.84153335345606
2025-09-28,76.25656504678537
2025-10-05,78.84153335345606
2025-10-12,78.84153335345606
2025-10-19,74.96408089345003
2025-10-26,78.84153335345606
2025-11-02,74.96408089345003
2025-11-09,72.37911258677934
2025-11-16,89.18140658013883
2025-11-23,69.79414428010864
2025-11-30,58.16178690009054
2025-12-07,80.13401750679141
2025-12-14,84.01146996679745
2025-12-21,76.25656504678537
2025-12-28,86.59643827346814
2026-01-04,109.86115303350435
