,Aviation
2024-03-17,67.76391204254982
2024-03-24,72.84620544574106
2024-03-31,72.84620544574106
2024-04-07,50.82293403191237
2024-04-14,72.84620544574106
2024-04-21,67.76391204254982
2024-04-28,59.29342303723109
2024-05-05,71.15210764467732
2024-05-12,72.84620544574106
2024-05-19,74.5403032468048
2024-05-26,74.5403032468048
2024-06-02,74.5403032468048
2024-06-09,76.23440104786854
2024-06-16,74.5403032468048
2024-06-23,69.45800984361357
2024-06-30,81.31669445105979
2024-07-07,81.31669445105979
2024-07-14,91.48128125744226
2024-07-21,84.70489005318727
2024-07-28,84.70489005318727
2024-08-04,96.56357466063349
2024-08-11,89.78718345637851
2024-08-18,89.78718345637851
2024-08-25,72.84620544574106
2024-09-01,72.84620544574106
2024-09-08,89.78718345637851
2024-09-15,72.84620544574106
2024-09-22,67.76391204254982
2024-09-29,83.01079225212354
2024-10-06,84.70489005318727
2024-10-13,76.23440104786854
2024-10-20,79.62259664999604
2024-10-27,77.92849884893229
2024-11-03,71.15210764467732
2024-11-10,69.45800984361357
2024-11-17,76.23440104786854
2024-11-24,98.25767246169724
2024-12-01,77.92849884893229
2024-12-08,71.15210764467732
2024-12-15,77.92849884893229
2024-12-22,67.76391204254982
2024-12-29,105.03406366595222
2025-01-05,83.01079225212354
2025-01-12,84.70489005318727
2025-01-19,83.01079225212354
2025-01-26,94.86947685956974
2025-02-02,79.62259664999604
2025-02-09,74.5403032468048
2025-02-16,79.62259664999604
2025-02-23,93.17537905850601
2025-03-02,79.62259664999604
2025-03-09,81.31669445105979
2025-03-16,71.15210764467732
2025-03-23,83.01079225212354
2025-03-30,72.84620544574106
2025-04-06,72.84620544574106
2025-04-13,72.84620544574106
2025-04-20,71.15210764467732
2025-04-27,83.01079225212354
2025-05-04,83.01079225212354
2025-05-11,77.92849884893229
2025-05-18,86.39898785425102
2025-05-25,79.62259664999604
2025-06-01,110.11635706914346
2025-06-08,169.40978010637454
2025-06-15,162.63338890211958
2025-06-22,130.4455306819084
2025-06-29,99.95177026276099
2025-07-06,93.17537905850601
2025-07-13,86.39898785425102
2025-07-20,79.62259664999604
2025-07-27,84.70489005318727
2025-08-03,79.62259664999604
2025-08-10,89.78718345637851
2025-08-17,79.62259664999604
2025-08-24,77.92849884893229
2025-08-31,84.70489005318727
2025-09-07,74.5403032468048
2025-09-14,83.01079225212354
2025-09-21,84.70489005318727
2025-09-28,79.62259664999604
2025-10-05,60.98752083829484
2025-10-12,83.01079225212354
2025-10-19,72.84620544574106
2025-10-26,81.31669445105979
2025-11-02,72.84620544574106
2025-11-09,71.15210764467732
2025-11-16,81.31669445105979
2025-11-23,77.92849884893229
2025-11-30,66.06981424148607
2025-12-07,81.31669445105979
2025-12-14,79.62259664999604
2025-12-21,71.15210764467732
2025-12-28,69.45800984361357
