,Building Materials & Supplies
2023-05-28,96.67128507100797
2023-06-04,102.80914444059579
2023-06-11,107.41253896778665
2023-06-18,102.80914444059579
2023-06-25,102.80914444059579
2023-07-02,96.67128507100797
2023-07-09,118.1537928645653
2023-07-16,115.0848631797714
2023-07-23,105.87807412538969
2023-07-30,105.87807412538969
2023-08-06,108.94700381018359
2023-08-13,110.48146865258055
2023-08-20,105.87807412538969
2023-08-27,107.41253896778665
2023-09-03,116.61932802216836
2023-09-10,112.0159334949775
2023-09-17,108.94700381018359
2023-09-24,104.34360928299273
2023-10-01,107.41253896778665
2023-10-08,113.55039833737445
2023-10-15,99.74021475580189
2023-10-22,101.27467959819883
2023-10-29,98.20574991340493
2023-11-05,98.20574991340493
2023-11-12,107.41253896778665
2023-11-19,107.41253896778665
2023-11-26,98.20574991340493
2023-12-03,108.94700381018359
2023-12-10,107.41253896778665
2023-12-17,107.41253896778665
2023-12-24,105.87807412538969
2023-12-31,102.80914444059579
2024-01-07,104.89793889830874
2024-01-14,102.20824815732647
2024-01-21,102.20824815732647
2024-01-28,110.27732038027328
2024-02-04,108.93247500978215
2024-02-11,117.00154723272897
2024-02-18,115.65670186223784
2024-02-25,119.69123797371125
2024-03-03,118.34639260322011
2024-03-10,122.38092871469352
2024-03-17,126.41546482616694
2024-03-24,111.62216575076442
2024-03-31,119.69123797371125
2024-04-07,100.86340278683532
2024-04-14,94.13917593437964
2024-04-21,129.1051555671492
2024-04-28,129.1051555671492
2024-05-05,134.48453704911375
2024-05-12,114.3118564917467
2024-05-19,102.20824815732647
2024-05-26,121.03608334420238
2024-06-02,119.69123797371125
2024-06-09,126.41546482616694
2024-06-16,102.20824815732647
2024-06-23,108.93247500978215
2024-06-30,122.38092871469352
2024-07-07,117.00154723272897
2024-07-14,118.34639260322011
2024-07-21,122.38092871469352
2024-07-28,114.3118564917467
2024-08-04,122.38092871469352
2024-08-11,119.69123797371125
2024-08-18,112.96701112125555
2024-08-25,117.00154723272897
2024-09-01,112.96701112125555
2024-09-08,112.96701112125555
2024-09-15,98.17371204585305
2024-09-22,99.51855741634418
2024-09-29,106.24278426879987
2024-10-06,117.00154723272897
2024-10-13,110.27732038027328
2024-10-20,108.93247500978215
2024-10-27,114.3118564917467
2024-11-03,108.93247500978215
2024-11-10,108.93247500978215
2024-11-17,112.96701112125555
2024-11-24,110.27732038027328
2024-12-01,107.58762963929101
2024-12-08,112.96701112125555
2024-12-15,118.34639260322011
2024-12-22,115.65670186223784
2024-12-29,119.69123797371125
2025-01-05,117.00154723272897
2025-01-12,106.24278426879987
2025-01-19,123.72577408518467
2025-01-26,114.3118564917467
2025-02-02,111.62216575076442
2025-02-09,112.96701112125555
2025-02-16,112.96701112125555
2025-02-23,117.00154723272897
2025-03-02,115.65670186223784
2025-03-09,115.65670186223784
2025-03-16,121.03608334420238
2025-03-23,125.0706194556758
2025-03-30,129.1051555671492
2025-04-06,108.93247500978215
2025-04-13,86.07010371143281
2025-04-20,119.69123797371125
2025-04-27,111.62216575076442
2025-05-04,111.62216575076442
2025-05-11,106.24278426879987
2025-05-18,125.0706194556758
2025-05-25,119.69123797371125
2025-06-01,127.76031019665807
2025-06-08,118.34639260322011
2025-06-15,121.03608334420238
2025-06-22,123.72577408518467
2025-06-29,129.1051555671492
2025-07-06,123.72577408518467
2025-07-13,119.69123797371125
2025-07-20,130.45000093764034
2025-07-27,118.34639260322011
2025-08-03,114.3118564917467
2025-08-10,117.00154723272897
2025-08-17,122.38092871469352
2025-08-24,122.38092871469352
2025-08-31,114.3118564917467
2025-09-07,110.27732038027328
2025-09-14,112.96701112125555
2025-09-21,114.3118564917467
2025-09-28,114.3118564917467
2025-10-05,110.27732038027328
2025-10-12,110.27732038027328
2025-10-19,111.62216575076442
2025-10-26,108.93247500978215
2025-11-02,106.24278426879987
2025-11-09,118.34639260322011
2025-11-16,118.34639260322011
2025-11-23,118.34639260322011
2025-11-30,100.86340278683532
2025-12-07,115.65670186223784
2025-12-14,114.3118564917467
2025-12-21,122.38092871469352
2025-12-28,121.03608334420238
