,Welfare & Unemployment
2023-03-19,48.55901557006529
2023-03-26,37.353088900050224
2023-04-02,32.372677046710194
2023-04-09,31.127574083375187
2023-04-16,37.353088900050224
2023-04-23,42.333500753390254
2023-04-30,46.06880964339528
2023-05-07,58.51983927674535
2023-05-14,62.255148166750374
2023-05-21,63.50025113008538
2023-05-28,57.274736313410344
2023-06-04,57.274736313410344
2023-06-11,48.55901557006529
2023-06-18,124.51029633350075
2023-06-25,119.52988448016072
2023-07-02,95.87292817679557
2023-07-09,87.15720743345052
2023-07-16,67.2355600200904
2023-07-23,65.99045705675539
2023-07-30,54.78453038674033
2023-08-06,57.274736313410344
2023-08-13,64.74535409342039
2023-08-20,54.78453038674033
2023-08-27,54.78453038674033
2023-09-03,85.91210447011551
2023-09-10,75.95128076343545
2023-09-17,70.97086891009542
2023-09-24,58.51983927674535
2023-10-01,70.97086891009542
2023-10-08,58.51983927674535
2023-10-15,62.255148166750374
2023-10-22,51.049221496735306
2023-10-29,74.70617780010045
2023-11-05,54.78453038674033
2023-11-12,69.72576594676042
2023-11-19,59.76494224008036
2023-11-26,65.99045705675539
2023-12-03,83.42189854344551
2023-12-10,77.19638372677046
2023-12-17,68.48066298342542
2023-12-24,54.78453038674033
2023-12-31,58.51983927674535
2024-01-07,67.89494886753704
2024-01-14,67.89494886753704
2024-01-21,55.424448055132274
2024-01-28,67.89494886753704
2024-02-04,59.58128165926719
2024-02-11,66.50933766615873
2024-02-18,54.03883685375396
2024-02-25,59.58128165926719
2024-03-03,62.35250406202381
2024-03-10,72.05178247167196
2024-03-17,52.65322565237566
2024-03-24,60.9668928606455
2024-03-31,55.424448055132274
2024-04-07,49.882003249619046
2024-04-14,56.810059256510584
2024-04-21,59.58128165926719
2024-04-28,59.58128165926719
2024-05-05,58.19567045788889
2024-05-12,69.28056006891535
2024-05-19,54.03883685375396
2024-05-26,78.9798384785635
2024-06-02,96.99278409648147
2024-06-09,112.23450731164286
2024-06-16,83.13667208269841
2024-06-23,109.46328490888624
2024-06-30,101.1496177006164
2024-07-07,138.5611201378307
2024-07-14,128.86184172818253
2024-07-21,121.933785721291
2024-07-28,105.30645130475132
2024-08-04,103.92084010337301
2024-08-11,84.52228328407672
2024-08-18,95.60717289510318
2024-08-25,92.83595049234656
2024-09-01,88.67911688821164
2024-09-08,83.13667208269841
2024-09-15,48.496392048240736
2024-09-22,52.65322565237566
2024-09-29,63.738115263402115
2024-10-06,73.43739367305027
2024-10-13,66.50933766615873
2024-10-20,60.9668928606455
2024-10-27,63.738115263402115
2024-11-03,52.65322565237566
2024-11-10,52.65322565237566
2024-11-17,51.26761445099736
2024-11-24,83.13667208269841
2024-12-01,92.83595049234656
2024-12-08,76.20861607580687
2024-12-15,60.9668928606455
2024-12-22,65.12372646478042
2024-12-29,72.05178247167196
2025-01-05,73.43739367305027
2025-01-12,65.12372646478042
2025-01-19,69.28056006891535
2025-01-26,63.738115263402115
2025-02-02,56.810059256510584
2025-02-09,54.03883685375396
2025-02-16,60.9668928606455
2025-02-23,51.26761445099736
2025-03-02,66.50933766615873
2025-03-09,58.19567045788889
2025-03-16,66.50933766615873
2025-03-23,45.72516964548413
2025-03-30,45.72516964548413
2025-04-06,54.03883685375396
2025-04-13,36.02589123583598
2025-04-20,49.882003249619046
2025-04-27,85.90789448545502
2025-05-04,94.22156169372487
2025-05-11,84.52228328407672
2025-05-18,105.30645130475132
2025-05-25,84.52228328407672
2025-06-01,84.52228328407672
2025-06-08,58.19567045788889
2025-06-15,67.89494886753704
2025-06-22,56.810059256510584
2025-06-29,90.06472808958995
2025-07-06,91.45033929096826
2025-07-13,91.45033929096826
2025-07-20,63.738115263402115
2025-07-27,69.28056006891535
2025-08-03,88.67911688821164
2025-08-10,88.67911688821164
2025-08-17,62.35250406202381
2025-08-24,76.20861607580687
2025-08-31,55.424448055132274
2025-09-07,58.19567045788889
2025-09-14,60.9668928606455
2025-09-21,72.05178247167196
2025-09-28,52.65322565237566
2025-10-05,55.424448055132274
2025-10-12,52.65322565237566
2025-10-19,52.65322565237566
2025-10-26,84.52228328407672
2025-11-02,66.50933766615873
2025-11-09,66.50933766615873
2025-11-16,87.29350568683333
2025-11-23,63.738115263402115
2025-11-30,62.35250406202381
2025-12-07,67.89494886753704
2025-12-14,59.58128165926719
2025-12-21,60.9668928606455
2025-12-28,62.35250406202381
