,Pharmaceuticals & Biotech
2018-07-22,51.0
2018-07-29,43.0
2018-08-05,59.0
2018-08-12,62.0
2018-08-19,42.0
2018-08-26,42.0
2018-09-02,35.0
2018-09-09,52.0
2018-09-16,49.0
2018-09-23,48.0
2018-09-30,46.0
2018-10-07,51.0
2018-10-14,54.0
2018-10-21,49.0
2018-10-28,62.0
2018-11-04,52.0
2018-11-11,40.0
2018-11-18,48.0
2018-11-25,55.0
2018-12-02,54.0
2018-12-09,64.0
2018-12-16,39.0
2018-12-23,48.0
2018-12-30,56.0
2019-01-06,56.0
2019-01-13,54.0
2019-01-20,53.0
2019-01-27,53.0
2019-02-03,51.0
2019-02-10,49.0
2019-02-17,57.0
2019-02-24,53.0
2019-03-03,56.0
2019-03-10,50.0
2019-03-17,53.0
2019-03-24,61.0
2019-03-31,45.0
2019-04-07,40.0
2019-04-14,32.0
2019-04-21,33.0
2019-04-28,35.0
2019-05-05,52.0
2019-05-12,53.0
2019-05-19,44.0
2019-05-26,46.0
2019-06-02,44.0
2019-06-09,46.0
2019-06-16,48.0
2019-06-23,41.0
2019-06-30,55.0
2019-07-07,53.0
2019-07-14,56.0
2019-07-21,42.0
2019-07-28,53.0
2019-08-04,61.0
2019-08-11,53.0
2019-08-18,67.0
2019-08-25,60.0
2019-09-01,56.0
2019-09-08,64.0
2019-09-15,53.0
2019-09-22,52.0
2019-09-29,45.0
2019-10-06,57.0
2019-10-13,59.0
2019-10-20,47.0
2019-10-27,53.0
2019-11-03,45.0
2019-11-10,51.0
2019-11-17,56.0
2019-11-24,49.0
2019-12-01,48.0
2019-12-08,45.0
2019-12-15,58.0
2019-12-22,49.0
2019-12-29,50.0
2020-01-05,56.50128314798973
2020-01-12,61.02138579982891
2020-01-19,51.98118049615056
2020-01-26,56.50128314798973
2020-02-02,49.72112917023097
2020-02-09,58.76133447390932
2020-02-16,56.50128314798973
2020-02-23,51.98118049615056
2020-03-01,58.76133447390932
2020-03-08,45.201026518391785
2020-03-15,45.201026518391785
2020-03-22,40.68092386655261
2020-03-29,58.76133447390932
2020-04-05,49.72112917023097
2020-04-12,38.42087254063302
2020-04-19,42.940975192472195
2020-04-26,40.68092386655261
2020-05-03,40.68092386655261
2020-05-10,40.68092386655261
2020-05-17,54.24123182207015
2020-05-24,40.68092386655261
2020-05-31,42.940975192472195
2020-06-07,45.201026518391785
2020-06-14,58.76133447390932
2020-06-21,45.201026518391785
2020-06-28,54.24123182207015
2020-07-05,54.24123182207015
2020-07-12,54.24123182207015
2020-07-19,56.50128314798973
2020-07-26,58.76133447390932
2020-08-02,51.98118049615056
2020-08-09,67.80153977758768
2020-08-16,54.24123182207015
2020-08-23,58.76133447390932
2020-08-30,51.98118049615056
2020-09-06,49.72112917023097
2020-09-13,54.24123182207015
2020-09-20,54.24123182207015
2020-09-27,49.72112917023097
2020-10-04,58.76133447390932
2020-10-11,63.2814371257485
2020-10-18,54.24123182207015
2020-10-25,45.201026518391785
2020-11-01,45.201026518391785
2020-11-08,85.88195038494439
2020-11-15,61.02138579982891
2020-11-22,63.2814371257485
2020-11-29,61.02138579982891
2020-12-06,74.58169375534645
2020-12-13,63.2814371257485
2020-12-20,54.24123182207015
2020-12-27,45.201026518391785
2021-01-03,58.76133447390932
2021-01-10,65.54148845166809
2021-01-17,76.84174508126604
2021-01-24,92.66210436270316
2021-01-31,70.06159110350727
2021-02-07,70.06159110350727
2021-02-14,85.88195038494439
2021-02-21,90.40205303678357
2021-02-28,92.66210436270316
2021-03-07,90.40205303678357
2021-03-14,94.92215568862275
2021-03-21,72.32164242942686
2021-03-28,56.50128314798973
2021-04-04,61.02138579982891
2021-04-11,40.68092386655261
2021-04-18,61.02138579982891
2021-04-25,67.80153977758768
2021-05-02,90.40205303678357
2021-05-09,119.78272027373824
2021-05-16,115.26261762189905
2021-05-23,90.40205303678357
2021-05-30,113.00256629597946
2021-06-06,88.14200171086398
2021-06-13,76.84174508126604
2021-06-20,67.80153977758768
2021-06-27,97.18220701454234
2021-07-04,124.30282292557742
2021-07-11,128.82292557741658
2021-07-18,119.78272027373824
2021-07-25,158.20359281437126
2021-08-01,226.00513259195893
2021-08-08,210.18477331052182
2021-08-15,158.20359281437126
2021-08-22,142.38323353293413
2021-08-29,140.12318220701454
2021-09-05,185.32420872540632
2021-09-12,126.562874251497
2021-09-19,115.26261762189905
2021-09-26,92.66210436270316
2021-10-03,83.62189905902481
2021-10-10,83.62189905902481
2021-10-17,76.84174508126604
2021-10-24,101.70230966638152
2021-10-31,88.14200171086398
2021-11-07,76.84174508126604
2021-11-14,81.36184773310522
2021-11-21,85.88195038494439
2021-11-28,67.80153977758768
2021-12-05,83.62189905902481
2021-12-12,76.84174508126604
2021-12-19,79.10179640718563
2021-12-26,67.80153977758768
2022-01-02,99.44225834046193
2022-01-09,83.62189905902481
2022-01-16,88.14200171086398
2022-01-23,94.92215568862275
2022-01-30,92.66210436270316
2022-02-06,90.40205303678357
2022-02-13,90.40205303678357
2022-02-20,101.70230966638152
2022-02-27,79.10179640718563
2022-03-06,83.62189905902481
2022-03-13,81.36184773310522
2022-03-20,76.84174508126604
2022-03-27,70.06159110350727
2022-04-03,58.76133447390932
2022-04-10,56.50128314798973
2022-04-17,67.80153977758768
2022-04-24,76.84174508126604
2022-05-01,74.58169375534645
2022-05-08,63.2814371257485
2022-05-15,63.2814371257485
2022-05-22,65.54148845166809
2022-05-29,81.36184773310522
2022-06-05,76.84174508126604
2022-06-12,61.02138579982891
2022-06-19,72.32164242942686
2022-06-26,67.80153977758768
2022-07-03,70.06159110350727
2022-07-10,63.2814371257485
2022-07-17,70.06159110350727
2022-07-24,72.32164242942686
2022-07-31,72.32164242942686
2022-08-07,65.54148845166809
2022-08-14,79.10179640718563
2022-08-21,67.80153977758768
2022-08-28,74.58169375534645
2022-09-04,74.58169375534645
2022-09-11,79.10179640718563
2022-09-18,79.10179640718563
2022-09-25,72.32164242942686
2022-10-02,81.36184773310522
2022-10-09,85.88195038494439
2022-10-16,79.10179640718563
2022-10-23,70.06159110350727
2022-10-30,72.32164242942686
2022-11-06,76.84174508126604
2022-11-13,79.10179640718563
2022-11-20,79.10179640718563
2022-11-27,79.10179640718563
2022-12-04,76.84174508126604
2022-12-11,72.32164242942686
2022-12-18,72.32164242942686
2022-12-25,72.32164242942686
2023-01-01,72.32164242942686
2023-01-08,70.06159110350727
2023-01-15,81.36184773310522
2023-01-22,79.10179640718563
2023-01-29,79.10179640718563
2023-02-05,83.62189905902481
2023-02-12,79.10179640718563
2023-02-19,83.62189905902481
2023-02-26,83.62189905902481
2023-03-05,81.36184773310522
2023-03-12,79.10179640718563
2023-03-19,65.54148845166809
2023-03-26,83.62189905902481
2023-04-02,65.54148845166809
2023-04-09,54.24123182207015
2023-04-16,72.32164242942686
2023-04-23,58.76133447390932
2023-04-30,51.98118049615056
2023-05-07,63.2814371257485
2023-05-14,63.2814371257485
2023-05-21,72.32164242942686
2023-05-28,67.80153977758768
2023-06-04,76.84174508126604
2023-06-11,85.88195038494439
2023-06-18,72.32164242942686
2023-06-25,70.06159110350727
2023-07-02,85.88195038494439
2023-07-09,90.40205303678357
2023-07-16,76.84174508126604
2023-07-23,81.36184773310522
2023-07-30,76.84174508126604
2023-08-06,85.88195038494439
2023-08-13,81.36184773310522
2023-08-20,74.58169375534645
2023-08-27,81.36184773310522
2023-09-03,90.40205303678357
2023-09-10,76.84174508126604
2023-09-17,83.62189905902481
2023-09-24,72.32164242942686
2023-10-01,79.10179640718563
2023-10-08,76.84174508126604
2023-10-15,81.36184773310522
2023-10-22,74.58169375534645
2023-10-29,76.84174508126604
2023-11-05,70.06159110350727
2023-11-12,79.10179640718563
2023-11-19,81.36184773310522
2023-11-26,76.84174508126604
2023-12-03,74.58169375534645
2023-12-10,74.58169375534645
2023-12-17,72.32164242942686
2023-12-24,72.32164242942686
2023-12-31,79.10179640718563
2024-01-07,77.56984230462666
2024-01-14,73.98969573672082
2024-01-21,63.249256033003284
2024-01-28,88.3102820083442
2024-02-04,83.53675325113642
2024-02-11,81.14998887253252
2024-02-18,69.21616697951302
2024-02-25,83.53675325113642
2024-03-03,76.37646011532472
2024-03-10,83.53675325113642
2024-03-17,81.14998887253252
2024-03-24,90.6970463869481
2024-03-31,73.98969573672082
2024-04-07,54.89558070788964
2024-04-14,70.40954916881498
2024-04-21,78.76322449392862
2024-04-28,110.98454360508123
2024-05-05,97.8573395227598
2024-05-12,99.05072171206174
2024-05-19,62.055873843701335
2024-05-26,82.34337106183446
2024-06-02,85.9235176297403
2024-06-09,97.8573395227598
2024-06-16,83.53675325113642
2024-06-23,79.95660668323056
2024-06-30,89.50366419764616
2024-07-07,93.083810765552
2024-07-14,85.9235176297403
2024-07-21,97.8573395227598
2024-07-28,84.73013544043836
2024-08-04,88.3102820083442
2024-08-11,94.27719295485394
2024-08-18,81.14998887253252
2024-08-25,81.14998887253252
2024-09-01,77.56984230462666
2024-09-08,79.95660668323056
2024-09-15,46.541905382776
2024-09-22,78.76322449392862
2024-09-29,83.53675325113642
2024-10-06,77.56984230462666
2024-10-13,82.34337106183446
2024-10-20,71.60293135811692
2024-10-27,64.44263822230523
2024-11-03,83.53675325113642
2024-11-10,75.18307792602278
2024-11-17,64.44263822230523
2024-11-24,79.95660668323056
2024-12-01,75.18307792602278
2024-12-08,82.34337106183446
2024-12-15,91.89042857625005
2024-12-22,79.95660668323056
2024-12-29,82.34337106183446
2025-01-05,82.34337106183446
2025-01-12,72.79631354741888
2025-01-19,72.79631354741888
2025-01-26,90.6970463869481
2025-02-02,78.76322449392862
2025-02-09,77.56984230462666
2025-02-16,83.53675325113642
2025-02-23,77.56984230462666
2025-03-02,87.11689981904226
2025-03-09,65.63602041160718
2025-03-16,88.3102820083442
2025-03-23,81.14998887253252
2025-03-30,81.14998887253252
2025-04-06,63.249256033003284
2025-04-13,44.1551410041721
2025-04-20,72.79631354741888
2025-04-27,81.14998887253252
2025-05-04,62.055873843701335
2025-05-11,64.44263822230523
2025-05-18,68.02278479021108
2025-05-25,73.98969573672082
2025-06-01,76.37646011532472
2025-06-08,70.40954916881498
2025-06-15,90.6970463869481
2025-06-22,79.95660668323056
2025-06-29,82.34337106183446
2025-07-06,73.98969573672082
2025-07-13,87.11689981904226
2025-07-20,79.95660668323056
2025-07-27,76.37646011532472
2025-08-03,72.79631354741888
2025-08-10,70.40954916881498
2025-08-17,88.3102820083442
2025-08-24,75.18307792602278
2025-08-31,85.9235176297403
2025-09-07,68.02278479021108
2025-09-14,70.40954916881498
2025-09-21,66.82940260090913
2025-09-28,119.33821893019487
2025-10-05,87.11689981904226
2025-10-12,66.82940260090913
2025-10-19,68.02278479021108
2025-10-26,71.60293135811692
2025-11-02,84.73013544043836
2025-11-09,68.02278479021108
2025-11-16,76.37646011532472
2025-11-23,57.282345086493535
2025-11-30,56.08896289719159
2025-12-07,76.37646011532472
2025-12-14,77.56984230462666
2025-12-21,65.63602041160718
2025-12-28,69.21616697951302
