,Office Supplies
2020-11-01,69.15859421145896
2020-11-08,75.01949202598938
2020-11-15,84.39692852923805
2020-11-22,82.05256940342588
2020-11-29,80.8803898405198
2020-12-06,85.56910809214413
2020-12-13,86.74128765505021
2020-12-20,84.39692852923805
2020-12-27,75.01949202598938
2021-01-03,82.05256940342588
2021-01-10,76.19167158889546
2021-01-17,86.74128765505021
2021-01-24,78.53603071470764
2021-01-31,83.22474896633197
2021-02-07,82.05256940342588
2021-02-14,83.22474896633197
2021-02-21,76.19167158889546
2021-02-28,83.22474896633197
2021-03-07,78.53603071470764
2021-03-14,82.05256940342588
2021-03-21,84.39692852923805
2021-03-28,86.74128765505021
2021-04-04,75.01949202598938
2021-04-11,49.23154164205553
2021-04-18,85.56910809214413
2021-04-25,82.05256940342588
2021-05-02,85.56910809214413
2021-05-09,85.56910809214413
2021-05-16,94.94654459539281
2021-05-23,77.36385115180154
2021-05-30,93.77436503248673
2021-06-06,94.94654459539281
2021-06-13,98.46308328411106
2021-06-20,104.32398109864148
2021-06-27,98.46308328411106
2021-07-04,113.70141760189016
2021-07-11,109.01269935026582
2021-07-18,101.9796219728293
2021-07-25,104.32398109864148
2021-08-01,96.11872415829889
2021-08-08,98.46308328411106
2021-08-15,86.74128765505021
2021-08-22,85.56910809214413
2021-08-29,93.77436503248673
2021-09-05,94.94654459539281
2021-09-12,103.1518015357354
2021-09-19,99.63526284701715
2021-09-26,100.80744240992323
2021-10-03,97.29090372120497
2021-10-10,94.94654459539281
2021-10-17,87.91346721795631
2021-10-24,87.91346721795631
2021-10-31,93.77436503248673
2021-11-07,99.63526284701715
2021-11-14,89.08564678086239
2021-11-21,97.29090372120497
2021-11-28,93.77436503248673
2021-12-05,96.11872415829889
2021-12-12,93.77436503248673
2021-12-19,89.08564678086239
2021-12-26,98.46308328411106
2022-01-02,110.1848789131719
2022-01-09,107.84051978735974
2022-01-16,96.11872415829889
2022-01-23,113.70141760189016
2022-01-30,111.35705847607798
2022-02-06,111.35705847607798
2022-02-13,109.01269935026582
2022-02-20,105.49616066154756
2022-02-27,103.1518015357354
2022-03-06,103.1518015357354
2022-03-13,110.1848789131719
2022-03-20,112.52923803898406
2022-03-27,90.25782634376847
2022-04-03,89.08564678086239
2022-04-10,79.70821027761372
2022-04-17,93.77436503248673
2022-04-24,94.94654459539281
2022-05-01,100.80744240992323
2022-05-08,79.70821027761372
2022-05-15,89.08564678086239
2022-05-22,107.84051978735974
2022-05-29,106.66834022445364
2022-06-05,94.94654459539281
2022-06-12,94.94654459539281
2022-06-19,100.80744240992323
2022-06-26,105.49616066154756
2022-07-03,93.77436503248673
2022-07-10,90.25782634376847
2022-07-17,109.01269935026582
2022-07-24,94.94654459539281
2022-07-31,99.63526284701715
2022-08-07,104.32398109864148
2022-08-14,104.32398109864148
2022-08-21,104.32398109864148
2022-08-28,101.9796219728293
2022-09-04,98.46308328411106
2022-09-11,105.49616066154756
2022-09-18,107.84051978735974
2022-09-25,107.84051978735974
2022-10-02,103.1518015357354
2022-10-09,111.35705847607798
2022-10-16,99.63526284701715
2022-10-23,104.32398109864148
2022-10-30,98.46308328411106
2022-11-06,85.56910809214413
2022-11-13,109.01269935026582
2022-11-20,103.1518015357354
2022-11-27,109.01269935026582
2022-12-04,92.60218546958065
2022-12-11,107.84051978735974
2022-12-18,112.52923803898406
2022-12-25,96.11872415829889
2023-01-01,97.29090372120497
2023-01-08,97.29090372120497
2023-01-15,98.46308328411106
2023-01-22,100.80744240992323
2023-01-29,97.29090372120497
2023-02-05,97.29090372120497
2023-02-12,105.49616066154756
2023-02-19,104.32398109864148
2023-02-26,100.80744240992323
2023-03-05,103.1518015357354
2023-03-12,98.46308328411106
2023-03-19,104.32398109864148
2023-03-26,96.11872415829889
2023-04-02,86.74128765505021
2023-04-09,71.50295333727112
2023-04-16,85.56910809214413
2023-04-23,97.29090372120497
2023-04-30,83.22474896633197
2023-05-07,99.63526284701715
2023-05-14,100.80744240992323
2023-05-21,103.1518015357354
2023-05-28,89.08564678086239
2023-06-04,96.11872415829889
2023-06-11,113.70141760189016
2023-06-18,103.1518015357354
2023-06-25,110.1848789131719
2023-07-02,103.1518015357354
2023-07-09,110.1848789131719
2023-07-16,112.52923803898406
2023-07-23,104.32398109864148
2023-07-30,96.11872415829889
2023-08-06,105.49616066154756
2023-08-13,104.32398109864148
2023-08-20,109.01269935026582
2023-08-27,113.70141760189016
2023-09-03,105.49616066154756
2023-09-10,101.9796219728293
2023-09-17,112.52923803898406
2023-09-24,105.49616066154756
2023-10-01,109.01269935026582
2023-10-08,101.9796219728293
2023-10-15,109.01269935026582
2023-10-22,99.63526284701715
2023-10-29,101.9796219728293
2023-11-05,101.9796219728293
2023-11-12,104.32398109864148
2023-11-19,101.9796219728293
2023-11-26,100.80744240992323
2023-12-03,109.01269935026582
2023-12-10,117.2179562906084
2023-12-17,105.49616066154756
2023-12-24,94.94654459539281
2023-12-31,110.1848789131719
2024-01-07,110.09139390649344
2024-01-14,106.25099644463901
2024-01-21,103.69073147006941
2024-01-28,115.21192385563268
2024-02-04,115.21192385563268
2024-02-11,128.01324872848073
2024-02-18,115.21192385563268
2024-02-25,115.21192385563268
2024-03-03,117.77218883020228
2024-03-10,116.49205634291748
2024-03-17,112.65165888106306
2024-03-24,117.77218883020228
2024-03-31,99.85033400821499
2024-04-07,76.80794923708845
2024-04-14,80.64834669894287
2024-04-21,102.41059898278459
2024-04-28,102.41059898278459
2024-05-05,103.69073147006941
2024-05-12,103.69073147006941
2024-05-19,98.57020152093017
2024-05-26,112.65165888106306
2024-06-02,110.09139390649344
2024-06-09,116.49205634291748
2024-06-16,104.97086395735421
2024-06-23,112.65165888106306
2024-06-30,115.21192385563268
2024-07-07,106.25099644463901
2024-07-14,120.3324538047719
2024-07-21,112.65165888106306
2024-07-28,111.37152639377825
2024-08-04,113.93179136834786
2024-08-11,121.6125862920567
2024-08-18,113.93179136834786
2024-08-25,119.0523213174871
2024-09-01,125.45298375391113
2024-09-08,113.93179136834786
2024-09-15,89.60927410993652
2024-09-22,112.65165888106306
2024-09-29,117.77218883020228
2024-10-06,111.37152639377825
2024-10-13,117.77218883020228
2024-10-20,113.93179136834786
2024-10-27,121.6125862920567
2024-11-03,107.53112893192383
2024-11-10,101.13046649549979
2024-11-17,115.21192385563268
2024-11-24,126.73311624119593
2024-12-01,116.49205634291748
2024-12-08,121.6125862920567
2024-12-15,116.49205634291748
2024-12-22,112.65165888106306
2024-12-29,115.21192385563268
2025-01-05,117.77218883020228
2025-01-12,112.65165888106306
2025-01-19,119.0523213174871
2025-01-26,120.3324538047719
2025-02-02,122.89271877934152
2025-02-09,107.53112893192383
2025-02-16,120.3324538047719
2025-02-23,115.21192385563268
2025-03-02,117.77218883020228
2025-03-09,101.13046649549979
2025-03-16,112.65165888106306
2025-03-23,113.93179136834786
2025-03-30,107.53112893192383
2025-04-06,92.16953908450614
2025-04-13,80.64834669894287
2025-04-20,111.37152639377825
2025-04-27,104.97086395735421
2025-05-04,103.69073147006941
2025-05-11,94.72980405907575
2025-05-18,115.21192385563268
2025-05-25,116.49205634291748
2025-06-01,115.21192385563268
2025-06-08,108.81126141920863
2025-06-15,117.77218883020228
2025-06-22,120.3324538047719
2025-06-29,120.3324538047719
2025-07-06,110.09139390649344
2025-07-13,111.37152639377825
2025-07-20,124.17285126662632
2025-07-27,115.21192385563268
2025-08-03,115.21192385563268
2025-08-10,115.21192385563268
2025-08-17,110.09139390649344
2025-08-24,115.21192385563268
2025-08-31,101.13046649549979
2025-09-07,107.53112893192383
2025-09-14,112.65165888106306
2025-09-21,116.49205634291748
2025-09-28,113.93179136834786
2025-10-05,115.21192385563268
2025-10-12,116.49205634291748
2025-10-19,111.37152639377825
2025-10-26,106.25099644463901
2025-11-02,112.65165888106306
2025-11-09,115.21192385563268
2025-11-16,117.77218883020228
2025-11-23,99.85033400821499
2025-11-30,90.88940659722132
2025-12-07,108.81126141920863
2025-12-14,124.17285126662632
2025-12-21,116.49205634291748
2025-12-28,120.3324538047719
