,Retail Trade
2017-08-13,90.0
2017-08-20,85.0
2017-08-27,76.0
2017-09-03,68.0
2017-09-10,74.0
2017-09-17,74.0
2017-09-24,78.0
2017-10-01,70.0
2017-10-08,86.0
2017-10-15,83.0
2017-10-22,86.0
2017-10-29,80.0
2017-11-05,86.0
2017-11-12,81.0
2017-11-19,91.0
2017-11-26,90.0
2017-12-03,95.0
2017-12-10,85.0
2017-12-17,100.0
2017-12-24,82.0
2017-12-31,80.0
2018-01-07,79.0
2018-01-14,75.0
2018-01-21,83.0
2018-01-28,67.0
2018-02-04,85.0
2018-02-11,80.0
2018-02-18,77.0
2018-02-25,77.0
2018-03-04,61.0
2018-03-11,66.0
2018-03-18,77.0
2018-03-25,86.0
2018-04-01,93.0
2018-04-08,72.0
2018-04-15,76.0
2018-04-22,76.0
2018-04-29,69.0
2018-05-06,78.0
2018-05-13,83.0
2018-05-20,71.0
2018-05-27,71.0
2018-06-03,76.0
2018-06-10,77.0
2018-06-17,67.0
2018-06-24,57.0
2018-07-01,77.0
2018-07-08,74.0
2018-07-15,86.0
2018-07-22,88.0
2018-07-29,79.0
2018-08-05,100.0
2018-08-12,81.0
2018-08-19,79.0
2018-08-26,81.0
2018-09-02,87.0
2018-09-09,79.0
2018-09-16,76.0
2018-09-23,75.0
2018-09-30,70.0
2018-10-07,72.0
2018-10-14,75.0
2018-10-21,83.0
2018-10-28,74.0
2018-11-04,75.0
2018-11-11,72.0
2018-11-18,81.0
2018-11-25,81.0
2018-12-02,83.0
2018-12-09,69.0
2018-12-16,85.0
2018-12-23,76.0
2018-12-30,80.0
2019-01-06,83.0
2019-01-13,73.0
2019-01-20,86.0
2019-01-27,72.0
2019-02-03,70.0
2019-02-10,79.0
2019-02-17,71.0
2019-02-24,81.0
2019-03-03,81.0
2019-03-10,78.0
2019-03-17,84.0
2019-03-24,89.0
2019-03-31,67.0
2019-04-07,77.0
2019-04-14,49.0
2019-04-21,54.0
2019-04-28,53.0
2019-05-05,69.0
2019-05-12,65.0
2019-05-19,66.0
2019-05-26,70.0
2019-06-02,69.0
2019-06-09,60.0
2019-06-16,68.0
2019-06-23,74.0
2019-06-30,70.0
2019-07-07,71.0
2019-07-14,70.0
2019-07-21,73.0
2019-07-28,67.0
2019-08-04,72.0
2019-08-11,74.0
2019-08-18,85.0
2019-08-25,77.0
2019-09-01,77.0
2019-09-08,74.0
2019-09-15,72.0
2019-09-22,77.0
2019-09-29,75.0
2019-10-06,73.0
2019-10-13,75.0
2019-10-20,82.0
2019-10-27,74.0
2019-11-03,62.0
2019-11-10,79.0
2019-11-17,75.0
2019-11-24,83.0
2019-12-01,81.0
2019-12-08,90.0
2019-12-15,81.0
2019-12-22,97.0
2019-12-29,85.0
2020-01-05,71.33594027728404
2020-01-12,71.33594027728404
2020-01-19,85.0543903306079
2020-01-26,80.93885531461073
2020-02-02,74.07963028794882
2020-02-09,82.31070031994312
2020-02-16,79.56701030927836
2020-02-23,71.33594027728404
2020-03-01,68.59225026661927
2020-03-08,68.59225026661927
2020-03-15,49.386420191965875
2020-03-22,49.386420191965875
2020-03-29,45.270885175968715
2020-04-05,50.75826519729826
2020-04-12,48.014575186633486
2020-04-19,53.50195520796303
2020-04-26,60.36118023462496
2020-05-03,58.98933522929257
2020-05-10,68.59225026661927
2020-05-17,65.8485602559545
2020-05-24,74.07963028794882
2020-05-31,78.19516530394597
2020-06-07,79.56701030927836
2020-06-14,87.79808034127267
2020-06-21,80.93885531461073
2020-06-28,93.28546036260221
2020-07-05,83.68254532527551
2020-07-12,82.31070031994312
2020-07-19,79.56701030927836
2020-07-26,71.33594027728404
2020-08-02,74.07963028794882
2020-08-09,89.16992534660505
2020-08-16,69.96409527195165
2020-08-23,76.82332029861358
2020-08-30,79.56701030927836
2020-09-06,72.70778528261643
2020-09-13,78.19516530394597
2020-09-20,83.68254532527551
2020-09-27,71.33594027728404
2020-10-04,72.70778528261643
2020-10-11,82.31070031994312
2020-10-18,75.45147529328119
2020-10-25,54.87380021329542
2020-11-01,56.2456452186278
2020-11-08,64.47671525062212
2020-11-15,78.19516530394597
2020-11-22,72.70778528261643
2020-11-29,76.82332029861358
2020-12-06,79.56701030927836
2020-12-13,87.79808034127267
2020-12-20,89.16992534660505
2020-12-27,85.0543903306079
2021-01-03,97.40099537859936
2021-01-10,72.70778528261643
2021-01-17,82.31070031994312
2021-01-24,78.19516530394597
2021-01-31,71.33594027728404
2021-02-07,80.93885531461073
2021-02-14,71.33594027728404
2021-02-21,72.70778528261643
2021-02-28,78.19516530394597
2021-03-07,89.16992534660505
2021-03-14,86.42623533594028
2021-03-21,79.56701030927836
2021-03-28,89.16992534660505
2021-04-04,86.42623533594028
2021-04-11,75.45147529328119
2021-04-18,91.91361535726982
2021-04-25,87.79808034127267
2021-05-02,85.0543903306079
2021-05-09,75.45147529328119
2021-05-16,80.93885531461073
2021-05-23,69.96409527195165
2021-05-30,68.59225026661927
2021-06-06,71.33594027728404
2021-06-13,79.56701030927836
2021-06-20,96.02915037326697
2021-06-27,91.91361535726982
2021-07-04,94.6573053679346
2021-07-11,100.14468538926414
2021-07-18,97.40099537859936
2021-07-25,91.91361535726982
2021-08-01,91.91361535726982
2021-08-08,85.0543903306079
2021-08-15,74.07963028794882
2021-08-22,75.45147529328119
2021-08-29,82.31070031994312
2021-09-05,80.93885531461073
2021-09-12,94.6573053679346
2021-09-19,85.0543903306079
2021-09-26,83.68254532527551
2021-10-03,102.8883753999289
2021-10-10,90.54177035193743
2021-10-17,90.54177035193743
2021-10-24,93.28546036260221
2021-10-31,107.00391041592606
2021-11-07,93.28546036260221
2021-11-14,96.02915037326697
2021-11-21,90.54177035193743
2021-11-28,101.51653039459651
2021-12-05,102.8883753999289
2021-12-12,107.00391041592606
2021-12-19,97.40099537859936
2021-12-26,109.74760042659084
2022-01-02,122.0942054745823
2022-01-09,113.86313544258799
2022-01-16,85.0543903306079
2022-01-23,104.2602204052613
2022-01-30,100.14468538926414
2022-02-06,111.11944543192321
2022-02-13,115.23498044792038
2022-02-20,115.23498044792038
2022-02-27,109.74760042659084
2022-03-06,115.23498044792038
2022-03-13,104.2602204052613
2022-03-20,105.63206541059368
2022-03-27,96.02915037326697
2022-04-03,102.8883753999289
2022-04-10,74.07963028794882
2022-04-17,107.00391041592606
2022-04-24,109.74760042659084
2022-05-01,102.8883753999289
2022-05-08,72.70778528261643
2022-05-15,85.0543903306079
2022-05-22,100.14468538926414
2022-05-29,109.74760042659084
2022-06-05,102.8883753999289
2022-06-12,108.37575542125845
2022-06-19,97.40099537859936
2022-06-26,102.8883753999289
2022-07-03,102.8883753999289
2022-07-10,93.28546036260221
2022-07-17,107.00391041592606
2022-07-24,97.40099537859936
2022-07-31,109.74760042659084
2022-08-07,98.77284038393175
2022-08-14,123.46605047991468
2022-08-21,113.86313544258799
2022-08-28,98.77284038393175
2022-09-04,108.37575542125845
2022-09-11,97.40099537859936
2022-09-18,111.11944543192321
2022-09-25,93.28546036260221
2022-10-02,100.14468538926414
2022-10-09,109.74760042659084
2022-10-16,105.63206541059368
2022-10-23,101.51653039459651
2022-10-30,101.51653039459651
2022-11-06,94.6573053679346
2022-11-13,107.00391041592606
2022-11-20,109.74760042659084
2022-11-27,104.2602204052613
2022-12-04,100.14468538926414
2022-12-11,109.74760042659084
2022-12-18,119.35051546391753
2022-12-25,101.51653039459651
2023-01-01,98.77284038393175
2023-01-08,101.51653039459651
2023-01-15,101.51653039459651
2023-01-22,98.77284038393175
2023-01-29,102.8883753999289
2023-02-05,96.02915037326697
2023-02-12,102.8883753999289
2023-02-19,107.00391041592606
2023-02-26,109.74760042659084
2023-03-05,104.2602204052613
2023-03-12,111.11944543192321
2023-03-19,111.11944543192321
2023-03-26,109.74760042659084
2023-04-02,108.37575542125845
2023-04-09,89.16992534660505
2023-04-16,91.91361535726982
2023-04-23,111.11944543192321
2023-04-30,96.02915037326697
2023-05-07,109.74760042659084
2023-05-14,104.2602204052613
2023-05-21,109.74760042659084
2023-05-28,102.8883753999289
2023-06-04,105.63206541059368
2023-06-11,108.37575542125845
2023-06-18,108.37575542125845
2023-06-25,104.2602204052613
2023-07-02,122.0942054745823
2023-07-09,123.46605047991468
2023-07-16,112.4912904372556
2023-07-23,111.11944543192321
2023-07-30,100.14468538926414
2023-08-06,120.72236046924992
2023-08-13,108.37575542125845
2023-08-20,117.97867045858514
2023-08-27,105.63206541059368
2023-09-03,119.35051546391753
2023-09-10,117.97867045858514
2023-09-17,120.72236046924992
2023-09-24,116.60682545325275
2023-10-01,120.72236046924992
2023-10-08,109.74760042659084
2023-10-15,126.20974049057946
2023-10-22,98.77284038393175
2023-10-29,108.37575542125845
2023-11-05,113.86313544258799
2023-11-12,115.23498044792038
2023-11-19,120.72236046924992
2023-11-26,123.46605047991468
2023-12-03,130.32527550657662
2023-12-10,117.97867045858514
2023-12-17,133.0689655172414
2023-12-24,137.18450053323855
2023-12-31,115.23498044792038
2024-01-07,112.84808151983327
2024-01-14,120.79512951418774
2024-01-21,114.43749111870416
2024-01-28,122.38453911305862
2024-02-04,116.02690071757506
2024-02-11,123.97394871192951
2024-02-18,106.49044312434971
2024-02-25,120.79512951418774
2024-03-03,120.79512951418774
2024-03-10,117.61631031644595
2024-03-17,131.92099670628397
2024-03-24,128.7421775085422
2024-03-31,123.97394871192951
2024-04-07,98.54339512999525
2024-04-14,95.36457593225347
2024-04-21,112.84808151983327
2024-04-28,130.33158710741307
2024-05-05,117.61631031644595
2024-05-12,108.0798527232206
2024-05-19,100.13280472886615
2024-05-26,112.84808151983327
2024-06-02,122.38453911305862
2024-06-09,127.1527679096713
2024-06-16,103.31162392660792
2024-06-23,116.02690071757506
2024-06-30,133.51040630515485
2024-07-07,128.7421775085422
2024-07-14,123.97394871192951
2024-07-21,128.7421775085422
2024-07-28,127.1527679096713
2024-08-04,133.51040630515485
2024-08-11,123.97394871192951
2024-08-18,103.31162392660792
2024-08-25,122.38453911305862
2024-09-01,127.1527679096713
2024-09-08,116.02690071757506
2024-09-15,98.54339512999525
2024-09-22,98.54339512999525
2024-09-29,116.02690071757506
2024-10-06,120.79512951418774
2024-10-13,119.20571991531683
2024-10-20,125.5633583108004
2024-10-27,120.79512951418774
2024-11-03,111.25867192096239
2024-11-10,114.43749111870416
2024-11-17,120.79512951418774
2024-11-24,128.7421775085422
2024-12-01,117.61631031644595
2024-12-08,136.68922550289665
2024-12-15,149.40450229386377
2024-12-22,143.0468638983802
2024-12-29,133.51040630515485
2025-01-05,136.68922550289665
2025-01-12,122.38453911305862
2025-01-19,117.61631031644595
2025-01-26,125.5633583108004
2025-02-02,122.38453911305862
2025-02-09,111.25867192096239
2025-02-16,127.1527679096713
2025-02-23,123.97394871192951
2025-03-02,133.51040630515485
2025-03-09,123.97394871192951
2025-03-16,152.58332149160555
2025-03-23,123.97394871192951
2025-03-30,127.1527679096713
2025-04-06,123.97394871192951
2025-04-13,101.72221432773703
2025-04-20,131.92099670628397
2025-04-27,117.61631031644595
2025-05-04,122.38453911305862
2025-05-11,101.72221432773703
2025-05-18,128.7421775085422
2025-05-25,125.5633583108004
2025-06-01,133.51040630515485
2025-06-08,127.1527679096713
2025-06-15,141.45745429950932
2025-06-22,127.1527679096713
2025-06-29,125.5633583108004
2025-07-06,125.5633583108004
2025-07-13,149.40450229386377
2025-07-20,135.09981590402575
2025-07-27,130.33158710741307
2025-08-03,119.20571991531683
2025-08-10,127.1527679096713
2025-08-17,143.0468638983802
2025-08-24,131.92099670628397
2025-08-31,131.92099670628397
2025-09-07,112.84808151983327
2025-09-14,128.7421775085422
2025-09-21,127.1527679096713
2025-09-28,133.51040630515485
2025-10-05,109.66926232209148
2025-10-12,130.33158710741307
2025-10-19,112.84808151983327
2025-10-26,122.38453911305862
2025-11-02,122.38453911305862
2025-11-09,135.09981590402575
2025-11-16,139.86804470063842
2025-11-23,125.5633583108004
2025-11-30,120.79512951418774
2025-12-07,154.17273109047645
2025-12-14,158.94095988708912
2025-12-21,158.94095988708912
2025-12-28,154.17273109047645
