,Commercial Lending
2018-11-18,35.0
2018-11-25,52.0
2018-12-02,45.0
2018-12-09,43.0
2018-12-16,52.0
2018-12-23,41.0
2018-12-30,75.0
2019-01-06,53.0
2019-01-13,44.0
2019-01-20,52.0
2019-01-27,53.0
2019-02-03,62.0
2019-02-10,60.0
2019-02-17,69.0
2019-02-24,58.0
2019-03-03,86.0
2019-03-10,45.0
2019-03-17,59.0
2019-03-24,69.0
2019-03-31,48.0
2019-04-07,63.0
2019-04-14,45.0
2019-04-21,27.0
2019-04-28,28.0
2019-05-05,68.0
2019-05-12,37.0
2019-05-19,47.0
2019-05-26,49.0
2019-06-02,58.0
2019-06-09,47.0
2019-06-16,51.0
2019-06-23,53.0
2019-06-30,100.0
2019-07-07,64.0
2019-07-14,52.0
2019-07-21,49.0
2019-07-28,61.0
2019-08-04,69.0
2019-08-11,61.0
2019-08-18,70.0
2019-08-25,58.0
2019-09-01,63.0
2019-09-08,40.0
2019-09-15,73.0
2019-09-22,49.0
2019-09-29,59.0
2019-10-06,56.0
2019-10-13,37.0
2019-10-20,61.0
2019-10-27,73.0
2019-11-03,59.0
2019-11-10,63.0
2019-11-17,82.0
2019-11-24,62.0
2019-12-01,59.0
2019-12-08,60.0
2019-12-15,71.0
2019-12-22,52.0
2019-12-29,78.0
2020-01-05,54.187372708757636
2020-01-12,46.0081466395112
2020-01-19,56.23217922606925
2020-01-26,57.25458248472505
2020-02-02,48.05295315682281
2020-02-09,59.29938900203666
2020-02-16,47.03054989816701
2020-02-23,62.366598778004075
2020-03-01,51.12016293279022
2020-03-08,57.25458248472505
2020-03-15,43.9633401221996
2020-03-22,47.03054989816701
2020-03-29,46.0081466395112
2020-04-05,79.74745417515275
2020-04-12,55.20977596741344
2020-04-19,49.075356415478616
2020-04-26,50.09775967413442
2020-05-03,54.187372708757636
2020-05-10,43.9633401221996
2020-05-17,42.94093686354379
2020-05-24,58.276985743380855
2020-05-31,55.20977596741344
2020-06-07,54.187372708757636
2020-06-14,73.61303462321793
2020-06-21,69.5234215885947
2020-06-28,50.09775967413442
2020-07-05,58.276985743380855
2020-07-12,53.164969450101836
2020-07-19,67.4786150712831
2020-07-26,65.43380855397149
2020-08-02,46.0081466395112
2020-08-09,65.43380855397149
2020-08-16,66.45621181262729
2020-08-23,73.61303462321793
2020-08-30,69.5234215885947
2020-09-06,64.41140529531569
2020-09-13,47.03054989816701
2020-09-20,68.5010183299389
2020-09-27,52.14256619144603
2020-10-04,43.9633401221996
2020-10-11,72.59063136456211
2020-10-18,49.075356415478616
2020-10-25,47.03054989816701
2020-11-01,62.366598778004075
2020-11-08,43.9633401221996
2020-11-15,42.94093686354379
2020-11-22,43.9633401221996
2020-11-29,63.38900203665988
2020-12-06,50.09775967413442
2020-12-13,74.63543788187373
2020-12-20,66.45621181262729
2020-12-27,54.187372708757636
2021-01-03,57.25458248472505
2021-01-10,55.20977596741344
2021-01-17,66.45621181262729
2021-01-24,57.25458248472505
2021-01-31,46.0081466395112
2021-02-07,54.187372708757636
2021-02-14,57.25458248472505
2021-02-21,51.12016293279022
2021-02-28,50.09775967413442
2021-03-07,52.14256619144603
2021-03-14,56.23217922606925
2021-03-21,46.0081466395112
2021-03-28,69.5234215885947
2021-04-04,60.32179226069247
2021-04-11,30.672097759674134
2021-04-18,50.09775967413442
2021-04-25,53.164969450101836
2021-05-02,62.366598778004075
2021-05-09,60.32179226069247
2021-05-16,72.59063136456211
2021-05-23,44.985743380855396
2021-05-30,77.70264765784114
2021-06-06,63.38900203665988
2021-06-13,46.0081466395112
2021-06-20,62.366598778004075
2021-06-27,61.34419551934827
2021-07-04,69.5234215885947
2021-07-11,60.32179226069247
2021-07-18,58.276985743380855
2021-07-25,65.43380855397149
2021-08-01,62.366598778004075
2021-08-08,54.187372708757636
2021-08-15,56.23217922606925
2021-08-22,53.164969450101836
2021-08-29,70.54582484725051
2021-09-05,79.74745417515275
2021-09-12,58.276985743380855
2021-09-19,73.61303462321793
2021-09-26,65.43380855397149
2021-10-03,59.29938900203666
2021-10-10,48.05295315682281
2021-10-17,57.25458248472505
2021-10-24,66.45621181262729
2021-10-31,75.65784114052953
2021-11-07,56.23217922606925
2021-11-14,49.075356415478616
2021-11-21,63.38900203665988
2021-11-28,93.0386965376782
2021-12-05,73.61303462321793
2021-12-12,61.34419551934827
2021-12-19,70.54582484725051
2021-12-26,65.43380855397149
2022-01-02,72.59063136456211
2022-01-09,102.24032586558044
2022-01-16,69.5234215885947
2022-01-23,77.70264765784114
2022-01-30,75.65784114052953
2022-02-06,57.25458248472505
2022-02-13,53.164969450101836
2022-02-20,73.61303462321793
2022-02-27,76.68024439918534
2022-03-06,66.45621181262729
2022-03-13,64.41140529531569
2022-03-20,76.68024439918534
2022-03-27,78.72505091649694
2022-04-03,61.34419551934827
2022-04-10,56.23217922606925
2022-04-17,75.65784114052953
2022-04-24,78.72505091649694
2022-05-01,82.81466395112017
2022-05-08,61.34419551934827
2022-05-15,64.41140529531569
2022-05-22,69.5234215885947
2022-05-29,75.65784114052953
2022-06-05,65.43380855397149
2022-06-12,56.23217922606925
2022-06-19,71.56822810590631
2022-06-26,76.68024439918534
2022-07-03,77.70264765784114
2022-07-10,56.23217922606925
2022-07-17,87.9266802443992
2022-07-24,77.70264765784114
2022-07-31,86.90427698574338
2022-08-07,55.20977596741344
2022-08-14,69.5234215885947
2022-08-21,81.79226069246437
2022-08-28,60.32179226069247
2022-09-04,69.5234215885947
2022-09-11,69.5234215885947
2022-09-18,50.09775967413442
2022-09-25,69.5234215885947
2022-10-02,63.38900203665988
2022-10-09,78.72505091649694
2022-10-16,58.276985743380855
2022-10-23,64.41140529531569
2022-10-30,78.72505091649694
2022-11-06,52.14256619144603
2022-11-13,43.9633401221996
2022-11-20,57.25458248472505
2022-11-27,64.41140529531569
2022-12-04,63.38900203665988
2022-12-11,67.4786150712831
2022-12-18,67.4786150712831
2022-12-25,57.25458248472505
2023-01-01,67.4786150712831
2023-01-08,59.29938900203666
2023-01-15,71.56822810590631
2023-01-22,64.41140529531569
2023-01-29,60.32179226069247
2023-02-05,63.38900203665988
2023-02-12,75.65784114052953
2023-02-19,72.59063136456211
2023-02-26,79.74745417515275
2023-03-05,62.366598778004075
2023-03-12,61.34419551934827
2023-03-19,74.63543788187373
2023-03-26,77.70264765784114
2023-04-02,78.72505091649694
2023-04-09,55.20977596741344
2023-04-16,67.4786150712831
2023-04-23,68.5010183299389
2023-04-30,56.23217922606925
2023-05-07,53.164969450101836
2023-05-14,53.164969450101836
2023-05-21,67.4786150712831
2023-05-28,68.5010183299389
2023-06-04,71.56822810590631
2023-06-11,86.90427698574338
2023-06-18,66.45621181262729
2023-06-25,71.56822810590631
2023-07-02,66.45621181262729
2023-07-09,67.4786150712831
2023-07-16,70.54582484725051
2023-07-23,71.56822810590631
2023-07-30,63.38900203665988
2023-08-06,74.63543788187373
2023-08-13,65.43380855397149
2023-08-20,99.17311608961303
2023-08-27,66.45621181262729
2023-09-03,80.76985743380855
2023-09-10,84.85947046843178
2023-09-17,90.9938900203666
2023-09-24,77.70264765784114
2023-10-01,76.68024439918534
2023-10-08,77.70264765784114
2023-10-15,62.366598778004075
2023-10-22,54.187372708757636
2023-10-29,63.38900203665988
2023-11-05,48.05295315682281
2023-11-12,60.32179226069247
2023-11-19,60.32179226069247
2023-11-26,69.5234215885947
2023-12-03,67.4786150712831
2023-12-10,57.25458248472505
2023-12-17,80.76985743380855
2023-12-24,57.25458248472505
2023-12-31,68.5010183299389
2024-01-07,80.37561739897374
2024-01-14,65.49124380657119
2024-01-21,53.58374493264916
2024-01-28,86.32936683593476
2024-02-04,76.4064511076664
2024-02-11,77.39874268049323
2024-02-18,51.59916178699549
2024-02-25,81.36790897180057
2024-03-03,72.43728481635905
2024-03-10,78.39103425332007
2024-03-17,82.36020054462742
2024-03-24,84.34478369028109
2024-03-31,61.52207751526385
2024-04-07,41.67624605872712
2024-04-14,71.44499324353221
2024-04-21,58.54520279678334
2024-04-28,63.506660660917525
2024-05-05,58.54520279678334
2024-05-12,65.49124380657119
2024-05-19,27.784164039151417
2024-05-26,80.37561739897374
2024-06-02,62.51436908809069
2024-06-09,82.36020054462742
2024-06-16,65.49124380657119
2024-06-23,59.53749436961018
2024-06-30,83.35249211745425
2024-07-07,66.48353537939803
2024-07-14,60.529785942437016
2024-07-21,87.32165840876159
2024-07-28,59.53749436961018
2024-08-04,70.45270167070538
2024-08-11,71.44499324353221
2024-08-18,60.529785942437016
2024-08-25,58.54520279678334
2024-09-01,78.39103425332007
2024-09-08,72.43728481635905
2024-09-15,59.53749436961018
2024-09-22,70.45270167070538
2024-09-29,68.46811852505171
2024-10-06,59.53749436961018
2024-10-13,66.48353537939803
2024-10-20,62.51436908809069
2024-10-27,59.53749436961018
2024-11-03,59.53749436961018
2024-11-10,53.58374493264916
2024-11-17,74.42186796201273
2024-11-24,69.46041009787854
2024-12-01,60.529785942437016
2024-12-08,58.54520279678334
2024-12-15,75.41415953483956
2024-12-22,56.56061965112967
2024-12-29,72.43728481635905
2025-01-05,49.614578641341815
2025-01-12,55.568328078302834
2025-01-19,55.568328078302834
2025-01-26,68.46811852505171
2025-02-02,64.49895223374436
2025-02-09,59.53749436961018
2025-02-16,71.44499324353221
2025-02-23,76.4064511076664
2025-03-02,70.45270167070538
2025-03-09,59.53749436961018
2025-03-16,63.506660660917525
2025-03-23,71.44499324353221
2025-03-30,67.47582695222486
2025-04-06,84.34478369028109
2025-04-13,46.637703922861306
2025-04-20,56.56061965112967
2025-04-27,61.52207751526385
2025-05-04,61.52207751526385
2025-05-11,63.506660660917525
2025-05-18,66.48353537939803
2025-05-25,76.4064511076664
2025-06-01,63.506660660917525
2025-06-08,63.506660660917525
2025-06-15,67.47582695222486
2025-06-22,57.55291122395651
2025-06-29,66.48353537939803
2025-07-06,67.47582695222486
2025-07-13,74.42186796201273
2025-07-20,68.46811852505171
2025-07-27,80.37561739897374
2025-08-03,72.43728481635905
2025-08-10,74.42186796201273
2025-08-17,65.49124380657119
2025-08-24,75.41415953483956
2025-08-31,66.48353537939803
2025-09-07,47.62999549568814
2025-09-14,92.28311627289578
2025-09-21,65.49124380657119
2025-09-28,60.529785942437016
2025-10-05,40.68395448590029
2025-10-12,73.42957638918588
2025-10-19,58.54520279678334
2025-10-26,64.49895223374436
2025-11-02,62.51436908809069
2025-11-09,54.576036505476
2025-11-16,81.36790897180057
2025-11-23,57.55291122395651
2025-11-30,50.60687021416865
2025-12-07,67.47582695222486
2025-12-14,82.36020054462742
2025-12-21,68.46811852505171
2025-12-28,71.44499324353221
