,Home Improvement
2024-06-30,100.21588091813123
2024-07-07,98.97864782037652
2024-07-14,98.97864782037652
2024-07-21,101.45311401588594
2024-07-28,98.97864782037652
2024-08-04,100.21588091813123
2024-08-11,115.0626780911877
2024-08-18,97.74141472262183
2024-08-25,100.21588091813123
2024-09-01,94.0297154293577
2024-09-08,98.97864782037652
2024-09-15,89.08078303833888
2024-09-22,86.60631684282946
2024-09-29,91.55524923384829
2024-10-06,98.97864782037652
2024-10-13,96.50418162486712
2024-10-20,96.50418162486712
2024-10-27,97.74141472262183
2024-11-03,94.0297154293577
2024-11-10,90.31801613609358
2024-11-17,96.50418162486712
2024-11-24,98.97864782037652
2024-12-01,100.21588091813123
2024-12-08,100.21588091813123
2024-12-15,103.92758021139535
2024-12-22,105.16481330915006
2024-12-29,103.92758021139535
2025-01-05,101.45311401588594
2025-01-12,100.21588091813123
2025-01-19,100.21588091813123
2025-01-26,100.21588091813123
2025-02-02,101.45311401588594
2025-02-09,102.69034711364064
2025-02-16,101.45311401588594
2025-02-23,103.92758021139535
2025-03-02,103.92758021139535
2025-03-09,100.21588091813123
2025-03-16,103.92758021139535
2025-03-23,112.5882118956783
2025-03-30,107.63927950465947
2025-04-06,91.55524923384829
2025-04-13,77.94568515854651
2025-04-20,101.45311401588594
2025-04-27,100.21588091813123
2025-05-04,97.74141472262183
2025-05-11,92.792482331603
2025-05-18,103.92758021139535
2025-05-25,101.45311401588594
2025-06-01,103.92758021139535
2025-06-08,97.74141472262183
2025-06-15,113.82544499343301
2025-06-22,103.92758021139535
2025-06-29,106.40204640690476
2025-07-06,105.16481330915006
2025-07-13,103.92758021139535
2025-07-20,105.16481330915006
2025-07-27,101.45311401588594
2025-08-03,101.45311401588594
2025-08-10,110.11374570016889
2025-08-17,123.72330977547065
2025-08-24,101.45311401588594
2025-08-31,95.2669485271124
2025-09-07,96.50418162486712
2025-09-14,96.50418162486712
2025-09-21,98.97864782037652
2025-09-28,98.97864782037652
2025-10-05,98.97864782037652
2025-10-12,103.92758021139535
2025-10-19,101.45311401588594
2025-10-26,96.50418162486712
2025-11-02,95.2669485271124
2025-11-09,98.97864782037652
2025-11-16,106.40204640690476
2025-11-23,91.55524923384829
2025-11-30,90.31801613609358
2025-12-07,105.16481330915006
2025-12-14,105.16481330915006
2025-12-21,110.11374570016889
2025-12-28,110.11374570016889
