,Restaurants
2018-09-30,68.0
2018-10-07,64.0
2018-10-14,62.0
2018-10-21,68.0
2018-10-28,64.0
2018-11-04,63.0
2018-11-11,59.0
2018-11-18,66.0
2018-11-25,65.0
2018-12-02,71.0
2018-12-09,73.0
2018-12-16,83.0
2018-12-23,100.0
2018-12-30,87.0
2019-01-06,70.0
2019-01-13,69.0
2019-01-20,69.0
2019-01-27,72.0
2019-02-03,75.0
2019-02-10,72.0
2019-02-17,74.0
2019-02-24,69.0
2019-03-03,66.0
2019-03-10,67.0
2019-03-17,70.0
2019-03-24,69.0
2019-03-31,67.0
2019-04-07,70.0
2019-04-14,82.0
2019-04-21,46.0
2019-04-28,51.0
2019-05-05,53.0
2019-05-12,47.0
2019-05-19,59.0
2019-05-26,62.0
2019-06-02,67.0
2019-06-09,66.0
2019-06-16,70.0
2019-06-23,66.0
2019-06-30,71.0
2019-07-07,69.0
2019-07-14,71.0
2019-07-21,79.0
2019-07-28,73.0
2019-08-04,76.0
2019-08-11,82.0
2019-08-18,77.0
2019-08-25,75.0
2019-09-01,70.0
2019-09-08,76.0
2019-09-15,65.0
2019-09-22,70.0
2019-09-29,72.0
2019-10-06,67.0
2019-10-13,65.0
2019-10-20,69.0
2019-10-27,67.0
2019-11-03,70.0
2019-11-10,69.0
2019-11-17,73.0
2019-11-24,71.0
2019-12-01,78.0
2019-12-08,78.0
2019-12-15,83.0
2019-12-22,99.0
2019-12-29,94.0
2020-01-05,74.31184056271982
2020-01-12,71.45369284876905
2020-01-19,74.31184056271982
2020-01-26,67.16647127784292
2020-02-02,71.45369284876905
2020-02-09,77.16998827667058
2020-02-16,74.31184056271982
2020-02-23,70.02461899179367
2020-03-01,65.73739742086754
2020-03-08,60.02110199296601
2020-03-15,40.01406799531067
2020-03-22,40.01406799531067
2020-03-29,65.73739742086754
2020-04-05,62.87924970691677
2020-04-12,62.87924970691677
2020-04-19,51.446658851113725
2020-04-26,47.159437280187575
2020-05-03,48.58851113716296
2020-05-10,51.446658851113725
2020-05-17,50.01758499413834
2020-05-24,51.446658851113725
2020-05-31,54.30480656506448
2020-06-07,52.8757327080891
2020-06-14,55.73388042203987
2020-06-21,55.73388042203987
2020-06-28,58.592028135990624
2020-07-05,57.162954279015246
2020-07-12,57.162954279015246
2020-07-19,62.87924970691677
2020-07-26,65.73739742086754
2020-08-02,74.31184056271982
2020-08-09,64.30832356389215
2020-08-16,61.45017584994139
2020-08-23,58.592028135990624
2020-08-30,65.73739742086754
2020-09-06,65.73739742086754
2020-09-13,57.162954279015246
2020-09-20,61.45017584994139
2020-09-27,67.16647127784292
2020-10-04,62.87924970691677
2020-10-11,64.30832356389215
2020-10-18,58.592028135990624
2020-10-25,52.8757327080891
2020-11-01,57.162954279015246
2020-11-08,55.73388042203987
2020-11-15,55.73388042203987
2020-11-22,58.592028135990624
2020-11-29,62.87924970691677
2020-12-06,64.30832356389215
2020-12-13,70.02461899179367
2020-12-20,84.31535756154749
2020-12-27,77.16998827667058
2021-01-03,60.02110199296601
2021-01-10,58.592028135990624
2021-01-17,60.02110199296601
2021-01-24,62.87924970691677
2021-01-31,61.45017584994139
2021-02-07,62.87924970691677
2021-02-14,72.88276670574444
2021-02-21,70.02461899179367
2021-02-28,64.30832356389215
2021-03-07,68.5955451348183
2021-03-14,65.73739742086754
2021-03-21,70.02461899179367
2021-03-28,71.45369284876905
2021-04-04,68.5955451348183
2021-04-11,77.16998827667058
2021-04-18,65.73739742086754
2021-04-25,65.73739742086754
2021-05-02,68.5955451348183
2021-05-09,72.88276670574444
2021-05-16,75.7409144196952
2021-05-23,71.45369284876905
2021-05-30,90.03165298944901
2021-06-06,85.74443141852286
2021-06-13,80.02813599062134
2021-06-20,77.16998827667058
2021-06-27,75.7409144196952
2021-07-04,71.45369284876905
2021-07-11,72.88276670574444
2021-07-18,81.45720984759673
2021-07-25,80.02813599062134
2021-08-01,71.45369284876905
2021-08-08,71.45369284876905
2021-08-15,72.88276670574444
2021-08-22,87.17350527549824
2021-08-29,81.45720984759673
2021-09-05,85.74443141852286
2021-09-12,75.7409144196952
2021-09-19,72.88276670574444
2021-09-26,90.03165298944901
2021-10-03,74.31184056271982
2021-10-10,71.45369284876905
2021-10-17,75.7409144196952
2021-10-24,82.88628370457211
2021-10-31,85.74443141852286
2021-11-07,82.88628370457211
2021-11-14,87.17350527549824
2021-11-21,85.74443141852286
2021-11-28,82.88628370457211
2021-12-05,94.31887456037515
2021-12-12,94.31887456037515
2021-12-19,120.04220398593202
2021-12-26,118.61313012895664
2022-01-02,105.7514654161782
2022-01-09,98.6060961313013
2022-01-16,90.03165298944901
2022-01-23,98.6060961313013
2022-01-30,102.89331770222745
2022-02-06,100.03516998827668
2022-02-13,115.75498241500587
2022-02-20,97.17702227432592
2022-02-27,101.46424384525206
2022-03-06,94.31887456037515
2022-03-13,101.46424384525206
2022-03-20,94.31887456037515
2022-03-27,88.60257913247364
2022-04-03,100.03516998827668
2022-04-10,107.18053927315358
2022-04-17,95.74794841735054
2022-04-24,104.32239155920283
2022-05-01,102.89331770222745
2022-05-08,97.17702227432592
2022-05-15,102.89331770222745
2022-05-22,90.03165298944901
2022-05-29,97.17702227432592
2022-06-05,94.31887456037515
2022-06-12,101.46424384525206
2022-06-19,98.6060961313013
2022-06-26,100.03516998827668
2022-07-03,112.89683470105511
2022-07-10,108.60961313012896
2022-07-17,98.6060961313013
2022-07-24,107.18053927315358
2022-07-31,100.03516998827668
2022-08-07,112.89683470105511
2022-08-14,108.60961313012896
2022-08-21,95.74794841735054
2022-08-28,104.32239155920283
2022-09-04,108.60961313012896
2022-09-11,98.6060961313013
2022-09-18,94.31887456037515
2022-09-25,94.31887456037515
2022-10-02,91.4607268464244
2022-10-09,95.74794841735054
2022-10-16,94.31887456037515
2022-10-23,95.74794841735054
2022-10-30,91.4607268464244
2022-11-06,101.46424384525206
2022-11-13,105.7514654161782
2022-11-20,94.31887456037515
2022-11-27,91.4607268464244
2022-12-04,101.46424384525206
2022-12-11,105.7514654161782
2022-12-18,114.32590855803049
2022-12-25,134.33294255568583
2023-01-01,104.32239155920283
2023-01-08,90.03165298944901
2023-01-15,92.88980070339977
2023-01-22,97.17702227432592
2023-01-29,94.31887456037515
2023-02-05,100.03516998827668
2023-02-12,105.7514654161782
2023-02-19,91.4607268464244
2023-02-26,87.17350527549824
2023-03-05,92.88980070339977
2023-03-12,92.88980070339977
2023-03-19,98.6060961313013
2023-03-26,88.60257913247364
2023-04-02,97.17702227432592
2023-04-09,100.03516998827668
2023-04-16,98.6060961313013
2023-04-23,102.89331770222745
2023-04-30,107.18053927315358
2023-05-07,97.17702227432592
2023-05-14,95.74794841735054
2023-05-21,104.32239155920283
2023-05-28,98.6060961313013
2023-06-04,100.03516998827668
2023-06-11,102.89331770222745
2023-06-18,104.32239155920283
2023-06-25,105.7514654161782
2023-07-02,108.60961313012896
2023-07-09,105.7514654161782
2023-07-16,101.46424384525206
2023-07-23,105.7514654161782
2023-07-30,112.89683470105511
2023-08-06,108.60961313012896
2023-08-13,112.89683470105511
2023-08-20,107.18053927315358
2023-08-27,111.46776084407973
2023-09-03,101.46424384525206
2023-09-10,102.89331770222745
2023-09-17,95.74794841735054
2023-09-24,107.18053927315358
2023-10-01,101.46424384525206
2023-10-08,94.31887456037515
2023-10-15,94.31887456037515
2023-10-22,95.74794841735054
2023-10-29,95.74794841735054
2023-11-05,105.7514654161782
2023-11-12,127.18757327080893
2023-11-19,120.04220398593202
2023-11-26,101.46424384525206
2023-12-03,118.61313012895664
2023-12-10,115.75498241500587
2023-12-17,130.0457209847597
2023-12-24,142.9073856975381
2023-12-31,127.18757327080893
2024-01-07,104.48479512472298
2024-01-14,101.49951526401661
2024-01-21,101.49951526401661
2024-01-28,104.48479512472298
2024-02-04,101.49951526401661
2024-02-11,111.94799477648891
2024-02-18,104.48479512472298
2024-02-25,98.51423540331024
2024-03-03,98.51423540331024
2024-03-10,95.52895554260387
2024-03-17,107.47007498542935
2024-03-24,134.33759373178668
2024-03-31,107.47007498542935
2024-04-07,110.45535484613572
2024-04-14,116.42591456754846
2024-04-21,110.45535484613572
2024-04-28,113.44063470684209
2024-05-05,105.97743505507617
2024-05-12,119.41119442825483
2024-05-19,105.97743505507617
2024-05-26,122.3964742889612
2024-06-02,111.94799477648891
2024-06-09,117.91855449790165
2024-06-16,110.45535484613572
2024-06-23,102.9921551943698
2024-06-30,108.96271491578254
2024-07-07,113.44063470684209
2024-07-14,119.41119442825483
2024-07-21,122.3964742889612
2024-07-28,117.91855449790165
2024-08-04,116.42591456754846
2024-08-11,120.90383435860802
2024-08-18,120.90383435860802
2024-08-25,113.44063470684209
2024-09-01,105.97743505507617
2024-09-08,125.38175414966757
2024-09-15,113.44063470684209
2024-09-22,104.48479512472298
2024-09-29,111.94799477648891
2024-10-06,116.42591456754846
2024-10-13,104.48479512472298
2024-10-20,135.83023366213988
2024-10-27,104.48479512472298
2024-11-03,105.97743505507617
2024-11-10,122.3964742889612
2024-11-17,107.47007498542935
2024-11-24,119.41119442825483
2024-12-01,114.93327463719528
2024-12-08,114.93327463719528
2024-12-15,128.36703401037394
2024-12-22,149.26399303531855
2024-12-29,144.786073244259
2025-01-05,111.94799477648891
2025-01-12,110.45535484613572
2025-01-19,110.45535484613572
2025-01-26,105.97743505507617
2025-02-02,108.96271491578254
2025-02-09,119.41119442825483
2025-02-16,101.49951526401661
2025-02-23,110.45535484613572
2025-03-02,104.48479512472298
2025-03-09,107.47007498542935
2025-03-16,107.47007498542935
2025-03-23,119.41119442825483
2025-03-30,107.47007498542935
2025-04-06,111.94799477648891
2025-04-13,111.94799477648891
2025-04-20,101.49951526401661
2025-04-27,105.97743505507617
2025-05-04,100.00687533366343
2025-05-11,101.49951526401661
2025-05-18,104.48479512472298
2025-05-25,104.48479512472298
2025-06-01,101.49951526401661
2025-06-08,110.45535484613572
2025-06-15,105.97743505507617
2025-06-22,104.48479512472298
2025-06-29,113.44063470684209
2025-07-06,111.94799477648891
2025-07-13,108.96271491578254
2025-07-20,117.91855449790165
2025-07-27,111.94799477648891
2025-08-03,123.8891142193144
2025-08-10,117.91855449790165
2025-08-17,117.91855449790165
2025-08-24,120.90383435860802
2025-08-31,104.48479512472298
2025-09-07,101.49951526401661
2025-09-14,123.8891142193144
2025-09-21,111.94799477648891
2025-09-28,114.93327463719528
2025-10-05,110.45535484613572
2025-10-12,105.97743505507617
2025-10-19,114.93327463719528
2025-10-26,105.97743505507617
2025-11-02,105.97743505507617
2025-11-09,111.94799477648891
2025-11-16,120.90383435860802
2025-11-23,125.38175414966757
2025-11-30,107.47007498542935
