,Travel Agencies & Services
2017-06-25,71.0
2017-07-02,74.0
2017-07-09,71.0
2017-07-16,76.0
2017-07-23,69.0
2017-07-30,69.0
2017-08-06,79.0
2017-08-13,83.0
2017-08-20,71.0
2017-08-27,63.0
2017-09-03,62.0
2017-09-10,58.0
2017-09-17,60.0
2017-09-24,62.0
2017-10-01,64.0
2017-10-08,68.0
2017-10-15,64.0
2017-10-22,65.0
2017-10-29,61.0
2017-11-05,66.0
2017-11-12,65.0
2017-11-19,64.0
2017-11-26,69.0
2017-12-03,70.0
2017-12-10,67.0
2017-12-17,80.0
2017-12-24,81.0
2017-12-31,82.0
2018-01-07,73.0
2018-01-14,60.0
2018-01-21,67.0
2018-01-28,68.0
2018-02-04,64.0
2018-02-11,69.0
2018-02-18,67.0
2018-02-25,67.0
2018-03-04,61.0
2018-03-11,56.0
2018-03-18,65.0
2018-03-25,67.0
2018-04-01,68.0
2018-04-08,56.0
2018-04-15,68.0
2018-04-22,80.0
2018-04-29,74.0
2018-05-06,69.0
2018-05-13,69.0
2018-05-20,63.0
2018-05-27,58.0
2018-06-03,63.0
2018-06-10,67.0
2018-06-17,64.0
2018-06-24,70.0
2018-07-01,72.0
2018-07-08,78.0
2018-07-15,80.0
2018-07-22,79.0
2018-07-29,79.0
2018-08-05,80.0
2018-08-12,77.0
2018-08-19,77.0
2018-08-26,80.0
2018-09-02,73.0
2018-09-09,73.0
2018-09-16,72.0
2018-09-23,65.0
2018-09-30,65.0
2018-10-07,75.0
2018-10-14,67.0
2018-10-21,70.0
2018-10-28,81.0
2018-11-04,78.0
2018-11-11,82.0
2018-11-18,86.0
2018-11-25,88.0
2018-12-02,92.0
2018-12-09,83.0
2018-12-16,87.0
2018-12-23,95.0
2018-12-30,100.0
2019-01-06,89.0
2019-01-13,83.0
2019-01-20,79.0
2019-01-27,80.0
2019-02-03,80.0
2019-02-10,86.0
2019-02-17,84.0
2019-02-24,82.0
2019-03-03,80.0
2019-03-10,77.0
2019-03-17,83.0
2019-03-24,73.0
2019-03-31,72.0
2019-04-07,65.0
2019-04-14,67.0
2019-04-21,60.0
2019-04-28,67.0
2019-05-05,69.0
2019-05-12,60.0
2019-05-19,65.0
2019-05-26,74.0
2019-06-02,64.0
2019-06-09,72.0
2019-06-16,66.0
2019-06-23,73.0
2019-06-30,78.0
2019-07-07,77.0
2019-07-14,75.0
2019-07-21,70.0
2019-07-28,81.0
2019-08-04,78.0
2019-08-11,77.0
2019-08-18,79.0
2019-08-25,75.0
2019-09-01,74.0
2019-09-08,69.0
2019-09-15,70.0
2019-09-22,91.0
2019-09-29,74.0
2019-10-06,67.0
2019-10-13,74.0
2019-10-20,65.0
2019-10-27,69.0
2019-11-03,70.0
2019-11-10,66.0
2019-11-17,73.0
2019-11-24,77.0
2019-12-01,80.0
2019-12-08,77.0
2019-12-15,90.0
2019-12-22,85.0
2019-12-29,96.0
2020-01-05,72.24482248520711
2020-01-12,80.91420118343196
2020-01-19,75.13461538461539
2020-01-26,72.24482248520711
2020-02-02,78.02440828402368
2020-02-09,75.13461538461539
2020-02-16,69.35502958579882
2020-02-23,66.46523668639054
2020-03-01,69.35502958579882
2020-03-08,69.35502958579882
2020-03-15,72.24482248520711
2020-03-22,66.46523668639054
2020-03-29,69.35502958579882
2020-04-05,63.575443786982255
2020-04-12,57.795857988165686
2020-04-19,52.01627218934912
2020-04-26,60.68565088757397
2020-05-03,54.9060650887574
2020-05-10,60.68565088757397
2020-05-17,69.35502958579882
2020-05-24,66.46523668639054
2020-05-31,57.795857988165686
2020-06-07,66.46523668639054
2020-06-14,69.35502958579882
2020-06-21,72.24482248520711
2020-06-28,72.24482248520711
2020-07-05,75.13461538461539
2020-07-12,72.24482248520711
2020-07-19,69.35502958579882
2020-07-26,72.24482248520711
2020-08-02,63.575443786982255
2020-08-09,72.24482248520711
2020-08-16,63.575443786982255
2020-08-23,63.575443786982255
2020-08-30,63.575443786982255
2020-09-06,63.575443786982255
2020-09-13,63.575443786982255
2020-09-20,69.35502958579882
2020-09-27,63.575443786982255
2020-10-04,66.46523668639054
2020-10-11,75.13461538461539
2020-10-18,83.80399408284025
2020-10-25,98.25295857988166
2020-11-01,86.69378698224853
2020-11-08,98.25295857988166
2020-11-15,101.14275147928994
2020-11-22,95.36316568047337
2020-11-29,86.69378698224853
2020-12-06,92.4733727810651
2020-12-13,92.4733727810651
2020-12-20,104.03254437869823
2020-12-27,101.14275147928994
2021-01-03,86.69378698224853
2021-01-10,95.36316568047337
2021-01-17,89.58357988165682
2021-01-24,98.25295857988166
2021-01-31,89.58357988165682
2021-02-07,92.4733727810651
2021-02-14,83.80399408284025
2021-02-21,80.91420118343196
2021-02-28,83.80399408284025
2021-03-07,80.91420118343196
2021-03-14,92.4733727810651
2021-03-21,83.80399408284025
2021-03-28,89.58357988165682
2021-04-04,89.58357988165682
2021-04-11,78.02440828402368
2021-04-18,95.36316568047337
2021-04-25,104.03254437869823
2021-05-02,118.48150887573965
2021-05-09,135.82026627218937
2021-05-16,135.82026627218937
2021-05-23,138.71005917159763
2021-05-30,150.26923076923077
2021-06-06,147.37943786982248
2021-06-13,141.59985207100593
2021-06-20,130.0406804733728
2021-06-27,132.93047337278108
2021-07-04,106.92233727810651
2021-07-11,106.92233727810651
2021-07-18,106.92233727810651
2021-07-25,109.8121301775148
2021-08-01,104.03254437869823
2021-08-08,104.03254437869823
2021-08-15,121.37130177514794
2021-08-22,130.0406804733728
2021-08-29,127.15088757396451
2021-09-05,106.92233727810651
2021-09-12,101.14275147928994
2021-09-19,109.8121301775148
2021-09-26,101.14275147928994
2021-10-03,106.92233727810651
2021-10-10,92.4733727810651
2021-10-17,104.03254437869823
2021-10-24,98.25295857988166
2021-10-31,92.4733727810651
2021-11-07,95.36316568047337
2021-11-14,89.58357988165682
2021-11-21,89.58357988165682
2021-11-28,98.25295857988166
2021-12-05,89.58357988165682
2021-12-12,106.92233727810651
2021-12-19,101.14275147928994
2021-12-26,118.48150887573965
2022-01-02,135.82026627218937
2022-01-09,130.0406804733728
2022-01-16,118.48150887573965
2022-01-23,130.0406804733728
2022-01-30,138.71005917159763
2022-02-06,138.71005917159763
2022-02-13,147.37943786982248
2022-02-20,135.82026627218937
2022-02-27,147.37943786982248
2022-03-06,124.26109467455622
2022-03-13,135.82026627218937
2022-03-20,132.93047337278108
2022-03-27,124.26109467455622
2022-04-03,121.37130177514794
2022-04-10,112.70192307692308
2022-04-17,132.93047337278108
2022-04-24,138.71005917159763
2022-05-01,141.59985207100593
2022-05-08,144.48964497041422
2022-05-15,130.0406804733728
2022-05-22,138.71005917159763
2022-05-29,156.04881656804736
2022-06-05,208.06508875739647
2022-06-12,199.39571005917162
2022-06-19,216.7344674556213
2022-06-26,219.6242603550296
2022-07-03,202.28550295857988
2022-07-10,184.9467455621302
2022-07-17,190.72633136094674
2022-07-24,176.27736686390534
2022-07-31,182.0569526627219
2022-08-07,167.6079881656805
2022-08-14,170.49778106508876
2022-08-21,161.8284023668639
2022-08-28,179.16715976331363
2022-09-04,265.86094674556216
2022-09-11,242.74260355029588
2022-09-18,248.52218934911244
2022-09-25,236.9630177514793
2022-10-02,245.63239644970415
2022-10-09,257.1915680473373
2022-10-16,236.9630177514793
2022-10-23,236.9630177514793
2022-10-30,213.84467455621302
2022-11-06,202.28550295857988
2022-11-13,202.28550295857988
2022-11-20,202.28550295857988
2022-11-27,190.72633136094674
2022-12-04,199.39571005917162
2022-12-11,190.72633136094674
2022-12-18,208.06508875739647
2022-12-25,222.5140532544379
2023-01-01,202.28550295857988
2023-01-08,187.83653846153848
2023-01-15,187.83653846153848
2023-01-22,199.39571005917162
2023-01-29,187.83653846153848
2023-02-05,179.16715976331363
2023-02-12,187.83653846153848
2023-02-19,190.72633136094674
2023-02-26,176.27736686390534
2023-03-05,187.83653846153848
2023-03-12,170.49778106508876
2023-03-19,170.49778106508876
2023-03-26,164.7181952662722
2023-04-02,173.38757396449705
2023-04-09,158.93860946745562
2023-04-16,167.6079881656805
2023-04-23,173.38757396449705
2023-04-30,164.7181952662722
2023-05-07,173.38757396449705
2023-05-14,164.7181952662722
2023-05-21,164.7181952662722
2023-05-28,167.6079881656805
2023-06-04,173.38757396449705
2023-06-11,184.9467455621302
2023-06-18,199.39571005917162
2023-06-25,199.39571005917162
2023-07-02,190.72633136094674
2023-07-09,187.83653846153848
2023-07-16,190.72633136094674
2023-07-23,202.28550295857988
2023-07-30,190.72633136094674
2023-08-06,187.83653846153848
2023-08-13,187.83653846153848
2023-08-20,187.83653846153848
2023-08-27,184.9467455621302
2023-09-03,182.0569526627219
2023-09-10,170.49778106508876
2023-09-17,170.49778106508876
2023-09-24,190.72633136094674
2023-10-01,182.0569526627219
2023-10-08,164.7181952662722
2023-10-15,173.38757396449705
2023-10-22,167.6079881656805
2023-10-29,164.7181952662722
2023-11-05,156.04881656804736
2023-11-12,173.38757396449705
2023-11-19,184.9467455621302
2023-11-26,179.16715976331363
2023-12-03,173.38757396449705
2023-12-10,170.49778106508876
2023-12-17,184.9467455621302
2023-12-24,190.72633136094674
2023-12-31,288.97928994082844
2024-01-07,262.97115384615387
2024-01-14,242.74260355029588
2024-01-21,234.073224852071
2024-01-28,222.5140532544379
2024-02-04,202.28550295857988
2024-02-11,190.72633136094674
2024-02-18,176.27736686390534
2024-02-25,184.9467455621302
2024-03-03,187.83653846153848
2024-03-10,196.50591715976333
2024-03-17,196.50591715976333
2024-03-24,205.17529585798817
2024-03-31,187.83653846153848
2024-04-07,190.72633136094674
2024-04-14,184.9467455621302
2024-04-21,193.61612426035504
2024-04-28,182.0569526627219
2024-05-05,187.83653846153848
2024-05-12,167.6079881656805
2024-05-19,173.38757396449705
2024-05-26,184.9467455621302
2024-06-02,161.8284023668639
2024-06-09,184.9467455621302
2024-06-16,196.50591715976333
2024-06-23,190.72633136094674
2024-06-30,193.61612426035504
2024-07-07,184.9467455621302
2024-07-14,193.61612426035504
2024-07-21,187.83653846153848
2024-07-28,190.72633136094674
2024-08-04,184.9467455621302
2024-08-11,202.28550295857988
2024-08-18,190.72633136094674
2024-08-25,179.16715976331363
2024-09-01,182.0569526627219
2024-09-08,187.83653846153848
2024-09-15,170.49778106508876
2024-09-22,184.9467455621302
2024-09-29,182.0569526627219
2024-10-06,179.16715976331363
2024-10-13,184.9467455621302
2024-10-20,193.61612426035504
2024-10-27,187.83653846153848
2024-11-03,190.72633136094674
2024-11-10,182.0569526627219
2024-11-17,184.9467455621302
2024-11-24,187.83653846153848
2024-12-01,161.8284023668639
2024-12-08,182.0569526627219
2024-12-15,187.83653846153848
2024-12-22,213.84467455621302
2024-12-29,208.06508875739647
2025-01-05,187.83653846153848
2025-01-12,184.9467455621302
2025-01-19,179.16715976331363
2025-01-26,187.83653846153848
2025-02-02,187.83653846153848
2025-02-09,164.7181952662722
2025-02-16,158.93860946745562
2025-02-23,170.49778106508876
2025-03-02,158.93860946745562
2025-03-09,153.15902366863907
2025-03-16,173.38757396449705
2025-03-23,173.38757396449705
2025-03-30,167.6079881656805
2025-04-06,156.04881656804736
2025-04-13,156.04881656804736
2025-04-20,161.8284023668639
2025-04-27,176.27736686390534
2025-05-04,156.04881656804736
2025-05-11,153.15902366863907
2025-05-18,164.7181952662722
2025-05-25,161.8284023668639
2025-06-01,164.7181952662722
2025-06-08,156.04881656804736
2025-06-15,167.6079881656805
2025-06-22,179.16715976331363
2025-06-29,190.72633136094674
2025-07-06,167.6079881656805
2025-07-13,193.61612426035504
2025-07-20,182.0569526627219
2025-07-27,184.9467455621302
2025-08-03,196.50591715976333
2025-08-10,187.83653846153848
2025-08-17,161.8284023668639
2025-08-24,176.27736686390534
2025-08-31,173.38757396449705
2025-09-07,153.15902366863907
2025-09-14,158.93860946745562
2025-09-21,176.27736686390534
2025-09-28,161.8284023668639
2025-10-05,156.04881656804736
2025-10-12,164.7181952662722
2025-10-19,153.15902366863907
2025-10-26,158.93860946745562
2025-11-02,150.26923076923077
2025-11-09,147.37943786982248
2025-11-16,173.38757396449705
2025-11-23,167.6079881656805
2025-11-30,170.49778106508876
2025-12-07,176.27736686390534
2025-12-14,167.6079881656805
2025-12-21,196.50591715976333
2025-12-28,199.39571005917162
