,Investing
2024-09-08,158.7702581146804
2024-09-15,145.53940327179035
2024-09-22,180.82168285283043
2024-09-29,220.51424738150052
2024-10-06,202.8731075909805
2024-10-13,163.1805430623104
2024-10-20,180.82168285283043
2024-10-27,198.46282264335048
2024-11-03,185.23196780046044
2024-11-10,189.64225274809047
2024-11-17,207.2833925386105
2024-11-24,198.46282264335048
2024-12-01,202.8731075909805
2024-12-08,207.2833925386105
2024-12-15,207.2833925386105
2024-12-22,189.64225274809047
2024-12-29,185.23196780046044
2025-01-05,180.82168285283043
2025-01-12,172.00111295757043
2025-01-19,185.23196780046044
2025-01-26,198.46282264335048
2025-02-02,194.05253769572047
2025-02-09,185.23196780046044
2025-02-16,185.23196780046044
2025-02-23,194.05253769572047
2025-03-02,180.82168285283043
2025-03-09,180.82168285283043
2025-03-16,194.05253769572047
2025-03-23,172.00111295757043
2025-03-30,211.69367748624052
2025-04-06,246.9759570672806
2025-04-13,189.64225274809047
2025-04-20,269.02738180543065
2025-04-27,229.33481727676056
2025-05-04,207.2833925386105
2025-05-11,211.69367748624052
2025-05-18,207.2833925386105
2025-05-25,207.2833925386105
2025-06-01,198.46282264335048
2025-06-08,189.64225274809047
2025-06-15,211.69367748624052
2025-06-22,238.1553871720206
2025-06-29,216.10396243387052
2025-07-06,180.82168285283043
2025-07-13,194.05253769572047
2025-07-20,207.2833925386105
2025-07-27,202.8731075909805
2025-08-03,180.82168285283043
2025-08-10,189.64225274809047
2025-08-17,185.23196780046044
2025-08-24,194.05253769572047
2025-08-31,194.05253769572047
2025-09-07,220.51424738150052
2025-09-14,216.10396243387052
2025-09-21,220.51424738150052
2025-09-28,220.51424738150052
2025-10-05,304.30966138647074
2025-10-12,432.20792486774104
2025-10-19,441.02849476300105
2025-10-26,348.41251086277083
2025-11-02,273.4376667530607
2025-11-09,282.2582366483207
2025-11-16,264.6170968578007
2025-11-23,216.10396243387052
2025-11-30,211.69367748624052
2025-12-07,233.74510222439056
2025-12-14,233.74510222439056
2025-12-21,251.3862420149106
2025-12-28,277.84795170069066
